frame_index,rgb_timestamp,depth_timestamp,detections,filtered_detections,mask_ratio,mean_relevance,mean_foundation,mean_motion,mean_geometry_dynamic,mean_tube_motion,mean_track_confirmation,mean_dynamic_memory,scene_dynamic_context,temporal_window_length,temporal_prompt_records,temporal_prompt_frames,temporal_oldest_prompt_age,temporal_latest_prompt_age,temporal_propagation_span_frames,temporal_history_max_frames,runtime_ms,mode,rgb_path,depth_path
1,1341846313.553992,1341846313.592088,2,2,0.2853287760416667,0.8038185550509108,0.5937991238429767,0.0,0.0,0.0,0.603208932567148,0.5996326633195044,0.07500000000000001,0,0,0,0,0,0,0,4926.57208442688,refresh,rgb/1341846313.553992.png,depth/1341846313.592088.png
2,1341846313.592026,1341846313.592088,2,2,0.3079069010416667,0.8042929826490052,0.5955429038168076,0.04494599227955887,0.09768701872527599,0.012114460298940482,0.6273716256236352,0.6003491885072518,0.12029934619142918,0,0,0,0,0,0,0,93.79076957702637,propagate,rgb/1341846313.592026.png,depth/1341846313.592088.png
3,1341846313.622103,1341846313.592088,2,2,0.2970703125,0.8033123519516364,0.5987417188782432,0.06326415597250229,0.12348521334333705,0.023012595167592312,0.6151219172944983,0.5791993189869785,0.1418273787595646,0,0,0,0,0,0,0,2823.8539695739746,refresh,rgb/1341846313.622103.png,depth/1341846313.592088.png
4,1341846313.654184,1341846313.654212,2,2,0.317314453125,0.8048817403791086,0.5972218111319552,0.07738740798120361,0.1472180562207392,0.03444529398036235,0.6077157833175241,0.5503669975768037,0.15164150180469416,0,0,0,0,0,0,0,74.01704788208008,propagate,rgb/1341846313.654184.png,depth/1341846313.654212.png
5,1341846313.686156,1341846313.686172,2,2,0.335625,0.8056048421747268,0.5999932615398224,0.08931951110429939,0.1674081133930494,0.04620603968160912,0.6033762856971205,0.5201929074738263,0.1553899618650403,0,0,0,0,0,0,0,73.53878021240234,propagate,rgb/1341846313.686156.png,depth/1341846313.686172.png
6,1341846313.721918,1341846313.721932,2,2,0.30578125,0.8036405168092899,0.5984911371181878,0.10713792097149594,0.18086689402874867,0.06595209949395095,0.6033472079819071,0.49385320265455035,0.15850651997019682,0,0,0,0,0,0,0,1523.148775100708,refresh,rgb/1341846313.721918.png,depth/1341846313.721932.png
7,1341846313.753994,1341846313.754052,2,2,0.32626953125,0.8047485800329359,0.5961422821538163,0.09961738355163804,0.17140327502468783,0.07585371834507318,0.6013136740857663,0.4696873948467575,0.1553193113150908,0,0,0,0,0,0,0,74.07450675964355,propagate,rgb/1341846313.753994.png,depth/1341846313.754052.png
8,1341846313.789969,1341846313.789985,2,2,0.343740234375,0.8050727398956103,0.599211079847181,0.0902764041813239,0.15871789782629242,0.08190335229733328,0.600036960539332,0.4486193621128727,0.14807380720114102,0,0,0,0,0,0,0,75.3164291381836,propagate,rgb/1341846313.789969.png,depth/1341846313.789985.png
9,1341846313.822075,1341846313.822093,2,2,0.30838216145833336,0.8037699547823981,0.5966413365358487,0.11619511691682204,0.18177430332055478,0.10524274342680498,0.6033504226858761,0.434550889228388,0.14940899458443185,0,0,0,0,0,0,0,2806.7052364349365,refresh,rgb/1341846313.822075.png,depth/1341846313.822093.png
10,1341846313.853928,1341846313.85394,2,2,0.3297298177083333,0.8045578778287125,0.5948340587559362,0.11435220408297322,0.17245662262889755,0.12252392253745888,0.6049630272838206,0.4230920694778625,0.14839732822201696,0,0,0,0,0,0,0,82.55577087402344,propagate,rgb/1341846313.853928.png,depth/1341846313.853940.png
11,1341846313.890011,1341846313.890055,2,2,0.34832682291666667,0.8049476836065086,0.5967365057973988,0.11383847588322059,0.18538342344814993,0.13779387732547826,0.6057102174940237,0.4140571313496616,0.14806899241211208,0,0,0,0,0,0,0,69.20719146728516,propagate,rgb/1341846313.890011.png,depth/1341846313.890055.png
12,1341846313.922055,1341846313.922606,2,2,0.29934244791666664,0.7823198351232943,0.6090328524831631,0.12876232056881767,0.19315002230246806,0.16175504082336606,0.611046120933878,0.4095414418230304,0.15166866069694807,0,0,0,0,0,0,0,2809.586763381958,refresh,rgb/1341846313.922055.png,depth/1341846313.922606.png
13,1341846313.957927,1341846313.957943,2,2,0.324033203125,0.806979322491391,0.5982059376620255,0.1520082712555882,0.2248720122261441,0.19181544985649177,0.6163686737987452,0.4088064354497769,0.1620602850495126,0,0,0,0,0,0,0,73.3497142791748,propagate,rgb/1341846313.957927.png,depth/1341846313.957943.png
14,1341846313.990058,1341846313.990646,2,2,0.3488639322916667,0.8073035813463729,0.6018094184866137,0.17056832880690587,0.2644866344373429,0.22445190149385277,0.6212799246195585,0.4106578165664634,0.1763854885510151,0,0,0,0,0,0,0,69.23079490661621,propagate,rgb/1341846313.990058.png,depth/1341846313.990646.png
15,1341846314.022042,1341846314.022058,2,2,0.31694661458333334,0.807663115286286,0.6134983556378328,0.17227546550087694,0.2368504174148311,0.2626620592822237,0.6294682629515522,0.416673932975733,0.18399334824150287,0,0,0,0,0,0,0,2864.1514778137207,refresh,rgb/1341846314.022042.png,depth/1341846314.022058.png
16,1341846314.057816,1341846314.05784,2,2,0.340693359375,0.8069483186447468,0.6054057080038977,0.16559887416163593,0.23219186370196004,0.2926528223351924,0.6325730121458951,0.423927041267141,0.1873666706403907,0,0,0,0,0,0,0,76.47919654846191,propagate,rgb/1341846314.057816.png,depth/1341846314.057840.png
