frame_index,rgb_timestamp,depth_timestamp,detections,filtered_detections,mask_ratio,mean_relevance,mean_foundation,mean_motion,mean_geometry_dynamic,mean_tube_motion,mean_track_confirmation,mean_dynamic_memory,scene_dynamic_context,temporal_window_length,temporal_prompt_records,temporal_prompt_frames,temporal_oldest_prompt_age,temporal_latest_prompt_age,temporal_propagation_span_frames,temporal_history_max_frames,runtime_ms,mode,rgb_path,depth_path
1,1341846313.553992,1341846313.592088,2,2,0.2853287760416667,1.0,0.5937991037264092,0.0,0.0,0.0,0.6581397311179227,0.5996326601813198,0.07500000000000001,0,0,0,0,0,0,0,3698.5580921173096,refresh,rgb/1341846313.553992.png,depth/1341846313.592088.png
2,1341846313.592026,1341846313.592088,2,2,0.3079069010416667,1.0,0.5955428837002401,0.04494599227955887,0.09768701872527599,0.012114460298940482,0.6548137698330339,0.6003491853690675,0.12029934619142918,0,0,0,0,0,0,0,90.81888198852539,propagate,rgb/1341846313.592026.png,depth/1341846313.592088.png
3,1341846313.622103,1341846313.592088,2,2,0.2970703125,1.0,0.5987418082852104,0.06326415597250229,0.12348521334333705,0.023012595167592312,0.6425970231001265,0.579199320632782,0.1418273787595646,0,0,0,0,0,0,0,2672.0130443573,refresh,rgb/1341846313.622103.png,depth/1341846313.592088.png
4,1341846313.654184,1341846313.654212,2,2,0.317314453125,1.0,0.5972219005389223,0.07738740798120361,0.1472180562207392,0.03444529398036235,0.6351354141277552,0.5503670026670786,0.15164150180469416,0,0,0,0,0,0,0,64.05925750732422,propagate,rgb/1341846313.654184.png,depth/1341846313.654212.png
5,1341846313.686156,1341846313.686172,2,2,0.335625,1.0,0.5999933509467895,0.08931951110429939,0.1674081133930494,0.04620603968160912,0.6307244257723585,0.5201929150441205,0.1553899618650403,0,0,0,0,0,0,0,62.818288803100586,propagate,rgb/1341846313.686156.png,depth/1341846313.686172.png
6,1341846313.721918,1341846313.721932,2,0,0.0,1.0,0.5984909068952473,0.10713792097149594,0.18086689402874867,0.06595209949395095,0.630745069120647,0.4938531980490241,0.15850651997019682,0,0,0,0,0,0,0,579.9617767333984,refresh,rgb/1341846313.721918.png,depth/1341846313.721932.png
7,1341846313.753994,1341846313.754052,2,0,0.0,1.0,0.596142051930876,0.09961738355163804,0.17140327502468783,0.07585371834507318,0.6286895588178241,0.46968738147464056,0.1553193113150908,0,0,0,0,0,0,0,56.43749237060547,propagate,rgb/1341846313.753994.png,depth/1341846313.754052.png
8,1341846313.789969,1341846313.789985,2,0,0.0,1.0,0.5992108496242405,0.0902764041813239,0.15871789782629242,0.08190335229733328,0.6273826767737751,0.4486193424288104,0.14807380720114102,0,0,0,0,0,0,0,57.14535713195801,propagate,rgb/1341846313.789969.png,depth/1341846313.789985.png
9,1341846313.822075,1341846313.822093,2,0,0.0,1.0,0.5966414125317708,0.11619511691682204,0.18177430332055478,0.10524274342680498,0.6307404251718036,0.4345508783753651,0.14940899458443185,0,0,0,0,0,0,0,2695.3253746032715,refresh,rgb/1341846313.822075.png,depth/1341846313.822093.png
10,1341846313.853928,1341846313.85394,2,0,0.0,1.0,0.5948341347518583,0.11435220408297322,0.17245662262889755,0.12252392253745888,0.6323432076039435,0.42309206498318785,0.14839732822201696,0,0,0,0,0,0,0,57.94382095336914,propagate,rgb/1341846313.853928.png,depth/1341846313.853940.png
11,1341846313.890011,1341846313.890055,2,0,0.0,1.0,0.5967365817933209,0.11383847588322059,0.18538342344814993,0.13779387732547826,0.6330649129232615,0.4140571314329977,0.14806899241211208,0,0,0,0,0,0,0,58.94327163696289,propagate,rgb/1341846313.890011.png,depth/1341846313.890055.png
12,1341846313.922055,1341846313.922606,2,0,0.0,1.0,0.6090329687122203,0.12876232056881767,0.19315002230246806,0.16175504082336606,0.6394930235515353,0.4095414469599177,0.15166866069694807,0,0,0,0,0,0,0,2737.5805377960205,refresh,rgb/1341846313.922055.png,depth/1341846313.922606.png
13,1341846313.957927,1341846313.957943,2,0,0.0,1.0,0.5982060538910827,0.1520082712555882,0.2248720122261441,0.19181544985649177,0.6443171962078382,0.40938708104023547,0.1620602850495126,0,0,0,0,0,0,0,58.05468559265137,propagate,rgb/1341846313.957927.png,depth/1341846313.957943.png
