frame_index,rgb_timestamp,depth_timestamp,detections,filtered_detections,mask_ratio,mean_relevance,mean_foundation,mean_motion,mean_geometry_dynamic,mean_tube_motion,mean_track_confirmation,mean_dynamic_memory,scene_dynamic_context,temporal_window_length,temporal_prompt_records,temporal_prompt_frames,temporal_oldest_prompt_age,temporal_latest_prompt_age,temporal_propagation_span_frames,temporal_history_max_frames,runtime_ms,mode,rgb_path,depth_path
1,1341846313.553992,1341846313.592088,2,2,0.2940266927083333,0.8040489080258354,0.5966785360295334,0.0,0.0,0.0,0.604137255056094,0.6000818516206072,0.07500000000000001,0,0,0,0,0,0,0,3801.3412952423096,refresh,rgb/1341846313.553992.png,depth/1341846313.592088.png
2,1341846313.592026,1341846313.592088,2,2,0.3234505208333333,0.8047681971414821,0.598988828167124,0.047578312404724495,0.09754074591947229,0.012655266085901087,0.6284842171865247,0.6011826806035911,0.12088849440520204,0,0,0,0,0,0,0,76.92742347717285,propagate,rgb/1341846313.592026.png,depth/1341846313.592088.png
3,1341846313.622103,1341846313.592088,2,2,0.30562174479166665,0.8035408655605333,0.6015981389894548,0.07263378074003655,0.12804858974171313,0.02698200740885383,0.6171841791523669,0.5808988339390991,0.1445847759843762,0,0,0,0,0,0,0,261.76953315734863,refresh,rgb/1341846313.622103.png,depth/1341846313.592088.png
4,1341846313.654184,1341846313.654212,2,2,0.33248046875,0.8052958468969984,0.600873464122455,0.0878680748640305,0.1502897474654456,0.03977946134242114,0.6100102817571396,0.5527502254294585,0.1559498853481184,0,0,0,0,0,0,0,68.34959983825684,propagate,rgb/1341846313.654184.png,depth/1341846313.654212.png
5,1341846313.686156,1341846313.686172,2,2,0.3545377604166667,0.8061592481862629,0.6038934995270573,0.0947193148005434,0.16872604820551088,0.05097403837523232,0.6055762783681424,0.522992515880116,0.1598806995414912,0,0,0,0,0,0,0,65.36316871643066,propagate,rgb/1341846313.686156.png,depth/1341846313.686172.png
6,1341846313.721918,1341846313.721932,2,2,0.313505859375,0.803845750551538,0.6010565588962884,0.11806661895108424,0.18246948266836288,0.07445628455082216,0.6064590530082419,0.49755204911117745,0.16434867567821382,0,0,0,0,0,0,0,2640.3682231903076,refresh,rgb/1341846313.721918.png,depth/1341846313.721932.png
7,1341846313.753994,1341846313.754052,2,2,0.341025390625,0.805151108623418,0.5996252922804042,0.11122150497655647,0.17355861038125947,0.08657659245636817,0.6047146179973837,0.47402093382071453,0.1622120983981088,0,0,0,0,0,0,0,66.78271293640137,propagate,rgb/1341846313.753994.png,depth/1341846313.754052.png
8,1341846313.789969,1341846313.789985,2,2,0.3632356770833333,0.8056311231257313,0.6031321862588787,0.09980336375351878,0.1598472624235119,0.09397296792368509,0.6034999261729923,0.4532031989477674,0.15517418807402905,0,0,0,0,0,0,0,64.51416015625,propagate,rgb/1341846313.789969.png,depth/1341846313.789985.png
9,1341846313.822075,1341846313.822093,2,2,0.31686848958333336,0.803989287104905,0.5993829905671852,0.12267892880850315,0.1804125868020751,0.11930207143764865,0.6072837113330207,0.4393463425380616,0.15607661976228582,0,0,0,0,0,0,0,2601.03178024292,refresh,rgb/1341846313.822075.png,depth/1341846313.822093.png
10,1341846313.853928,1341846313.85394,2,2,0.345283203125,0.8049737158615881,0.598499833023213,0.11986920081174054,0.16893131626445984,0.13769253175199828,0.6087634274091399,0.4278032115680871,0.15424650610631938,0,0,0,0,0,0,0,59.34953689575195,propagate,rgb/1341846313.853928.png,depth/1341846313.853940.png
