case,repeat,dataset_id,method,protocol_valid,matched_poses,coverage,ate_se3_rmse_m,ate_sim3_rmse_m,sim3_scale,rpet_rmse_m,rper_rmse_deg,estimated_poses,camera_sha16,keyframe_timeline_sha16,run_dir
whalfsphere_d2ma_b_r5,r1,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_b_r5,1,1064,0.29704075935231716,0.15609311235748924,0.11884398598286396,0.823257551203868,0.016220400138605894,0.48440217992782175,1067,aef3dfbd304bed75,3e834751c7c00991,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/whalfsphere_d2ma_b_r5/r1
whalfsphere_d2ma_b_r5,r2,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_b_r5,1,1064,0.29704075935231716,0.15609311235748924,0.11884398598286396,0.823257551203868,0.016220400138605894,0.48440217992782175,1067,aef3dfbd304bed75,3e834751c7c00991,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/whalfsphere_d2ma_b_r5/r2
whalfsphere_d2ma_b_r5,r3,external_whalfsphere_rawrgb_rawdepth_mask,d2ma_b_r5,1,1064,0.29704075935231716,0.15609311235748924,0.11884398598286396,0.823257551203868,0.016220400138605894,0.48440217992782175,1067,aef3dfbd304bed75,3e834751c7c00991,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/whalfsphere_d2ma_b_r5/r3
wrpy_d2ma_b_r5,r1,external_wrpy_rawrgb_rawdepth_mask,d2ma_b_r5,1,906,0.2958850424559112,0.2699994375074346,0.12072192570782232,0.361678485496571,0.0261731926584138,0.6060053888883153,909,d7db27b3b12f0c13,240fc4a620f7a08e,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_d2ma_b_r5/r1
wrpy_d2ma_b_r5,r2,external_wrpy_rawrgb_rawdepth_mask,d2ma_b_r5,1,906,0.2958850424559112,0.2699994375074346,0.12072192570782232,0.361678485496571,0.0261731926584138,0.6060053888883153,909,d7db27b3b12f0c13,240fc4a620f7a08e,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_d2ma_b_r5/r2
wrpy_d2ma_b_r5,r3,external_wrpy_rawrgb_rawdepth_mask,d2ma_b_r5,1,906,0.2958850424559112,0.2699994375074346,0.12072192570782232,0.361678485496571,0.0261731926584138,0.6060053888883153,909,d7db27b3b12f0c13,240fc4a620f7a08e,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_d2ma_b_r5/r3
wrpy_samecount_nonboundary_r5,r1,external_wrpy_rawrgb_rawdepth_mask,samecount_nonboundary_r5,1,906,0.2958850424559112,0.6044245531259185,0.15630568296415367,0.13888401256218397,0.025395075791235254,0.5930529011934527,909,4463f344dfdef483,a78eb01436bb04e2,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_samecount_nonboundary_r5/r1
wrpy_samecount_nonboundary_r5,r2,external_wrpy_rawrgb_rawdepth_mask,samecount_nonboundary_r5,1,906,0.2958850424559112,0.6044245531259185,0.15630568296415367,0.13888401256218397,0.025395075791235254,0.5930529011934527,909,4463f344dfdef483,a78eb01436bb04e2,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_samecount_nonboundary_r5/r2
wrpy_samecount_nonboundary_r5,r3,external_wrpy_rawrgb_rawdepth_mask,samecount_nonboundary_r5,1,906,0.2958850424559112,0.6044245531259185,0.15630568296415367,0.13888401256218397,0.025395075791235254,0.5930529011934527,909,4463f344dfdef483,a78eb01436bb04e2,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_samecount_nonboundary_r5/r3
wxyz_d2ma_b_r5,r1,ablation_ei_A_raw_rgb_raw_depth_wxyz,d2ma_b_r5,1,857,0.29715672676837723,0.017884008050644086,0.01604339384335689,0.9743573069394601,0.011772420044305934,0.37544396156156334,859,05e012796d16f66e,fb642444f6847d07,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wxyz_d2ma_b_r5/r1
wxyz_d2ma_b_r5,r2,ablation_ei_A_raw_rgb_raw_depth_wxyz,d2ma_b_r5,1,857,0.29715672676837723,0.017884008050644086,0.01604339384335689,0.9743573069394601,0.011772420044305934,0.37544396156156334,859,05e012796d16f66e,fb642444f6847d07,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wxyz_d2ma_b_r5/r2
wxyz_d2ma_b_r5,r3,ablation_ei_A_raw_rgb_raw_depth_wxyz,d2ma_b_r5,1,857,0.29715672676837723,0.017884008050644086,0.01604339384335689,0.9743573069394601,0.011772420044305934,0.37544396156156334,859,05e012796d16f66e,fb642444f6847d07,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wxyz_d2ma_b_r5/r3
