case,segment,frame_start,frame_end,observed_frames,keyframes,kf_step_sum,kf_step_mean,kf_step_max,traj_est_path,traj_gt_path,traj_path_ratio,lba_count,lba_delayed_mp_sum,lba_delayed_mp_max,lba_local_mp_max,recovery_candidates,recovery_pregeom_allowed,recovery_created,probation_score_recent,probation_score_survived,probation_score_matured,probation_pose_use_edges,probation_lba_edges,pose_chain_active_lines,pose_chain_candidates,pose_chain_created,pose_chain_step_ratio_max
v11,0-149,0,149,150,55,1.771615236,0.032211186,0.351006090,2.620245812,1.246776854,2.101615702,21,9,1,3016,52,20,7,0,0,0,0,0,0,0,0,0.000000000
v12_posterior,0-149,0,149,150,53,1.730278089,0.032646756,0.386583631,2.537014381,1.246776854,2.034858422,22,26,3,3015,59,18,12,93,55,8,230,46,0,0,0,0.000000000
fixed_2kf,0-149,0,149,150,52,1.748485847,0.033624728,0.354012798,2.552680768,1.246776854,2.047423932,21,8,3,3001,53,9,4,54,31,5,123,8,0,0,0,0.000000000
fixed_4kf,0-149,0,149,150,56,1.632303716,0.029148281,0.305740594,2.374405926,1.246776854,1.904435360,22,11,4,2898,51,16,4,74,49,4,202,19,0,0,0,0.000000000
v13_min3,0-149,0,149,150,47,1.543985855,0.032850763,0.311885950,2.502868170,1.246776854,2.007470834,20,21,3,2851,53,12,8,86,54,7,193,36,4,0,0,3.073790000
v12_posterior_minus_v11,0-149,0,149,,-2.000000000,-0.041337148,0.000435570,0.035577541,-0.083231431,,-0.066757280,1.000000000,17.000000000,2.000000000,-1.000000000,7.000000000,-2.000000000,5.000000000,93.000000000,55.000000000,8.000000000,230.000000000,46.000000000,0.000000000,0.000000000,0.000000000,0.000000000
v11,150-299,150,299,150,80,2.235328637,0.027941608,0.320843958,3.343625886,0.602416926,5.550351826,31,3,2,4246,20,4,1,0,0,0,0,0,0,0,0,0.000000000
v12_posterior,150-299,150,299,150,77,2.296000496,0.029818188,0.232502299,3.548174767,0.602416926,5.889898861,29,29,1,4240,13,5,0,12,6,0,12,0,0,0,0,0.000000000
fixed_2kf,150-299,150,299,150,77,2.158859748,0.028037140,0.163520453,3.206195368,0.602416926,5.322219926,31,3,2,4236,23,4,4,28,16,3,48,0,0,0,0,0.000000000
fixed_4kf,150-299,150,299,150,81,2.184486837,0.026968973,0.131882310,3.043458962,0.602416926,5.052080761,31,1,1,4197,13,2,1,6,3,0,12,0,0,0,0,0.000000000
v13_min3,150-299,150,299,150,79,2.242239188,0.028382775,0.224951415,3.277811667,0.602416926,5.441101545,30,28,4,4148,27,10,2,32,19,0,59,0,25,0,0,2.618888000
v12_posterior_minus_v11,150-299,150,299,,-3.000000000,0.060671860,0.001876580,-0.088341659,0.204548881,,0.339547035,-2.000000000,26.000000000,-1.000000000,-6.000000000,-7.000000000,1.000000000,-1.000000000,12.000000000,6.000000000,0.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
v11,300-549,300,549,250,22,0.541264789,0.024602945,0.137623495,4.053235412,0.336606361,12.041470036,19,0,0,4495,0,0,0,0,0,0,0,0,0,0,0,0.000000000
v12_posterior,300-549,300,549,250,21,0.482518598,0.022977076,0.100359097,4.470939480,0.336606361,13.282397469,22,22,1,4512,2,0,0,4,2,0,4,0,0,0,0,0.000000000
fixed_2kf,300-549,300,549,250,22,0.541471372,0.024612335,0.122695522,3.690683363,0.336606361,10.964389830,24,0,0,4554,0,0,0,0,0,0,0,0,0,0,0,0.000000000
