match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.122865973,0.131642614,0.008776640,0.159278069,0.169301807,0.010023738,0.120575940,0.128962714,1.967013165,1.934612601,-0.032400564
50,99,50,0.168493682,0.180151452,0.011657770,0.311432863,0.323783943,0.012351080,0.168087353,0.179686628,1.481179975,1.581783219,0.100603245
100,149,50,0.299481430,0.358592849,0.059111419,0.095999102,0.096697445,0.000698342,0.256946460,0.309299954,2.550589629,2.543984676,-0.006604953
150,199,50,0.542766650,0.599164263,0.056397613,0.120206599,0.097514320,-0.022692279,0.541053356,0.597983137,4.851728797,4.818883909,-0.032844888
200,249,50,0.288712416,0.345533902,0.056821486,0.043524511,0.054193393,0.010668882,0.225188125,0.271204334,5.326028408,5.453860814,0.127832407
250,299,50,0.083247148,0.088173734,0.004926586,0.042413834,0.050903372,0.008489539,0.077521413,0.085910570,10.320880081,9.344928148,-0.975951933
300,349,50,0.164484849,0.069134990,-0.095349860,0.107310712,0.088820814,-0.018489898,0.152146424,0.061953861,31.344044835,21.672726233,-9.671318601
350,399,50,0.049264823,0.041652448,-0.007612375,0.070745326,0.059807939,-0.010937387,0.048654468,0.040630265,12.158350027,10.468440688,-1.689909339
400,449,50,0.042487964,0.052665433,0.010177469,0.055002059,0.049400604,-0.005601454,0.041841359,0.052066130,10.206559664,10.182804323,-0.023755341
450,499,50,0.065327597,0.053521865,-0.011805733,0.065532890,0.058858341,-0.006674549,0.059691976,0.052989341,20.768655451,10.280699624,-10.487955826
500,549,50,0.095448909,0.047244821,-0.048204088,0.060462929,0.043165165,-0.017297763,0.089691228,0.046960218,11.829507254,7.630302141,-4.199205114
550,599,50,0.106343084,0.067831663,-0.038511421,0.066964016,0.058179410,-0.008784606,0.102044060,0.063082841,8.056994606,7.441975175,-0.615019431
600,649,50,0.093849222,0.057210943,-0.036638279,0.048850629,0.055581381,0.006730752,0.092112686,0.055932381,12.176689824,11.151597407,-1.025092417
650,699,50,0.080447389,0.079357928,-0.001089462,0.079668445,0.084376900,0.004708455,0.076801308,0.075008069,10.843025321,8.815319389,-2.027705932
700,749,50,0.070991982,0.084983041,0.013991059,0.112160705,0.115588815,0.003428109,0.068143631,0.082085108,8.128029684,7.694506513,-0.433523171
750,799,50,0.067642841,0.071721040,0.004078199,0.078119679,0.080375866,0.002256187,0.067270075,0.071519574,7.417328955,6.636797126,-0.780531829
800,849,50,0.462930874,0.439857224,-0.023073650,0.192502076,0.182423481,-0.010078595,0.391294775,0.372888392,4.473162758,4.467030198,-0.006132560
850,899,50,0.769973479,0.727078303,-0.042895176,0.218488551,0.200661974,-0.017826577,0.769856092,0.726999619,3.456033309,3.444993107,-0.011040201
900,905,6,0.789686948,0.740829836,-0.048857112,0.218459414,0.199641736,-0.018817678,0.789674741,0.740821289,6.647065494,8.356432519,1.709367026
