match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.096387294,0.096021796,-0.000365498,0.081485922,0.090584177,0.009098255
1,0.097109281,0.098390094,0.001280814,0.082316978,0.091566980,0.009250001
2,0.097785285,0.098926373,0.001141087,0.083102663,0.092090901,0.008988237
3,0.094040657,0.097003975,0.002963318,0.082606837,0.092325735,0.009718898
4,0.095354693,0.098487930,0.003133238,0.083519487,0.093953537,0.010434050
5,0.095735359,0.095976066,0.000240707,0.084649912,0.094166744,0.009516832
6,0.092613938,0.094032777,0.001418839,0.085836085,0.095495694,0.009659609
7,0.089362832,0.094196507,0.004833675,0.086329698,0.096702718,0.010373019
8,0.089649963,0.093608249,0.003958286,0.089425342,0.099145951,0.009720609
9,0.094977845,0.094000990,-0.000976855,0.090775583,0.101227924,0.010452341
10,0.093263166,0.095106554,0.001843387,0.091920976,0.102457711,0.010536735
11,0.088855211,0.093626670,0.004771459,0.093084520,0.104417427,0.011332907
12,0.089750013,0.094390702,0.004640689,0.095711141,0.106266587,0.010555446
13,0.088288462,0.105927776,0.017639313,0.097584431,0.106698601,0.009114170
14,0.092233155,0.106794724,0.014561569,0.101148841,0.109373456,0.008224615
15,0.109041819,0.110714699,0.001672880,0.102332428,0.111556261,0.009223834
16,0.105305285,0.108391362,0.003086077,0.103262233,0.112900269,0.009638036
17,0.101628406,0.112815842,0.011187436,0.106285222,0.116785766,0.010500544
18,0.105180714,0.116782881,0.011602167,0.109808885,0.120229062,0.010420177
19,0.111875902,0.117571522,0.005695620,0.115554329,0.123590565,0.008036236
20,0.115808371,0.121989052,0.006180680,0.118823794,0.127252330,0.008428536
21,0.116448214,0.126257586,0.009809372,0.123557926,0.132601554,0.009043627
22,0.115119912,0.124834837,0.009714924,0.127267694,0.136452528,0.009184834
23,0.105924755,0.119728923,0.013804169,0.127575728,0.137496187,0.009920459
24,0.114320923,0.129650259,0.015329336,0.135950922,0.146007938,0.010057017
25,0.117725513,0.125586794,0.007861281,0.142424334,0.150933622,0.008509288
26,0.111814055,0.128167674,0.016353619,0.145934396,0.156510712,0.010576315
27,0.120616652,0.129902176,0.009285523,0.153043437,0.161537849,0.008494412
28,0.124767289,0.139154285,0.014386996,0.161332800,0.170726207,0.009393407
29,0.129164212,0.145981219,0.016817007,0.166810045,0.176792369,0.009982324
30,0.141711487,0.157067321,0.015355834,0.174862375,0.184459680,0.009597304
31,0.144789090,0.154031772,0.009242682,0.181080088,0.189186941,0.008106853
32,0.145235092,0.158589159,0.013354067,0.182957627,0.193310164,0.010352538
33,0.150508273,0.156825886,0.006317614,0.186775437,0.195617509,0.008842072
34,0.134981272,0.151171034,0.016189762,0.186071336,0.197503800,0.011432464
35,0.138754934,0.148523385,0.009768450,0.188336011,0.200233218,0.011897206
36,0.154686090,0.161460330,0.006774240,0.197294739,0.208711589,0.011416850
37,0.152381528,0.157622272,0.005240744,0.202196584,0.211408493,0.009211909
38,0.147697203,0.154686322,0.006989119,0.206147393,0.215487738,0.009340345
39,0.145658829,0.150966173,0.005307344,0.210381776,0.217810264,0.007428488
40,0.141489272,0.144232691,0.002743420,0.214106278,0.220890337,0.006784060
41,0.143776039,0.148315431,0.004539391,0.216737921,0.225219801,0.008481880
42,0.157362266,0.159843073,0.002480807,0.222072549,0.229941433,0.007868884
43,0.151515726,0.156130962,0.004615236,0.223779613,0.235404834,0.011625222
44,0.132115937,0.135155701,0.003039764,0.223278269,0.233672388,0.010394120
45,0.136158338,0.151097097,0.014938759,0.227614116,0.242384998,0.014770883
46,0.166946672,0.184959354,0.018012682,0.239701292,0.254672344,0.014971052
47,0.158743100,0.176654660,0.017911560,0.241949569,0.256647404,0.014697835
48,0.141440563,0.165160693,0.023720130,0.238438113,0.258412825,0.019974712
49,0.142696093,0.161622110,0.018926017,0.240739753,0.258804175,0.018064422
50,0.143951362,0.167297691,0.023346328,0.244743898,0.263762931,0.019019032
51,0.148447053,0.174078249,0.025631195,0.258674465,0.275333380,0.016658915
52,0.150954770,0.166165001,0.015210231,0.261937711,0.273765686,0.011827975
53,0.150322915,0.164743882,0.014420967,0.265990067,0.278409255,0.012419187
54,0.155409716,0.172062275,0.016652559,0.270883639,0.284477780,0.013594141
55,0.151906860,0.164642302,0.012735442,0.273180267,0.286262765,0.013082498
56,0.156727602,0.165290196,0.008562594,0.279087473,0.290293906,0.011206433
57,0.170762666,0.175095724,0.004333058,0.285416096,0.299373309,0.013957213
58,0.178923722,0.190347502,0.011423780,0.292571179,0.308601747,0.016030568
59,0.172685004,0.182037682,0.009352678,0.295630585,0.307364603,0.011734018
60,0.159033418,0.160270611,0.001237192,0.296954657,0.307893425,0.010938769
61,0.170984480,0.175584549,0.004600069,0.306480501,0.317589450,0.011108949
62,0.168060587,0.171156880,0.003096294,0.311546990,0.321952233,0.010405242
63,0.165696031,0.170703624,0.005007593,0.316519209,0.327852294,0.011333084
64,0.176324856,0.175718212,-0.000606644,0.326551433,0.335307293,0.008755860
65,0.168778216,0.173378267,0.004600051,0.329027440,0.337898849,0.008871408
66,0.164320934,0.178864415,0.014543481,0.333183761,0.343519537,0.010335776
67,0.162349748,0.182979565,0.020629817,0.340042627,0.353755680,0.013713053
68,0.164672416,0.185914909,0.021242492,0.343632189,0.358120000,0.014487811
69,0.175069366,0.193111546,0.018042180,0.350630450,0.365043596,0.014413146
70,0.176461182,0.193721521,0.017260339,0.356648905,0.370600330,0.013951426
71,0.164536051,0.181742068,0.017206017,0.356525364,0.370645928,0.014120564
72,0.184480988,0.198910411,0.014429422,0.365129934,0.377595565,0.012465632
73,0.190750197,0.200058343,0.009308146,0.370152565,0.382215254,0.012062690
74,0.182349772,0.192785013,0.010435242,0.369481362,0.381975973,0.012494611
75,0.172353326,0.189907179,0.017553853,0.368208752,0.381857316,0.013648564
76,0.183077395,0.200669844,0.017592450,0.372077379,0.385927388,0.013850010
77,0.190871198,0.207441776,0.016570578,0.372680391,0.386359881,0.013679491
78,0.173470836,0.193858114,0.020387278,0.366780096,0.381232414,0.014452318
79,0.164987823,0.187131918,0.022144095,0.361080180,0.376083496,0.015003315
80,0.181819924,0.202927319,0.021107396,0.362389375,0.376441474,0.014052098
81,0.184224799,0.194225186,0.010000387,0.356286366,0.367984919,0.011698553
82,0.180793329,0.191133431,0.010340102,0.350068614,0.361828803,0.011760189
83,0.180568820,0.190676433,0.010107613,0.344723754,0.356594997,0.011871243
84,0.179274040,0.187172739,0.007898699,0.335050769,0.346175023,0.011124254
85,0.180865590,0.188272933,0.007407342,0.328457794,0.339343651,0.010885857
86,0.171274214,0.180290623,0.009016409,0.319454647,0.330847601,0.011392955
87,0.164793920,0.173761707,0.008967787,0.308316184,0.319900131,0.011583947
88,0.176429856,0.184177500,0.007747644,0.303901074,0.315193208,0.011292133
89,0.171090911,0.184618848,0.013527937,0.290855831,0.304563703,0.013707872
90,0.160833377,0.176272978,0.015439601,0.281766738,0.295426268,0.013659530
91,0.170869746,0.179537971,0.008668224,0.277586782,0.289761741,0.012174960
92,0.164718064,0.174564333,0.009846269,0.264579790,0.277451786,0.012871996
93,0.162511617,0.168884351,0.006372734,0.257772769,0.268903209,0.011130440
94,0.163008568,0.170424379,0.007415811,0.250036693,0.261392139,0.011355446
95,0.167305390,0.174496236,0.007190846,0.240815177,0.251785212,0.010970035
96,0.148822497,0.157149025,0.008326528,0.232554898,0.243545378,0.010990481
97,0.152201533,0.157587051,0.005385518,0.224266910,0.234407284,0.010140374
98,0.153786168,0.157298194,0.003512026,0.216032386,0.225429828,0.009397442
99,0.150454781,0.155190884,0.004736103,0.209266244,0.218856737,0.009590493
100,0.150652026,0.152394392,0.001742366,0.203845705,0.212346757,0.008501052
101,0.144526419,0.146667463,0.002141044,0.193596190,0.202512944,0.008916753
102,0.135423794,0.137951314,0.002527521,0.185111039,0.194073093,0.008962054
103,0.125942910,0.130675000,0.004732090,0.177163668,0.186354982,0.009191314
104,0.112840993,0.116948412,0.004107418,0.165466277,0.174479435,0.009013158
105,0.104032037,0.103788327,-0.000243710,0.157913619,0.164714047,0.006800428
106,0.082901318,0.085963567,0.003062249,0.137782741,0.145378478,0.007595738
107,0.065346108,0.065923452,0.000577344,0.127008283,0.133262068,0.006253785
108,0.046111921,0.056426957,0.010315036,0.113840049,0.122161024,0.008320974
109,0.034620856,0.051986808,0.017365952,0.105797323,0.114209616,0.008412293
110,0.023738420,0.049830473,0.026092053,0.098226201,0.105858859,0.007632658
111,0.020188434,0.053869060,0.033680626,0.091060578,0.096811321,0.005750743
112,0.025836400,0.063372819,0.037536419,0.081679810,0.087211206,0.005531396
