match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.021592824,0.015379524,-0.006213301,0.018724905,0.012514950,-0.006209955,0.017142227,0.014226488,2.039791503,1.991252278,-0.048539225
50,99,50,0.015051367,0.013984875,-0.001066492,0.017621477,0.016995956,-0.000625521,0.014118796,0.012934575,2.286157534,2.030063815,-0.256093719
100,149,50,0.014629804,0.015991723,0.001361919,0.014350583,0.016631534,0.002280951,0.013997645,0.015281935,1.423855866,1.512533630,0.088677764
150,199,50,0.022393470,0.024016874,0.001623404,0.016727468,0.018852447,0.002124979,0.021128332,0.022249002,1.864929385,1.913861297,0.048931912
200,249,50,0.023755871,0.023768037,0.000012166,0.027328218,0.026942343,-0.000385874,0.021916934,0.021685538,1.957192373,2.013882732,0.056690359
250,299,50,0.023558088,0.021364168,-0.002193920,0.019531540,0.017693050,-0.001838490,0.021665610,0.019376945,1.736246360,1.809078332,0.072831973
300,349,50,0.018644471,0.018139463,-0.000505009,0.018730517,0.017419890,-0.001310627,0.017251438,0.016261622,1.545710639,1.494691503,-0.051019136
350,399,50,0.017521892,0.019960215,0.002438322,0.015190966,0.017539750,0.002348784,0.015254767,0.018045981,1.527447667,1.437963405,-0.089484262
400,449,50,0.025043727,0.026372423,0.001328696,0.021532393,0.022748241,0.001215848,0.023192852,0.024490767,1.339916278,1.398946213,0.059029934
450,499,50,0.013159540,0.011612802,-0.001546738,0.014694485,0.013084695,-0.001609789,0.012200254,0.010451109,1.641353591,1.669441480,0.028087889
500,549,50,0.016990422,0.017484224,0.000493802,0.015971804,0.016620942,0.000649138,0.015191109,0.015505992,2.421455029,2.459332822,0.037877792
550,599,50,0.017202870,0.018773171,0.001570301,0.012477428,0.014105020,0.001627592,0.016555123,0.017380715,1.460682862,1.679916898,0.219234036
600,649,50,0.010288116,0.011343681,0.001055565,0.010567862,0.011870771,0.001302909,0.009716253,0.010038775,1.248844769,1.307469567,0.058624798
650,699,50,0.015607619,0.015685335,0.000077716,0.011848863,0.012235570,0.000386707,0.014321563,0.014173460,1.400352752,1.394249843,-0.006102909
700,749,50,0.012714497,0.013129391,0.000414894,0.009313310,0.010422152,0.001108842,0.011364325,0.011867955,1.595281730,1.587700783,-0.007580947
750,799,50,0.006851509,0.007760658,0.000909149,0.006509958,0.006810083,0.000300125,0.006107690,0.007068101,1.210279243,1.242566956,0.032287713
800,849,50,0.006116940,0.006336189,0.000219248,0.007332025,0.009746365,0.002414341,0.005653080,0.005969813,2.356780395,2.353681697,-0.003098698
850,856,7,0.004658622,0.009483909,0.004825288,0.005139757,0.010508135,0.005368378,0.004585075,0.009199017,2.085477975,4.552536293,2.467058318
