match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.017024867,0.017815331,0.000790464,0.015623689,0.015776167,0.000152478
1,0.013527406,0.015193463,0.001666057,0.011893797,0.012864703,0.000970906
2,0.013084798,0.014526939,0.001442141,0.010825643,0.011575767,0.000750124
3,0.012529703,0.013193379,0.000663676,0.009298594,0.009732437,0.000433843
4,0.009718180,0.010784607,0.001066427,0.006873393,0.007415786,0.000542393
5,0.007634355,0.007407014,-0.000227341,0.007061167,0.005411515,-0.001649652
6,0.010533662,0.008189307,-0.002344355,0.010033681,0.006225853,-0.003807828
7,0.002620774,0.005415403,0.002794629,0.005042776,0.008305010,0.003262234
8,0.011277391,0.011245753,-0.000031639,0.011059513,0.008252474,-0.002807039
9,0.017898034,0.014753021,-0.003145013,0.016024035,0.011716938,-0.004307096
10,0.027979633,0.027517898,-0.000461735,0.025074273,0.025543194,0.000468922
11,0.016611979,0.014413925,-0.002198054,0.015623568,0.012694233,-0.002929335
12,0.015031545,0.011644741,-0.003386804,0.012589283,0.008763373,-0.003825910
13,0.021568078,0.018723696,-0.002844382,0.017261613,0.014767371,-0.002494241
14,0.018798049,0.019372880,0.000574830,0.015165064,0.016809059,0.001643994
15,0.012750662,0.011648188,-0.001102474,0.009158031,0.007827816,-0.001330215
16,0.014331422,0.015595727,0.001264305,0.009966721,0.012066033,0.002099312
17,0.020037329,0.017698889,-0.002338440,0.015483003,0.014117539,-0.001365464
18,0.013788077,0.012383893,-0.001404184,0.009840638,0.008515839,-0.001324799
19,0.005266502,0.006741824,0.001475323,0.002953456,0.006929536,0.003976080
20,0.003262688,0.005939592,0.002676904,0.002739495,0.007824505,0.005085010
21,0.006810670,0.005498832,-0.001311837,0.004635126,0.001016371,-0.003618755
22,0.010921372,0.009605729,-0.001315643,0.008190146,0.008187700,-0.000002446
23,0.007509714,0.010815504,0.003305790,0.007764834,0.008572360,0.000807526
24,0.003899420,0.008172906,0.004273487,0.002697259,0.003712478,0.001015219
25,0.023400320,0.023646076,0.000245757,0.018772936,0.019538674,0.000765738
26,0.011735041,0.012215450,0.000480409,0.009330768,0.011813442,0.002482674
27,0.015474280,0.015885925,0.000411645,0.010548777,0.012025003,0.001476226
28,0.012882930,0.017108328,0.004225397,0.009335657,0.012045055,0.002709398
29,0.022920021,0.023979946,0.001059924,0.018875186,0.019059368,0.000184182
30,0.017324978,0.018727747,0.001402768,0.011925411,0.013148554,0.001223143
31,0.017243527,0.007904206,-0.009339322,0.013129348,0.006884245,-0.006245103
32,0.020808019,0.026010242,0.005202224,0.017449296,0.021791164,0.004341867
33,0.067166214,0.027034926,-0.040131287,0.061550857,0.023994484,-0.037556373
