match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.122865973,0.110498930,-0.012367044,0.159278069,0.156059885,-0.003218185,0.120575940,0.108239491,1.967013165,1.967221085,0.000207920
50,99,50,0.168493682,0.151533889,-0.016959793,0.311432863,0.303404867,-0.008027996,0.168087353,0.151203474,1.481179975,1.559637246,0.078457272
100,149,50,0.299481430,0.305769465,0.006288035,0.095999102,0.089357939,-0.006641163,0.256946460,0.257622573,2.550589629,2.746305363,0.195715734
150,199,50,0.542766650,0.612466043,0.069699392,0.120206599,0.104530339,-0.015676260,0.541053356,0.611240401,4.851728797,4.187060115,-0.664668682
200,249,50,0.288712416,0.327870330,0.039157914,0.043524511,0.054519745,0.010995235,0.225188125,0.251389379,5.326028408,6.749183347,1.423154939
250,299,50,0.083247148,0.091971151,0.008724003,0.042413834,0.043051854,0.000638021,0.077521413,0.085443307,10.320880081,9.803019993,-0.517860088
300,349,50,0.164484849,0.115730635,-0.048754214,0.107310712,0.095182946,-0.012127766,0.152146424,0.085211067,31.344044835,35.571373397,4.227328562
350,399,50,0.049264823,0.047076013,-0.002188811,0.070745326,0.068646467,-0.002098859,0.048654468,0.046666023,12.158350027,11.050098358,-1.108251669
400,449,50,0.042487964,0.046049156,0.003561192,0.055002059,0.054582079,-0.000419979,0.041841359,0.045638325,10.206559664,12.052178805,1.845619141
450,499,50,0.065327597,0.058372446,-0.006955151,0.065532890,0.064539015,-0.000993875,0.059691976,0.057701837,20.768655451,10.958962116,-9.809693335
500,549,50,0.095448909,0.064500797,-0.030948112,0.060462929,0.052450106,-0.008012822,0.089691228,0.064301702,11.829507254,6.574678568,-5.254828686
550,599,50,0.106343084,0.112113513,0.005770429,0.066964016,0.069549008,0.002584992,0.102044060,0.107295646,8.056994606,7.895173526,-0.161821080
600,649,50,0.093849222,0.075811467,-0.018037755,0.048850629,0.054357792,0.005507162,0.092112686,0.073826362,12.176689824,11.282786891,-0.893902933
650,699,50,0.080447389,0.086107890,0.005660501,0.079668445,0.084325923,0.004657478,0.076801308,0.082254639,10.843025321,8.224517506,-2.618507815
700,749,50,0.070991982,0.072900132,0.001908150,0.112160705,0.109856946,-0.002303760,0.068143631,0.071276191,8.128029684,6.662825282,-1.465204402
750,799,50,0.067642841,0.072549331,0.004906491,0.078119679,0.076735787,-0.001383892,0.067270075,0.072364725,7.417328955,6.395975243,-1.021353712
800,849,50,0.462930874,0.435624955,-0.027305919,0.192502076,0.184058312,-0.008443764,0.391294775,0.368218343,4.473162758,4.225706567,-0.247456191
850,899,50,0.769973479,0.736322178,-0.033651300,0.218488551,0.213839241,-0.004649310,0.769856092,0.736220617,3.456033309,3.804407693,0.348374384
900,905,6,0.789686948,0.746208973,-0.043477976,0.218459414,0.213942394,-0.004517020,0.789674741,0.746200094,6.647065494,6.687999469,0.040933975
