match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.096387294,0.090157853,-0.006229441,0.081485922,0.080538535,-0.000947386
1,0.097109281,0.093411681,-0.003697600,0.082316978,0.081737821,-0.000579157
2,0.097785285,0.091641600,-0.006143685,0.083102663,0.081175223,-0.001927440
3,0.094040657,0.088030221,-0.006010436,0.082606837,0.080877935,-0.001728903
4,0.095354693,0.087885333,-0.007469359,0.083519487,0.081344427,-0.002175060
5,0.095735359,0.087564219,-0.008171140,0.084649912,0.083357819,-0.001292093
6,0.092613938,0.083433585,-0.009180353,0.085836085,0.084308776,-0.001527309
7,0.089362832,0.080405408,-0.008957425,0.086329698,0.084887395,-0.001442303
8,0.089649963,0.081994698,-0.007655265,0.089425342,0.088267579,-0.001157764
9,0.094977845,0.080691199,-0.014286646,0.090775583,0.090320233,-0.000455349
10,0.093263166,0.079259968,-0.014003198,0.091920976,0.090920580,-0.001000396
11,0.088855211,0.075372427,-0.013482784,0.093084520,0.092972832,-0.000111688
12,0.089750013,0.080982927,-0.008767087,0.095711141,0.095774606,0.000063465
13,0.088288462,0.077843076,-0.010445386,0.097584431,0.097039726,-0.000544704
14,0.092233155,0.081845818,-0.010387338,0.101148841,0.100189822,-0.000959019
15,0.109041819,0.102181729,-0.006860091,0.102332428,0.102600957,0.000268529
16,0.105305285,0.098012001,-0.007293283,0.103262233,0.103497800,0.000235566
17,0.101628406,0.093752483,-0.007875924,0.106285222,0.103511497,-0.002773725
18,0.105180714,0.094505889,-0.010674825,0.109808885,0.106371566,-0.003437319
19,0.111875902,0.098046527,-0.013829374,0.115554329,0.112075767,-0.003478561
20,0.115808371,0.100398501,-0.015409870,0.118823794,0.114899013,-0.003924781
21,0.116448214,0.100042050,-0.016406164,0.123557926,0.119118281,-0.004439645
22,0.115119912,0.098885005,-0.016234907,0.127267694,0.122951248,-0.004316445
23,0.105924755,0.091609266,-0.014315489,0.127575728,0.123532288,-0.004043440
24,0.114320923,0.096267562,-0.018053361,0.135950922,0.130524747,-0.005426174
25,0.117725513,0.098849721,-0.018875792,0.142424334,0.136515924,-0.005908410
26,0.111814055,0.096168934,-0.015645121,0.145934396,0.141728809,-0.004205587
27,0.120616652,0.099727263,-0.020889389,0.153043437,0.147347422,-0.005696015
28,0.124767289,0.108930961,-0.015836328,0.161332800,0.156708509,-0.004624291
29,0.129164212,0.114170707,-0.014993505,0.166810045,0.162265740,-0.004544305
