match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.131642614,0.110498930,-0.021143684,0.169301807,0.156059885,-0.013241922,0.128962714,0.108239491,1.934612601,1.967221085,0.032608484
50,99,50,0.180151452,0.151533889,-0.028617563,0.323783943,0.303404867,-0.020379076,0.179686628,0.151203474,1.581783219,1.559637246,-0.022145973
100,149,50,0.358592849,0.305769465,-0.052823384,0.096697445,0.089357939,-0.007339505,0.309299954,0.257622573,2.543984676,2.746305363,0.202320687
150,199,50,0.599164263,0.612466043,0.013301780,0.097514320,0.104530339,0.007016019,0.597983137,0.611240401,4.818883909,4.187060115,-0.631823794
200,249,50,0.345533902,0.327870330,-0.017663572,0.054193393,0.054519745,0.000326353,0.271204334,0.251389379,5.453860814,6.749183347,1.295322532
250,299,50,0.088173734,0.091971151,0.003797417,0.050903372,0.043051854,-0.007851518,0.085910570,0.085443307,9.344928148,9.803019993,0.458091845
300,349,50,0.069134990,0.115730635,0.046595645,0.088820814,0.095182946,0.006362132,0.061953861,0.085211067,21.672726233,35.571373397,13.898647164
350,399,50,0.041652448,0.047076013,0.005423564,0.059807939,0.068646467,0.008838528,0.040630265,0.046666023,10.468440688,11.050098358,0.581657670
400,449,50,0.052665433,0.046049156,-0.006616277,0.049400604,0.054582079,0.005181475,0.052066130,0.045638325,10.182804323,12.052178805,1.869374482
450,499,50,0.053521865,0.058372446,0.004850582,0.058858341,0.064539015,0.005680674,0.052989341,0.057701837,10.280699624,10.958962116,0.678262492
500,549,50,0.047244821,0.064500797,0.017255977,0.043165165,0.052450106,0.009284941,0.046960218,0.064301702,7.630302141,6.574678568,-1.055623572
550,599,50,0.067831663,0.112113513,0.044281851,0.058179410,0.069549008,0.011369598,0.063082841,0.107295646,7.441975175,7.895173526,0.453198351
600,649,50,0.057210943,0.075811467,0.018600524,0.055581381,0.054357792,-0.001223590,0.055932381,0.073826362,11.151597407,11.282786891,0.131189484
650,699,50,0.079357928,0.086107890,0.006749963,0.084376900,0.084325923,-0.000050977,0.075008069,0.082254639,8.815319389,8.224517506,-0.590801883
700,749,50,0.084983041,0.072900132,-0.012082909,0.115588815,0.109856946,-0.005731869,0.082085108,0.071276191,7.694506513,6.662825282,-1.031681231
750,799,50,0.071721040,0.072549331,0.000828291,0.080375866,0.076735787,-0.003640079,0.071519574,0.072364725,6.636797126,6.395975243,-0.240821882
800,849,50,0.439857224,0.435624955,-0.004232269,0.182423481,0.184058312,0.001634831,0.372888392,0.368218343,4.467030198,4.225706567,-0.241323631
850,899,50,0.727078303,0.736322178,0.009243876,0.200661974,0.213839241,0.013177267,0.726999619,0.736220617,3.444993107,3.804407693,0.359414585
900,905,6,0.740829836,0.746208973,0.005379136,0.199641736,0.213942394,0.014300658,0.740821289,0.746200094,8.356432519,6.687999469,-1.668433050
