match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.096021796,0.090157853,-0.005863943,0.090584177,0.080538535,-0.010045642
1,0.098390094,0.093411681,-0.004978414,0.091566980,0.081737821,-0.009829158
2,0.098926373,0.091641600,-0.007284772,0.092090901,0.081175223,-0.010915677
3,0.097003975,0.088030221,-0.008973754,0.092325735,0.080877935,-0.011447801
4,0.098487930,0.087885333,-0.010602597,0.093953537,0.081344427,-0.012609110
5,0.095976066,0.087564219,-0.008411847,0.094166744,0.083357819,-0.010808925
6,0.094032777,0.083433585,-0.010599192,0.095495694,0.084308776,-0.011186918
7,0.094196507,0.080405408,-0.013791099,0.096702718,0.084887395,-0.011815322
8,0.093608249,0.081994698,-0.011613551,0.099145951,0.088267579,-0.010878373
9,0.094000990,0.080691199,-0.013309791,0.101227924,0.090320233,-0.010907690
10,0.095106554,0.079259968,-0.015846585,0.102457711,0.090920580,-0.011537131
11,0.093626670,0.075372427,-0.018254243,0.104417427,0.092972832,-0.011444596
12,0.094390702,0.080982927,-0.013407775,0.106266587,0.095774606,-0.010491981
13,0.105927776,0.077843076,-0.028084699,0.106698601,0.097039726,-0.009658875
14,0.106794724,0.081845818,-0.024948907,0.109373456,0.100189822,-0.009183634
15,0.110714699,0.102181729,-0.008532971,0.111556261,0.102600957,-0.008955304
16,0.108391362,0.098012001,-0.010379360,0.112900269,0.103497800,-0.009402470
17,0.112815842,0.093752483,-0.019063360,0.116785766,0.103511497,-0.013274268
18,0.116782881,0.094505889,-0.022276992,0.120229062,0.106371566,-0.013857496
19,0.117571522,0.098046527,-0.019524994,0.123590565,0.112075767,-0.011514797
20,0.121989052,0.100398501,-0.021590551,0.127252330,0.114899013,-0.012353316
21,0.126257586,0.100042050,-0.026215536,0.132601554,0.119118281,-0.013483272
22,0.124834837,0.098885005,-0.025949831,0.136452528,0.122951248,-0.013501279
23,0.119728923,0.091609266,-0.028119657,0.137496187,0.123532288,-0.013963899
24,0.129650259,0.096267562,-0.033382697,0.146007938,0.130524747,-0.015483191
25,0.125586794,0.098849721,-0.026737073,0.150933622,0.136515924,-0.014417698
26,0.128167674,0.096168934,-0.031998740,0.156510712,0.141728809,-0.014781902
27,0.129902176,0.099727263,-0.030174912,0.161537849,0.147347422,-0.014190427
28,0.139154285,0.108930961,-0.030223323,0.170726207,0.156708509,-0.014017698
29,0.145981219,0.114170707,-0.031810512,0.176792369,0.162265740,-0.014526629
30,0.157067321,0.126072034,-0.030995287,0.184459680,0.169861473,-0.014598207
31,0.154031772,0.129912677,-0.024119095,0.189186941,0.176322279,-0.012864662
32,0.158589159,0.132547483,-0.026041676,0.193310164,0.178950036,-0.014360128
33,0.156825886,0.134187953,-0.022637933,0.195617509,0.181323856,-0.014293653
34,0.151171034,0.119756346,-0.031414688,0.197503800,0.179286980,-0.018216820
35,0.148523385,0.127696822,-0.020826563,0.200233218,0.185855510,-0.014377708
36,0.161460330,0.144641330,-0.016818999,0.208711589,0.194249956,-0.014461633
37,0.157622272,0.140023757,-0.017598516,0.211408493,0.196920273,-0.014488220
38,0.154686322,0.134148719,-0.020537603,0.215487738,0.201485751,-0.014001987
39,0.150966173,0.134464942,-0.016501231,0.217810264,0.207311207,-0.010499057
40,0.144232691,0.126898858,-0.017333833,0.220890337,0.209135558,-0.011754780
41,0.148315431,0.131121706,-0.017193725,0.225219801,0.214373323,-0.010846478
42,0.159843073,0.146252593,-0.013590480,0.229941433,0.220285181,-0.009656252
43,0.156130962,0.134763391,-0.021367571,0.235404834,0.222070923,-0.013333912
44,0.135155701,0.112441723,-0.022713978,0.233672388,0.213942989,-0.019729400
45,0.151097097,0.120005937,-0.031091160,0.242384998,0.220871664,-0.021513334
46,0.184959354,0.144102780,-0.040856574,0.254672344,0.230096496,-0.024575847
47,0.176654660,0.148095483,-0.028559177,0.256647404,0.238865786,-0.017781617
48,0.165160693,0.137558498,-0.027602195,0.258412825,0.240395924,-0.018016901
49,0.161622110,0.135212891,-0.026409219,0.258804175,0.242107626,-0.016696549
50,0.167297691,0.136933580,-0.030364111,0.263762931,0.246190439,-0.017572492
51,0.174078249,0.142279670,-0.031798579,0.275333380,0.256815737,-0.018517642
52,0.166165001,0.139847037,-0.026317964,0.273765686,0.256238681,-0.017527006
53,0.164743882,0.134131662,-0.030612220,0.278409255,0.260917781,-0.017491473
54,0.172062275,0.140855247,-0.031207028,0.284477780,0.266771073,-0.017706707
55,0.164642302,0.137377537,-0.027264765,0.286262765,0.269021937,-0.017240829
56,0.165290196,0.138601702,-0.026688494,0.290293906,0.273725261,-0.016568646
57,0.175095724,0.147377775,-0.027717949,0.299373309,0.280205917,-0.019167392
58,0.190347502,0.167958037,-0.022389465,0.308601747,0.289359514,-0.019242232
59,0.182037682,0.159163460,-0.022874222,0.307364603,0.290051471,-0.017313132
60,0.160270611,0.130108979,-0.030161631,0.307893425,0.287259932,-0.020633493
61,0.175584549,0.152103905,-0.023480644,0.317589450,0.297623802,-0.019965649
62,0.171156880,0.148105496,-0.023051385,0.321952233,0.302696165,-0.019256068
63,0.170703624,0.142156590,-0.028547034,0.327852294,0.307336716,-0.020515578
64,0.175718212,0.150027005,-0.025691208,0.335307293,0.315440143,-0.019867150
65,0.173378267,0.150366881,-0.023011386,0.337898849,0.319540568,-0.018358281
66,0.178864415,0.148121636,-0.030742779,0.343519537,0.323864417,-0.019655120
67,0.182979565,0.147364508,-0.035615057,0.353755680,0.331464441,-0.022291239
68,0.185914909,0.148165800,-0.037749108,0.358120000,0.335367827,-0.022752173
69,0.193111546,0.158142140,-0.034969406,0.365043596,0.342599548,-0.022444048
70,0.193721521,0.159455234,-0.034266287,0.370600330,0.348660144,-0.021940186
71,0.181742068,0.148300133,-0.033441934,0.370645928,0.349772682,-0.020873246
72,0.198910411,0.158852574,-0.040057837,0.377595565,0.353716368,-0.023879198
73,0.200058343,0.167240286,-0.032818058,0.382215254,0.360563564,-0.021651690
74,0.192785013,0.161331258,-0.031453756,0.381975973,0.359674535,-0.022301439
75,0.189907179,0.154903319,-0.035003860,0.381857316,0.359188228,-0.022669088
76,0.200669844,0.169863047,-0.030806798,0.385927388,0.364386553,-0.021540835
77,0.207441776,0.174427690,-0.033014086,0.386359881,0.364011859,-0.022348022
78,0.193858114,0.160501687,-0.033356427,0.381232414,0.359045903,-0.022186512
79,0.187131918,0.148789441,-0.038342477,0.376083496,0.352437192,-0.023646304
80,0.202927319,0.162332234,-0.040595085,0.376441474,0.352304474,-0.024137000
81,0.194225186,0.166262084,-0.027963101,0.367984919,0.348014647,-0.019970272
82,0.191133431,0.159051925,-0.032081506,0.361828803,0.339669700,-0.022159103
83,0.190676433,0.159750563,-0.030925871,0.356594997,0.334655433,-0.021939564
