match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.021592824,0.016964924,-0.004627900,0.018724905,0.013207199,-0.005517706,0.017142227,0.015640749,2.039791503,2.017623103,-0.022168400
50,99,50,0.015051367,0.013065970,-0.001985397,0.017621477,0.016046525,-0.001574952,0.014118796,0.011999603,2.286157534,2.122488906,-0.163668628
100,149,50,0.014629804,0.014190515,-0.000439288,0.014350583,0.014113891,-0.000236692,0.013997645,0.013434867,1.423855866,1.471958356,0.048102491
150,199,50,0.022393470,0.022708135,0.000314665,0.016727468,0.018489631,0.001762164,0.021128332,0.021114371,1.864929385,1.996890565,0.131961180
200,249,50,0.023755871,0.020542091,-0.003213780,0.027328218,0.023486318,-0.003841900,0.021916934,0.018181959,1.957192373,1.974949379,0.017757007
250,299,50,0.023558088,0.020645913,-0.002912176,0.019531540,0.016581076,-0.002950463,0.021665610,0.018807657,1.736246360,1.812220869,0.075974509
300,349,50,0.018644471,0.017938199,-0.000706272,0.018730517,0.017581420,-0.001149097,0.017251438,0.016195102,1.545710639,1.571519361,0.025808722
350,399,50,0.017521892,0.021373042,0.003851149,0.015190966,0.018623693,0.003432727,0.015254767,0.020202505,1.527447667,1.480716138,-0.046731529
400,449,50,0.025043727,0.027537931,0.002494204,0.021532393,0.022899577,0.001367184,0.023192852,0.025832807,1.339916278,1.411190640,0.071274361
450,499,50,0.013159540,0.013964027,0.000804487,0.014694485,0.015435956,0.000741472,0.012200254,0.012954955,1.641353591,1.583412887,-0.057940704
500,549,50,0.016990422,0.018677592,0.001687170,0.015971804,0.017681604,0.001709799,0.015191109,0.016852464,2.421455029,2.439648361,0.018193332
550,599,50,0.017202870,0.017133738,-0.000069133,0.012477428,0.012663978,0.000186550,0.016555123,0.016736573,1.460682862,1.523582808,0.062899946
600,649,50,0.010288116,0.008412578,-0.001875538,0.010567862,0.008726181,-0.001841682,0.009716253,0.007515341,1.248844769,1.190763829,-0.058080940
650,699,50,0.015607619,0.014843824,-0.000763795,0.011848863,0.011156791,-0.000692072,0.014321563,0.013581485,1.400352752,1.384068419,-0.016284333
700,749,50,0.012714497,0.011576910,-0.001137588,0.009313310,0.009074340,-0.000238971,0.011364325,0.010353069,1.595281730,1.645721154,0.050439423
750,799,50,0.006851509,0.008163201,0.001311692,0.006509958,0.006742079,0.000232121,0.006107690,0.007524442,1.210279243,1.200481350,-0.009797893
800,849,50,0.006116940,0.005972841,-0.000144100,0.007332025,0.007114181,-0.000217844,0.005653080,0.005593774,2.356780395,2.393968989,0.037188594
850,856,7,0.004658622,0.009688378,0.005029756,0.005139757,0.010454781,0.005315024,0.004585075,0.008934074,2.085477975,4.256873358,2.171395383
