match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.017024867,0.013738725,-0.003286142,0.015623689,0.012114256,-0.003509433
1,0.013527406,0.010529090,-0.002998316,0.011893797,0.008471985,-0.003421813
2,0.013084798,0.010926871,-0.002157927,0.010825643,0.008134997,-0.002690646
3,0.012529703,0.013147803,0.000618100,0.009298594,0.009360063,0.000061469
4,0.009718180,0.009358440,-0.000359740,0.006873393,0.005675484,-0.001197909
5,0.007634355,0.005376294,-0.002258061,0.007061167,0.002783406,-0.004277762
6,0.010533662,0.007800734,-0.002732928,0.010033681,0.005834117,-0.004199564
7,0.002620774,0.006401078,0.003780304,0.005042776,0.009388135,0.004345360
8,0.011277391,0.010756650,-0.000520741,0.011059513,0.007203971,-0.003855542
9,0.017898034,0.015858117,-0.002039917,0.016024035,0.012383844,-0.003640191
10,0.027979633,0.034691827,0.006712194,0.025074273,0.032446067,0.007371794
11,0.016611979,0.022705733,0.006093753,0.015623568,0.020896258,0.005272690
12,0.015031545,0.015149704,0.000118159,0.012589283,0.011521211,-0.001068071
13,0.021568078,0.025780533,0.004212455,0.017261613,0.021166923,0.003905311
14,0.018798049,0.019628298,0.000830249,0.015165064,0.016120459,0.000955394
15,0.012750662,0.013709870,0.000959208,0.009158031,0.010577332,0.001419301
16,0.014331422,0.012529162,-0.001802261,0.009966721,0.008005388,-0.001961333
17,0.020037329,0.016214459,-0.003822871,0.015483003,0.011792974,-0.003690030
18,0.013788077,0.016285003,0.002496926,0.009840638,0.011508536,0.001667898
19,0.005266502,0.010702657,0.005436156,0.002953456,0.008291169,0.005337713
20,0.003262688,0.009656692,0.006394004,0.002739495,0.006835864,0.004096368
21,0.006810670,0.008383528,0.001572858,0.004635126,0.003422652,-0.001212474
22,0.010921372,0.012847850,0.001926478,0.008190146,0.009380135,0.001189989
23,0.007509714,0.011256275,0.003746561,0.007764834,0.008223129,0.000458295
24,0.003899420,0.013262343,0.009362923,0.002697259,0.008239810,0.005542551
25,0.023400320,0.024885964,0.001485644,0.018772936,0.019299895,0.000526959
26,0.011735041,0.014242531,0.002507490,0.009330768,0.009710067,0.000379298
27,0.015474280,0.022977551,0.007503271,0.010548777,0.017222013,0.006673235
28,0.012882930,0.019033546,0.006150616,0.009335657,0.013090469,0.003754812
29,0.022920021,0.025027406,0.002107384,0.018875186,0.019657343,0.000782158
30,0.017324978,0.020616162,0.003291184,0.011925411,0.014337947,0.002412536
31,0.017243527,0.012410968,-0.004832559,0.013129348,0.006424466,-0.006704882
32,0.020808019,0.016975420,-0.003832598,0.017449296,0.013043801,-0.004405495
33,0.067166214,0.017757228,-0.049408985,0.061550857,0.017238931,-0.044311926
34,0.060048439,0.009641811,-0.050406628,0.054190655,0.010216816,-0.043973840
35,0.055068122,0.014968424,-0.040099698,0.049056677,0.010060282,-0.038996395
36,0.041346039,0.019366354,-0.021979685,0.035021567,0.012341621,-0.022679946
37,0.022737662,0.007849593,-0.014888069,0.016576251,0.007222687,-0.009353564
