match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.015379524,0.016964924,0.001585400,0.012514950,0.013207199,0.000692249,0.014226488,0.015640749,1.991252278,2.017623103,0.026370825
50,99,50,0.013984875,0.013065970,-0.000918905,0.016995956,0.016046525,-0.000949431,0.012934575,0.011999603,2.030063815,2.122488906,0.092425091
100,149,50,0.015991723,0.014190515,-0.001801207,0.016631534,0.014113891,-0.002517643,0.015281935,0.013434867,1.512533630,1.471958356,-0.040575274
150,199,50,0.024016874,0.022708135,-0.001308739,0.018852447,0.018489631,-0.000362815,0.022249002,0.021114371,1.913861297,1.996890565,0.083029268
200,249,50,0.023768037,0.020542091,-0.003225946,0.026942343,0.023486318,-0.003456025,0.021685538,0.018181959,2.013882732,1.974949379,-0.038933352
250,299,50,0.021364168,0.020645913,-0.000718255,0.017693050,0.016581076,-0.001111974,0.019376945,0.018807657,1.809078332,1.812220869,0.003142536
300,349,50,0.018139463,0.017938199,-0.000201263,0.017419890,0.017581420,0.000161530,0.016261622,0.016195102,1.494691503,1.571519361,0.076827858
350,399,50,0.019960215,0.021373042,0.001412827,0.017539750,0.018623693,0.001083943,0.018045981,0.020202505,1.437963405,1.480716138,0.042752733
400,449,50,0.026372423,0.027537931,0.001165508,0.022748241,0.022899577,0.000151336,0.024490767,0.025832807,1.398946213,1.411190640,0.012244427
450,499,50,0.011612802,0.013964027,0.002351225,0.013084695,0.015435956,0.002351261,0.010451109,0.012954955,1.669441480,1.583412887,-0.086028593
500,549,50,0.017484224,0.018677592,0.001193368,0.016620942,0.017681604,0.001060662,0.015505992,0.016852464,2.459332822,2.439648361,-0.019684460
550,599,50,0.018773171,0.017133738,-0.001639433,0.014105020,0.012663978,-0.001441041,0.017380715,0.016736573,1.679916898,1.523582808,-0.156334090
600,649,50,0.011343681,0.008412578,-0.002931103,0.011870771,0.008726181,-0.003144591,0.010038775,0.007515341,1.307469567,1.190763829,-0.116705738
650,699,50,0.015685335,0.014843824,-0.000841511,0.012235570,0.011156791,-0.001078779,0.014173460,0.013581485,1.394249843,1.384068419,-0.010181424
700,749,50,0.013129391,0.011576910,-0.001552482,0.010422152,0.009074340,-0.001347812,0.011867955,0.010353069,1.587700783,1.645721154,0.058020370
750,799,50,0.007760658,0.008163201,0.000402543,0.006810083,0.006742079,-0.000068004,0.007068101,0.007524442,1.242566956,1.200481350,-0.042085605
800,849,50,0.006336189,0.005972841,-0.000363348,0.009746365,0.007114181,-0.002632185,0.005969813,0.005593774,2.353681697,2.393968989,0.040287292
850,856,7,0.009483909,0.009688378,0.000204468,0.010508135,0.010454781,-0.000053354,0.009199017,0.008934074,4.552536293,4.256873358,-0.295662935
