match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.017815331,0.013738725,-0.004076607,0.015776167,0.012114256,-0.003661911
1,0.015193463,0.010529090,-0.004664373,0.012864703,0.008471985,-0.004392718
2,0.014526939,0.010926871,-0.003600068,0.011575767,0.008134997,-0.003440771
3,0.013193379,0.013147803,-0.000045575,0.009732437,0.009360063,-0.000372374
4,0.010784607,0.009358440,-0.001426166,0.007415786,0.005675484,-0.001740303
5,0.007407014,0.005376294,-0.002030720,0.005411515,0.002783406,-0.002628110
6,0.008189307,0.007800734,-0.000388572,0.006225853,0.005834117,-0.000391736
7,0.005415403,0.006401078,0.000985675,0.008305010,0.009388135,0.001083125
8,0.011245753,0.010756650,-0.000489103,0.008252474,0.007203971,-0.001048503
9,0.014753021,0.015858117,0.001105095,0.011716938,0.012383844,0.000666905
10,0.027517898,0.034691827,0.007173929,0.025543194,0.032446067,0.006902872
11,0.014413925,0.022705733,0.008291808,0.012694233,0.020896258,0.008202025
12,0.011644741,0.015149704,0.003504963,0.008763373,0.011521211,0.002757838
13,0.018723696,0.025780533,0.007056838,0.014767371,0.021166923,0.006399552
14,0.019372880,0.019628298,0.000255419,0.016809059,0.016120459,-0.000688600
15,0.011648188,0.013709870,0.002061682,0.007827816,0.010577332,0.002749516
16,0.015595727,0.012529162,-0.003066565,0.012066033,0.008005388,-0.004060645
17,0.017698889,0.016214459,-0.001484430,0.014117539,0.011792974,-0.002324565
18,0.012383893,0.016285003,0.003901110,0.008515839,0.011508536,0.002992697
19,0.006741824,0.010702657,0.003960833,0.006929536,0.008291169,0.001361633
20,0.005939592,0.009656692,0.003717101,0.007824505,0.006835864,-0.000988642
21,0.005498832,0.008383528,0.002884696,0.001016371,0.003422652,0.002406281
22,0.009605729,0.012847850,0.003242121,0.008187700,0.009380135,0.001192436
23,0.010815504,0.011256275,0.000440770,0.008572360,0.008223129,-0.000349231
24,0.008172906,0.013262343,0.005089436,0.003712478,0.008239810,0.004527333
25,0.023646076,0.024885964,0.001239888,0.019538674,0.019299895,-0.000238779
26,0.012215450,0.014242531,0.002027081,0.011813442,0.009710067,-0.002103376
27,0.015885925,0.022977551,0.007091625,0.012025003,0.017222013,0.005197009
28,0.017108328,0.019033546,0.001925219,0.012045055,0.013090469,0.001045414
29,0.023979946,0.025027406,0.001047460,0.019059368,0.019657343,0.000597976
30,0.018727747,0.020616162,0.001888415,0.013148554,0.014337947,0.001189394
31,0.007904206,0.012410968,0.004506763,0.006884245,0.006424466,-0.000459779
32,0.026010242,0.016975420,-0.009034822,0.021791164,0.013043801,-0.008747362
33,0.027034926,0.017757228,-0.009277698,0.023994484,0.017238931,-0.006755553
34,0.014224621,0.009641811,-0.004582810,0.013453183,0.010216816,-0.003236367
35,0.017677525,0.014968424,-0.002709101,0.014321759,0.010060282,-0.004261477
36,0.017481770,0.019366354,0.001884584,0.011436566,0.012341621,0.000905055
37,0.018421686,0.007849593,-0.010572093,0.011814284,0.007222687,-0.004591597
38,0.017029375,0.005409190,-0.011620185,0.012886009,0.005562018,-0.007323990
39,0.009948426,0.009550954,-0.000397472,0.006339208,0.014249321,0.007910113
40,0.015742669,0.026894386,0.011151716,0.012848767,0.019056265,0.006207498
41,0.013633796,0.022418905,0.008785109,0.010462663,0.014390875,0.003928212
42,0.015333342,0.030575153,0.015241811,0.008341313,0.022865318,0.014524005
43,0.003997922,0.017723471,0.013725548,0.004753924,0.009792101,0.005038176
44,0.009597449,0.009259837,-0.000337612,0.013057087,0.007813771,-0.005243316
45,0.005739740,0.017635223,0.011895483,0.004340434,0.009373536,0.005033102
46,0.023692772,0.025097676,0.001404904,0.018387365,0.019327585,0.000940220
47,0.018841012,0.016394029,-0.002446983,0.018736457,0.017602033,-0.001134424
48,0.015476979,0.017494181,0.002017201,0.009731892,0.010562874,0.000830982
49,0.007674042,0.011133771,0.003459729,0.002940636,0.006432891,0.003492255
50,0.005065316,0.011478381,0.006413065,0.011744980,0.011433056,-0.000311924
51,0.018629010,0.021026477,0.002397466,0.019063446,0.020100851,0.001037405
52,0.015583668,0.012492808,-0.003090860,0.012914171,0.015758208,0.002844037
53,0.023424544,0.008943015,-0.014481529,0.017325801,0.017156378,-0.000169423
54,0.013186609,0.009810841,-0.003375767,0.008043475,0.018698167,0.010654692
55,0.011519331,0.011931312,0.000411981,0.005123890,0.018999989,0.013876099
56,0.004569538,0.016323818,0.011754280,0.004673178,0.024985317,0.020312139
57,0.004743199,0.003375763,-0.001367436,0.005650968,0.006722773,0.001071805
58,0.008063070,0.006473860,-0.001589210,0.004216492,0.005062271,0.000845778
59,0.003680062,0.010716586,0.007036524,0.005560563,0.002418810,-0.003141753
60,0.010168083,0.006577664,-0.003590419,0.004683558,0.009609659,0.004926101
61,0.009801083,0.017928801,0.008127718,0.007897083,0.011789948,0.003892865
62,0.019221914,0.030342217,0.011120303,0.013907256,0.023812028,0.009904772
63,0.016205700,0.006921339,-0.009284361,0.022305128,0.013210907,-0.009094221
64,0.005717888,0.001278995,-0.004438893,0.014420486,0.009482950,-0.004937536
65,0.009276810,0.004724063,-0.004552748,0.011111807,0.008535224,-0.002576583
66,0.014656804,0.009734419,-0.004922386,0.014164075,0.012997501,-0.001166574
67,0.013589057,0.008201776,-0.005387281,0.014206977,0.016710441,0.002503464
68,0.014647819,0.009243534,-0.005404285,0.015875151,0.014602753,-0.001272398
69,0.017825804,0.013932743,-0.003893060,0.017905977,0.014539421,-0.003366556
70,0.012310459,0.015737052,0.003426593,0.016806863,0.015053614,-0.001753250
71,0.010292521,0.010624138,0.000331617,0.017064964,0.016213651,-0.000851313
72,0.011164748,0.009475074,-0.001689674,0.016582730,0.013056934,-0.003525795
73,0.019103497,0.011198370,-0.007905126,0.025502395,0.016107816,-0.009394579
74,0.009860160,0.006576677,-0.003283483,0.017533485,0.011442491,-0.006090994
75,0.007122223,0.009190831,0.002068608,0.014291560,0.013913658,-0.000377902
76,0.009342466,0.011135437,0.001792971,0.016378903,0.018539013,0.002160110
77,0.014128972,0.010661084,-0.003467888,0.020337570,0.018393629,-0.001943940
78,0.005936281,0.008872516,0.002936235,0.013222121,0.013200458,-0.000021663
79,0.001662018,0.002875281,0.001213263,0.005995225,0.007756376,0.001761151
