case,frame_id,timestamp,is_keyframe_created,num_keyframes,num_mappoints,local_map_matches_before_pose,inlier_map_matches_after_pose,estimated_accum_path_m,estimated_frame_step_m,mask_ratio,ckf_accepted_depth_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_skipped_new_candidates,ckf_direct_vetoed_candidates,lm_delayed_rejected_boundary_pairs,lm_delayed_support_sum,lm_kept_pairs_after_boundary,lm_kept_pairs_after_delayed_boundary,lm_kept_static_pairs_after_instance,lm_promoted_geom_created,lm_promoted_geom_depth,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_triangulated,lm_quality_depth_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_raw_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_score_created,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_support_accepted,lm_score_support_candidates,lm_score_support_rejected,lm_skipped_boundary_pairs,lm_skipped_instance_pairs,lm_state_allowed,lm_state_candidates,lm_state_keyframe_pressure,lm_state_lba_pressure,lm_state_rejected,lm_state_scale_pressure,lm_state_tracking_pressure,lm_support_promoted_boundary_pairs
wrpy_v4_near_diag,3,1341846647.866652,1,1,768,318,226,0.019230,0.008109,0.360042,266,9,11,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,4,1341846647.901972,1,2,810,344,244,0.022520,0.003290,0.378242,235,16,4,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,5,1341846647.934224,1,3,830,294,218,0.028149,0.005628,0.000000,647,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,8,1341846648.034343,1,4,1040,341,219,0.051313,0.002885,0.000000,667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,12,1341846648.170568,1,5,1318,374,218,0.067988,0.004251,0.041351,665,16,31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,14,1341846648.238157,1,6,1331,395,244,0.074772,0.005710,0.037259,734,6,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,15,1341846648.270152,1,7,1454,403,264,0.087905,0.013134,0.047555,704,7,22,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,18,1341846648.370216,1,8,1400,350,184,0.122789,0.018903,0.163434,625,33,36,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,20,1341846648.438342,1,9,1492,420,204,0.134358,0.005378,0.137721,686,29,43,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v4_near_diag,22,1341846648.506263,1,10,1520,442,237,0.141977,0.006008,0.175218,618,35,32,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
