frame_start,frame_end,timestamp_start,timestamp_end,baseline_frames,probe_frames,probe_state_candidates,probe_state_allowed,probe_state_rejected,probe_tracking_pressure,probe_keyframe_pressure,probe_scale_pressure,probe_lba_pressure,baseline_score_created,probe_score_created,baseline_mean_inliers,probe_mean_inliers,baseline_mean_step_m,probe_mean_step_m,baseline_mean_mappoints,probe_mean_mappoints,baseline_mean_keyframes,probe_mean_keyframes,baseline_segment_est_gt_ratio,probe_segment_est_gt_ratio,segment_ratio_delta_probe_minus_baseline,baseline_cum_est_gt_ratio_end,probe_cum_est_gt_ratio_end,cum_ratio_delta_probe_minus_baseline,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline
0,49,1341846647.766393,1341846649.416053,50,50,10,2,8,1,8,1,0,7,2,239.040000,238.820000,0.009909,0.009906,1358.520000,1358.880000,14.600000,14.600000,1.976656,2.001431,0.024775,1.976656,2.001431,0.024775,0.124251,0.146526,0.022275,0.153449,0.171364,0.017915
50,99,1341846649.448084,1341846651.118423,50,50,39,0,39,0,24,7,0,17,0,262.400000,248.400000,0.015320,0.015075,1907.100000,1792.880000,40.860000,38.680000,1.694253,1.810503,0.116250,1.802365,1.876573,0.074208,0.168267,0.231358,0.063091,0.313957,0.348074,0.034117
100,149,1341846651.154189,1341846652.830250,50,50,13,6,7,3,9,1,0,3,4,200.800000,201.160000,0.026468,0.025427,2775.460000,2698.940000,63.600000,63.800000,2.268922,2.276163,0.007241,2.010215,2.049607,0.039392,0.313663,0.327628,0.013965,0.106421,0.119189,0.012768
150,199,1341846652.862014,1341846654.502267,50,50,6,5,1,5,6,0,0,5,4,121.920000,120.000000,0.021794,0.022498,3387.100000,3287.500000,106.540000,106.000000,5.703639,5.328871,-0.374768,2.463530,2.453258,-0.010272,0.583187,0.587446,0.004259,0.108632,0.138644,0.030012
200,249,1341846654.539064,1341846656.214132,50,50,8,8,0,2,2,2,0,5,6,184.920000,175.940000,0.027045,0.030529,3976.120000,3809.060000,151.400000,145.680000,6.105876,6.224229,0.118353,3.124282,3.127078,0.002796,0.336852,0.370608,0.033756,0.052198,0.053318,0.001120
250,299,1341846656.246093,1341846657.922046,50,50,0,0,0,0,0,0,0,0,0,152.460000,153.500000,0.018685,0.018502,4282.340000,4150.560000,187.400000,181.820000,7.976185,8.350658,0.374473,3.442317,3.474296,0.031979,0.071573,0.097798,0.026225,0.041604,0.056324,0.014720
300,349,1341846657.954192,1341846659.598122,50,50,0,0,0,0,0,0,0,0,0,312.300000,307.060000,0.020925,0.022168,4746.160000,4558.260000,204.140000,201.040000,15.429820,15.173809,-0.256011,4.000603,3.995547,-0.005056,0.064217,0.066518,0.002301,0.089373,0.093795,0.004422
350,399,1341846659.630209,1341846661.274177,50,50,0,0,0,0,0,0,0,0,0,393.720000,376.360000,0.015835,0.016539,4692.180000,4541.880000,207.980000,203.440000,13.719598,12.801038,-0.918560,4.341595,4.298646,-0.042949,0.053409,0.049774,-0.003635,0.070490,0.066712,-0.003778
400,449,1341846661.308814,1341846662.956034,50,50,0,0,0,0,0,0,0,0,0,170.040000,175.820000,0.010286,0.010201,4425.900000,4267.200000,221.380000,216.500000,13.029037,13.044191,0.015154,4.537663,4.494831,-0.042832,0.047345,0.071329,0.023984,0.053163,0.046300,-0.006863
450,499,1341846662.982678,1341846664.626196,50,50,0,0,0,0,0,0,0,0,0,221.860000,216.500000,0.011248,0.012418,4430.680000,4222.340000,236.640000,229.760000,12.244222,10.342021,-1.902201,4.770849,4.669301,-0.101548,0.055132,0.062987,0.007855,0.062050,0.053673,-0.008377
