frame_id,timestamp,state_candidates,state_allowed,state_rejected,tracking_pressure,keyframe_pressure,scale_pressure,lba_pressure,score_created,probe_inliers,baseline_inliers,probe_mappoints,baseline_mappoints,probe_keyframes,baseline_keyframes,probe_step_m,baseline_step_m,probe_cum_ratio,baseline_cum_ratio,cum_ratio_delta_probe_minus_baseline,probe_next50_ratio,baseline_next50_ratio,next50_ratio_delta_probe_minus_baseline
38,1341846649.042101,1,0,1,0,1,0,0,0,193,193,1611,1611,24,24,0.024312,0.024312,1.747510,1.768577,-0.021067,2.239409,2.105369,0.134040
39,1341846649.074128,3,0,3,0,3,0,0,0,185,185,1613,1613,25,25,0.013628,0.013628,1.800973,1.807162,-0.006189,2.181974,2.060812,0.121162
40,1341846649.106188,2,0,2,0,2,0,0,0,185,186,1630,1632,26,26,0.015418,0.015391,1.823119,1.797218,0.025901,2.126928,2.021078,0.105850
48,1341846649.383973,2,2,0,1,0,1,0,2,154,152,1520,1517,28,28,0.005225,0.012937,1.958445,1.931645,0.026800,1.821418,1.729078,0.092340
49,1341846649.416053,2,0,2,0,2,0,0,0,178,187,1575,1573,29,29,0.028041,0.029144,2.001431,1.976656,0.024775,1.804260,1.701420,0.102840
50,1341846649.448084,5,0,5,0,5,0,0,0,207,198,1642,1632,30,30,0.009163,0.015076,1.986822,1.982767,0.004055,1.780505,1.677367,0.103138
51,1341846649.484154,7,0,7,0,7,0,0,0,240,237,1660,1656,31,31,0.017883,0.015636,2.019297,2.017524,0.001773,1.725763,1.627716,0.098047
56,1341846649.678101,1,0,1,0,0,1,0,0,198,199,1581,1576,32,32,0.013031,0.010487,2.016185,2.003872,0.012313,1.618334,1.522223,0.096111
57,1341846649.710937,2,0,2,0,2,0,0,0,194,198,1633,1633,33,33,0.016358,0.011428,2.038278,2.008716,0.029562,1.578554,1.508360,0.070194
68,1341846650.078250,8,0,8,0,0,6,0,0,171,189,1607,1708,36,39,0.021865,0.036156,2.117474,2.011950,0.105524,1.449020,1.458241,-0.009221
69,1341846650.114215,1,0,1,0,1,0,0,0,239,264,1633,1757,37,40,0.008570,0.007783,2.099775,1.993975,0.105800,1.460061,1.474862,-0.014801
71,1341846650.182236,10,0,10,0,5,0,0,0,258,268,1721,1834,39,42,0.011946,0.016527,2.066919,1.957078,0.109841,1.497147,1.521822,-0.024675
89,1341846650.782116,2,0,2,0,1,0,0,0,321,316,2262,2058,44,44,0.009675,0.012371,2.053184,1.975070,0.078114,1.822440,1.831414,-0.008974
94,1341846650.950233,1,0,1,0,1,0,0,0,370,370,2413,2584,44,47,0.016527,0.018412,1.954813,1.882719,0.072094,2.021483,1.966899,0.054584
95,1341846650.986247,1,0,1,0,1,0,0,0,308,283,2453,2396,45,47,0.010861,0.016385,1.920878,1.850696,0.070182,2.053414,2.039560,0.013854
98,1341846651.086169,1,0,1,0,1,0,0,0,326,328,2438,2624,47,50,0.015606,0.014465,1.870727,1.801972,0.068755,2.194093,2.142925,0.051168
100,1341846651.154189,1,0,1,0,1,0,0,0,363,322,2514,2292,49,48,0.019236,0.017001,1.856037,1.789174,0.066863,2.300120,2.292655,0.007465
106,1341846651.354135,1,0,1,0,1,0,0,0,376,317,2515,2310,52,51,0.012044,0.012082,1.770693,1.706672,0.064021,2.654939,2.594936,0.060003
110,1341846651.522099,1,0,1,0,1,0,0,0,275,279,2510,2704,53,54,0.012702,0.016049,1.730333,1.671834,0.058499,2.873091,2.864843,0.008248
114,1341846651.654223,1,1,0,0,1,1,0,1,203,283,2579,2770,54,56,0.020911,0.021471,1.719668,1.668779,0.050889,3.084133,3.133657,-0.049524
125,1341846652.022081,3,3,0,1,1,0,0,1,148,155,2737,2820,63,64,0.030495,0.040720,1.781612,1.754934,0.026678,3.863785,3.875413,-0.011628
128,1341846652.126257,3,0,3,0,1,0,0,0,171,148,2652,2748,66,66,0.034488,0.031009,1.834215,1.806187,0.028028,3.981719,4.035142,-0.053423
130,1341846652.190049,2,2,0,2,2,0,0,2,160,140,2755,2790,68,68,0.039853,0.038895,1.880233,1.849622,0.030611,3.997435,4.016499,-0.019064
140,1341846652.526469,1,0,1,0,1,0,0,0,202,199,2896,2947,74,73,0.008092,0.010184,1.917081,1.883707,0.033374,5.205552,5.133970,0.071582
154,1341846652.994687,1,1,0,1,1,0,0,1,103,85,3076,3144,88,87,0.046912,0.047886,2.113111,2.062890,0.050221,5.291991,5.449820,-0.157829
159,1341846653.162620,1,1,0,1,1,0,0,0,121,125,3194,3242,93,92,0.015650,0.027149,2.140544,2.096085,0.044459,5.058392,5.107313,-0.048921
162,1341846653.262357,1,1,0,1,1,0,0,1,109,146,3260,3401,96,95,0.009722,0.019090,2.170531,2.139588,0.030943,4.882790,4.752975,0.129815
187,1341846654.102438,1,1,0,1,1,0,0,1,122,106,3381,3475,118,119,0.012554,0.009422,2.336563,2.281488,0.055075,5.673861,5.949053,-0.275192
188,1341846654.134349,1,1,0,1,1,0,0,1,150,146,3335,3410,117,120,0.030215,0.017394,2.341784,2.291610,0.050174,5.712435,5.947024,-0.234589
198,1341846654.470186,1,0,1,0,1,0,0,0,162,192,3464,3578,122,127,0.023625,0.033126,2.421774,2.438824,-0.017050,6.356839,6.285653,0.071186
240,1341846655.910355,8,8,0,2,2,2,0,6,133,117,3932,4069,157,164,0.060316,0.065075,3.040082,3.046136,-0.006054,7.909313,7.139247,0.770066
579,1341846667.306189,1,1,0,1,1,1,0,0,122,133,5213,5296,239,238,0.059888,0.024437,4.832000,5.063744,-0.231744,11.753198,11.065311,0.687887
713,1341846671.804605,1,1,0,1,1,0,0,0,113,122,5400,5544,298,295,0.009050,0.005827,5.480554,5.664527,-0.183973,5.681986,6.111342,-0.429356
826,1341846675.686118,1,0,1,0,1,0,0,0,187,195,6159,6200,348,339,0.018763,0.019182,5.647146,5.795176,-0.148030,3.566824,3.117637,0.449187
849,1341846676.490669,1,0,1,0,1,0,0,0,182,163,6465,6397,366,355,0.009345,0.017503,5.552170,5.654842,-0.102672,3.314130,3.017304,0.296826
