frame_start,frame_end,timestamp_start,timestamp_end,baseline_frames,probe_frames,probe_state_candidates,probe_state_allowed,probe_state_rejected,probe_tracking_pressure,probe_keyframe_pressure,probe_scale_pressure,probe_lba_pressure,baseline_score_created,probe_score_created,baseline_mean_inliers,probe_mean_inliers,baseline_mean_step_m,probe_mean_step_m,baseline_mean_mappoints,probe_mean_mappoints,baseline_mean_keyframes,probe_mean_keyframes,baseline_segment_est_gt_ratio,probe_segment_est_gt_ratio,segment_ratio_delta_probe_minus_baseline,baseline_cum_est_gt_ratio_end,probe_cum_est_gt_ratio_end,cum_ratio_delta_probe_minus_baseline,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline
0,49,1341846313.553992,1341846315.197984,50,50,14,3,11,3,5,0,0,5,3,198.140000,200.980000,0.011699,0.011038,673.180000,681.960000,10.120000,10.480000,1.933245,1.924631,-0.008614,1.933245,1.924631,-0.008614,0.017856,0.015720,-0.002136,0.014152,0.012940,-0.001212
50,99,1341846315.230076,1341846316.870034,50,50,0,0,0,0,0,0,0,0,0,198.380000,210.540000,0.011163,0.011277,948.560000,1046.520000,25.820000,27.640000,2.205210,2.036239,-0.168971,2.056745,2.024127,-0.032618,0.017329,0.016815,-0.000514,0.020277,0.019694,-0.000583
100,149,1341846316.906344,1341846318.546259,50,50,13,0,13,0,9,0,0,1,0,211.880000,208.740000,0.016607,0.012523,1251.760000,1296.900000,48.080000,48.700000,1.462774,1.545682,0.082908,1.823974,1.852865,0.028891,0.019492,0.019113,-0.000379,0.019626,0.020001,0.000375
150,199,1341846318.582042,1341846320.221941,50,50,2,1,1,1,2,1,0,1,0,227.820000,206.620000,0.016482,0.014555,1774.820000,1742.040000,79.020000,80.700000,1.927957,2.036689,0.108732,1.846639,1.896000,0.049361,0.024590,0.023945,-0.000645,0.018164,0.018510,0.000346
200,249,1341846320.258015,1341846321.904074,50,50,4,0,4,0,4,0,0,2,0,254.220000,238.600000,0.019258,0.019396,1961.700000,1946.040000,110.920000,108.780000,2.033909,1.980937,-0.052972,1.889044,1.911844,0.022800,0.021793,0.023953,0.002160,0.025199,0.026650,0.001451
250,299,1341846321.939847,1341846323.609927,50,50,0,0,0,0,0,0,0,0,0,279.100000,257.260000,0.014136,0.014045,1933.820000,1930.480000,114.320000,112.660000,1.741537,1.815189,0.073652,1.861952,1.894286,0.032334,0.021983,0.021518,-0.000465,0.017904,0.017812,-0.000092
300,349,1341846323.642014,1341846325.317988,50,50,0,0,0,0,0,0,0,0,0,276.500000,277.580000,0.012650,0.013102,1953.040000,1964.220000,121.440000,121.620000,1.528381,1.527006,-0.001375,1.810482,1.840510,0.030028,0.018545,0.018693,0.000148,0.017534,0.019787,0.002253
350,399,1341846325.349844,1341846326.994594,50,50,0,0,0,0,0,0,0,0,0,270.660000,268.060000,0.013402,0.013048,1999.200000,2005.240000,119.300000,117.240000,1.517080,1.477354,-0.039726,1.766922,1.786931,0.020009,0.020072,0.018078,-0.001994,0.017310,0.015933,-0.001377
400,449,1341846327.026301,1341846328.672663,50,50,1,0,1,0,1,0,0,0,0,207.040000,207.880000,0.019097,0.017530,2639.620000,2639.460000,126.760000,124.940000,1.438421,1.327306,-0.111115,1.711346,1.709762,-0.001584,0.029115,0.024282,-0.004833,0.024481,0.020332,-0.004149
450,499,1341846328.702975,1341846330.383835,50,50,0,0,0,0,0,0,0,0,0,264.560000,259.980000,0.013333,0.013633,2763.020000,2693.820000,139.880000,130.560000,1.521659,1.620174,0.098515,1.689035,1.699201,0.010166,0.011990,0.013484,0.001494,0.014117,0.015019,0.000902
500,549,1341846330.415934,1341846332.086502,50,50,0,0,0,0,0,0,0,0,0,307.480000,277.180000,0.013227,0.013784,2637.800000,2640.420000,137.760000,129.920000,2.455618,2.598692,0.143074,1.737446,1.755492,0.018046,0.016977,0.019645,0.002668,0.015905,0.018696,0.002791
550,599,1341846332.122051,1341846333.762089,50,50,0,0,0,0,0,0,0,0,0,264.620000,264.200000,0.011314,0.011714,2771.020000,2797.280000,140.380000,132.320000,1.647857,1.585536,-0.062321,1.726983,1.738618,0.011635,0.018105,0.019619,0.001514,0.013791,0.015318,0.001527
600,649,1341846333.798006,1341846335.438079,50,50,0,0,0,0,0,0,0,1,0,253.940000,286.320000,0.010007,0.010538,2789.540000,3052.060000,145.180000,140.640000,1.279705,1.376751,0.097046,1.693893,1.712390,0.018497,0.009684,0.014465,0.004781,0.010192,0.013613,0.003421
650,699,1341846335.473998,1341846337.114317,50,50,0,0,0,0,0,0,0,2,0,304.140000,304.280000,0.010582,0.010436,2770.220000,3067.480000,154.260000,151.240000,1.406222,1.411936,0.005714,1.673620,1.690669,0.017049,0.016591,0.015266,-0.001325,0.013045,0.012137,-0.000908
