frame_id,timestamp,state_candidates,state_allowed,state_rejected,tracking_pressure,keyframe_pressure,scale_pressure,lba_pressure,score_created,probe_inliers,baseline_inliers,probe_mappoints,baseline_mappoints,probe_keyframes,baseline_keyframes,probe_step_m,baseline_step_m,probe_cum_ratio,baseline_cum_ratio,cum_ratio_delta_probe_minus_baseline,probe_next50_ratio,baseline_next50_ratio,next50_ratio_delta_probe_minus_baseline
11,1341846313.922055,1,0,1,0,1,0,0,0,188,188,548,548,5,5,0.015272,0.015272,1.729187,1.768263,-0.039076,2.073562,2.066731,0.006831
12,1341846313.957927,1,1,0,1,1,0,0,1,138,138,595,595,6,6,0.025346,0.025346,2.032568,2.143505,-0.110937,2.037324,2.008310,0.029014
24,1341846314.357905,6,0,6,0,0,0,0,0,183,180,692,691,10,10,0.017941,0.017659,1.998490,2.048310,-0.049820,2.298427,2.346111,-0.047684
27,1341846314.458114,2,2,0,1,1,0,0,2,157,165,683,604,12,12,0.013909,0.016104,1.993809,2.002651,-0.008842,2.257209,2.352731,-0.095522
42,1341846314.961937,1,0,1,1,0,0,0,0,160,162,784,745,16,16,0.009968,0.011753,1.879276,1.986665,-0.107389,2.119820,2.148950,-0.029130
43,1341846314.994564,2,0,2,0,1,0,0,0,182,194,781,729,17,17,0.003700,0.008896,1.868979,1.971166,-0.102187,2.129468,2.133055,-0.003587
44,1341846315.029900,1,0,1,0,1,0,0,0,198,184,828,792,18,17,0.016236,0.013590,1.887087,1.968633,-0.081546,2.103238,2.116415,-0.013177
107,1341846317.137887,3,0,3,0,2,0,0,0,169,158,1112,1047,40,38,0.029282,0.010552,2.050678,2.007895,0.042783,1.432410,1.427716,0.004694
109,1341846317.205887,1,0,1,0,1,0,0,0,211,224,1157,1096,41,40,0.008692,0.011762,2.028819,1.999239,0.029580,1.432114,1.442907,-0.010793
110,1341846317.248131,2,0,2,0,2,0,0,0,204,215,1202,1012,42,41,0.008708,0.019497,2.006688,1.976329,0.030359,1.436509,1.452614,-0.016105
111,1341846317.273950,7,0,7,0,4,0,0,0,201,229,1211,1059,43,42,0.011401,0.005117,2.016274,1.987336,0.028938,1.435181,1.457889,-0.022708
169,1341846319.218149,1,1,0,1,1,1,0,0,105,104,1745,1759,76,73,0.037548,0.049624,1.805204,1.772229,0.032975,2.194068,2.094256,0.099812
184,1341846319.721992,1,0,1,0,1,0,0,0,254,293,1876,1955,89,87,0.009182,0.011001,1.865861,1.804706,0.061155,1.960611,2.022581,-0.061970
209,1341846320.558091,4,0,4,0,4,0,0,0,194,216,2059,2022,106,103,0.011379,0.019597,1.877894,1.801899,0.075995,1.959509,2.110478,-0.150969
438,1341846328.302051,1,0,1,0,1,0,0,0,256,260,2907,2916,126,130,0.021373,0.018442,1.741316,1.731770,0.009546,1.313339,1.328597,-0.015258
729,1341846338.121875,2,0,2,0,2,0,0,0,250,245,2825,2503,167,161,0.009464,0.008841,1.707532,1.691453,0.016079,1.177139,1.185237,-0.008098
730,1341846338.154089,3,0,3,0,1,0,0,0,255,260,2850,2522,168,162,0.003828,0.005574,1.706679,1.690983,0.015696,1.184439,1.186476,-0.002037
732,1341846338.222071,1,0,1,0,1,0,0,0,263,235,2788,2443,168,160,0.012178,0.011957,1.706208,1.689714,0.016494,1.165490,1.179861,-0.014371
744,1341846338.622019,2,0,2,0,0,2,0,0,278,299,3100,2806,170,164,0.017151,0.015377,1.698309,1.681385,0.016924,1.140056,1.172095,-0.032039
759,1341846339.126562,2,0,2,0,2,0,0,0,278,307,3353,3135,173,170,0.008875,0.009708,1.682325,1.665981,0.016344,1.278673,1.299214,-0.020541
760,1341846339.157969,1,0,1,0,1,0,0,0,262,295,3486,3245,174,171,0.016474,0.013328,1.681151,1.664513,0.016638,1.299400,1.317472,-0.018072
761,1341846339.194113,3,0,3,0,2,0,0,0,304,320,3531,3019,175,168,0.007865,0.006984,1.680005,1.663056,0.016949,1.314157,1.335438,-0.021281
773,1341846339.595122,2,0,2,0,2,0,0,0,273,288,3462,3143,181,171,0.014424,0.011963,1.673348,1.659296,0.014052,1.386932,1.323039,0.063893
780,1341846339.830245,5,0,5,0,4,0,0,0,257,269,3347,3079,177,171,0.010982,0.009878,1.665789,1.651481,0.014308,1.612825,1.591541,0.021284
781,1341846339.862015,5,0,5,0,4,0,0,0,257,290,3371,3068,178,172,0.004448,0.004472,1.664771,1.650536,0.014235,1.660359,1.655955,0.004404
782,1341846339.897797,1,0,1,0,1,0,0,0,268,280,3383,2909,179,171,0.010063,0.010585,1.663992,1.649908,0.014084,1.704928,1.709257,-0.004329
796,1341846340.366064,4,0,4,0,4,0,0,0,256,277,3354,2964,179,171,0.014043,0.016802,1.658906,1.645415,0.013491,2.222503,2.074182,0.148321
805,1341846340.666028,3,0,3,0,3,0,0,0,279,237,3355,2964,180,171,0.005703,0.005972,1.658805,1.644635,0.014170,2.500920,2.375159,0.125761
820,1341846341.170048,1,0,1,0,1,0,0,0,263,277,3329,2932,184,172,0.002324,0.003854,1.661243,1.645896,0.015347,2.763547,2.672815,0.090732
821,1341846341.202110,3,0,3,0,1,0,0,0,281,273,3391,2932,185,172,0.003068,0.004379,1.661370,1.646155,0.015215,2.777572,2.672994,0.104578
