case,segment,frame_start,frame_end,observed_frames,keyframes,kf_step_sum,kf_step_mean,kf_step_max,traj_est_path,traj_gt_path,traj_path_ratio,lba_count,lba_delayed_mp_sum,lba_delayed_mp_max,lba_local_mp_max,recovery_candidates,recovery_pregeom_allowed,recovery_created,probation_score_recent,probation_score_survived,probation_score_matured,probation_pose_use_edges,probation_lba_edges,pose_chain_active_lines,pose_chain_candidates,pose_chain_created,pose_chain_step_ratio_max
v12,0-149,0,149,150,53,1.730278089,0.032646756,0.386583631,2.537014381,1.246776854,2.034858422,22,26,3,3015,59,18,12,93,55,8,230,46,0,0,0,0.000000000
v13_min3,0-149,0,149,150,47,1.543985855,0.032850763,0.311885950,2.502868170,1.246776854,2.007470834,20,21,3,2851,53,12,8,86,54,7,193,36,4,0,0,3.073790000
v13_min3_minus_v12,0-149,0,149,,-6.000000000,-0.186292234,0.000204006,-0.074697681,-0.034146211,,-0.027387588,-2.000000000,-5.000000000,0.000000000,-164.000000000,-6.000000000,-6.000000000,-4.000000000,-7.000000000,-1.000000000,-1.000000000,-37.000000000,-10.000000000,4.000000000,0.000000000,0.000000000,3.073790000
v12,150-299,150,299,150,77,2.296000496,0.029818188,0.232502299,3.548174767,0.602416926,5.889898861,29,29,1,4240,13,5,0,12,6,0,12,0,0,0,0,0.000000000
v13_min3,150-299,150,299,150,79,2.242239188,0.028382775,0.224951415,3.277811667,0.602416926,5.441101545,30,28,4,4148,27,10,2,32,19,0,59,0,25,0,0,2.618888000
v13_min3_minus_v12,150-299,150,299,,2.000000000,-0.053761309,-0.001435414,-0.007550884,-0.270363100,,-0.448797317,1.000000000,-1.000000000,3.000000000,-92.000000000,14.000000000,5.000000000,2.000000000,20.000000000,13.000000000,0.000000000,47.000000000,0.000000000,25.000000000,0.000000000,0.000000000,2.618888000
v12,300-549,300,549,250,21,0.482518598,0.022977076,0.100359097,4.470939480,0.336606361,13.282397469,22,22,1,4512,2,0,0,4,2,0,4,0,0,0,0,0.000000000
v13_min3,300-549,300,549,250,21,0.542475927,0.025832187,0.141188879,3.671055929,0.336606361,10.906080075,20,20,1,4473,0,0,0,0,0,0,0,0,3,0,0,4.006798000
v13_min3_minus_v12,300-549,300,549,,0.000000000,0.059957328,0.002855111,0.040829783,-0.799883551,,-2.376317394,-2.000000000,-2.000000000,0.000000000,-39.000000000,-2.000000000,0.000000000,0.000000000,-4.000000000,-2.000000000,0.000000000,-4.000000000,0.000000000,3.000000000,0.000000000,0.000000000,4.006798000
v12,550-599,550,599,50,28,1.229759898,0.043919996,0.143003730,1.420271184,0.177897978,7.983627452,8,8,1,4546,3,0,0,6,4,0,11,0,0,0,0,0.000000000
v13_min3,550-599,550,599,50,29,0.953098046,0.032865450,0.106459431,1.069669585,0.177897978,6.012825972,7,8,2,3032,10,6,1,4,3,0,0,0,10,1,0,3.593752000
v13_min3_minus_v12,550-599,550,599,,1.000000000,-0.276661852,-0.011054546,-0.036544299,-0.350601599,,-1.970801480,-1.000000000,0.000000000,1.000000000,-1514.000000000,7.000000000,6.000000000,1.000000000,-2.000000000,-1.000000000,0.000000000,-11.000000000,0.000000000,10.000000000,1.000000000,0.000000000,3.593752000
v12,600-799,600,799,200,93,1.753294117,0.018852625,0.158392019,2.788898142,0.366279929,7.614116754,33,33,1,5167,3,0,0,1,0,0,288,2116,0,0,0,0.000000000
v13_min3,600-799,600,799,200,86,1.731169853,0.020129882,0.105491954,2.771229476,0.366279929,7.565878607,34,36,2,5045,2,0,0,6,4,0,1,0,20,0,0,3.919389000
v13_min3_minus_v12,600-799,600,799,,-7.000000000,-0.022124264,0.001277257,-0.052900065,-0.017668665,,-0.048238148,1.000000000,3.000000000,1.000000000,-122.000000000,-1.000000000,0.000000000,0.000000000,5.000000000,4.000000000,0.000000000,-287.000000000,-2116.000000000,20.000000000,0.000000000,0.000000000,3.919389000
v12,800-908,800,908,109,58,1.579374192,0.027230590,0.096757501,1.989018546,0.443006825,4.489814677,18,18,1,6167,4,1,0,2,1,0,3,0,0,0,0,0.000000000
v13_min3,800-908,800,908,109,58,1.505628086,0.025959105,0.077908764,1.853368003,0.443006825,4.183610496,18,20,3,5947,4,3,3,11,8,0,14,0,18,1,1,2.735221000
v13_min3_minus_v12,800-908,800,908,,0.000000000,-0.073746106,-0.001271485,-0.018848736,-0.135650542,,-0.306204182,0.000000000,2.000000000,2.000000000,-220.000000000,0.000000000,2.000000000,3.000000000,9.000000000,7.000000000,0.000000000,11.000000000,0.000000000,18.000000000,1.000000000,1.000000000,2.735221000
