case,frame_id,current_kf,local_kf,fixed_kf,local_mp,delayed_mp,optimizer_points,optimizer_edges,delayed_ratio,segment
v12,5,3,4,0,776,0,776,1493,0.000000000,0-149
v13_min3,5,3,4,0,776,0,776,1493,0.000000000,0-149
v12,24,7,8,0,1177,0,1177,2794,0.000000000,0-149
v13_min3,24,7,8,0,1177,0,1177,2793,0.000000000,0-149
v13_min3,31,11,12,0,1276,0,1276,4173,0.000000000,0-149
v12,33,11,12,0,1206,0,1206,4023,0.000000000,0-149
v13_min3,36,15,16,0,1527,0,1527,5409,0.000000000,0-149
v12,37,15,16,0,1347,0,1347,5153,0.000000000,0-149
v12,41,19,20,0,1227,0,1227,5750,0.000000000,0-149
v13_min3,41,19,20,0,1241,1,1240,5953,0.000805802,0-149
v13_min3,50,23,24,0,1321,1,1320,6895,0.000757002,0-149
v12,52,23,24,0,1340,1,1339,6801,0.000746269,0-149
v12,60,27,28,0,1559,1,1558,8122,0.000641437,0-149
v13_min3,60,27,28,0,1541,1,1540,8054,0.000648929,0-149
v13_min3,65,31,32,0,1487,0,1487,9106,0.000000000,0-149
v12,66,31,32,0,1462,3,1459,9094,0.002051984,0-149
v12,74,35,34,0,1573,3,1570,10156,0.001907184,0-149
v13_min3,74,35,34,0,1601,3,1598,10115,0.001873829,0-149
v12,81,39,38,0,1627,0,1627,11342,0.000000000,0-149
v13_min3,81,39,36,0,1619,0,1619,10691,0.000000000,0-149
v12,90,43,41,0,2045,2,2043,12531,0.000977995,0-149
v13_min3,92,43,39,0,2047,2,2045,11712,0.000977040,0-149
v12,96,47,44,0,2251,1,2250,13734,0.000444247,0-149
v13_min3,100,47,43,0,2208,3,2205,13159,0.001358696,0-149
v12,102,51,47,0,2279,3,2276,14545,0.001316367,0-149
v12,109,55,50,0,2397,3,2394,15611,0.001251564,0-149
v13_min3,109,51,46,0,2306,1,2305,13973,0.000433651,0-149
v12,114,59,54,0,2596,2,2594,17133,0.000770416,0-149
v13_min3,114,55,49,0,2487,2,2485,15233,0.000804182,0-149
v12,119,63,57,0,2872,1,2871,18045,0.000348189,0-149
v13_min3,119,59,53,0,2757,2,2755,16299,0.000725426,0-149
v12,124,67,60,0,2760,1,2759,18439,0.000362319,0-149
v13_min3,124,63,57,0,2651,1,2650,16796,0.000377216,0-149
v12,129,71,62,0,2803,1,2802,18304,0.000356761,0-149
v13_min3,129,67,60,1,2703,1,2702,17427,0.000369959,0-149
v12,134,75,65,1,3000,1,2999,19293,0.000333333,0-149
v13_min3,134,71,65,0,2831,1,2830,18197,0.000353232,0-149
v12,141,79,68,2,3015,1,3014,20126,0.000331675,0-149
v13_min3,142,75,64,4,2851,1,2850,18670,0.000350754,0-149
v12,145,83,54,20,2925,1,2924,20043,0.000341880,0-149
v13_min3,146,79,50,22,2677,1,2676,17590,0.000373552,0-149
