case,frame_id,timestamp,is_keyframe_created,num_keyframes,num_mappoints,local_map_matches_before_pose,inlier_map_matches_after_pose,estimated_accum_path_m,estimated_frame_step_m,mask_ratio,ckf_accepted_depth_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_skipped_new_candidates,ckf_direct_vetoed_candidates,lm_delayed_rejected_boundary_pairs,lm_delayed_support_sum,lm_kept_pairs_after_boundary,lm_kept_pairs_after_delayed_boundary,lm_kept_static_pairs_after_instance,lm_promoted_geom_created,lm_promoted_geom_depth,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_triangulated,lm_quality_depth_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_raw_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_score_created,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_support_accepted,lm_score_support_candidates,lm_score_support_rejected,lm_skipped_boundary_pairs,lm_skipped_instance_pairs,lm_state_allowed,lm_state_candidates,lm_state_keyframe_pressure,lm_state_lba_pressure,lm_state_rejected,lm_state_scale_pressure,lm_state_tracking_pressure,lm_support_promoted_boundary_pairs
wrpy_score_v4_samebuild,3,1341846647.866652,1,1,768,318,226,0.019230,0.008109,0.360042,266,9,11,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,4,1341846647.901972,1,2,810,344,244,0.022520,0.003290,0.378242,235,16,4,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,5,1341846647.934224,1,3,830,292,216,0.027074,0.004554,0.000000,647,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,7,1341846648.002341,1,4,751,386,279,0.044794,0.004998,0.351081,226,10,14,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,8,1341846648.034343,1,5,1053,367,245,0.046784,0.001990,0.000000,667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,11,1341846648.138185,1,6,1220,407,259,0.057329,0.006354,0.033522,675,24,26,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,13,1341846648.202106,1,7,1400,396,256,0.064365,0.001692,0.054007,662,19,19,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,16,1341846648.302183,1,8,1372,348,192,0.096809,0.011263,0.056423,717,14,45,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,18,1341846648.370216,1,9,1478,374,184,0.111237,0.010006,0.163434,625,33,36,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4_samebuild,19,1341846648.406052,1,10,1498,447,260,0.117920,0.006683,0.183587,595,29,31,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
