case,frame_id,timestamp,is_keyframe_created,num_keyframes,num_mappoints,local_map_matches_before_pose,inlier_map_matches_after_pose,estimated_accum_path_m,estimated_frame_step_m,mask_ratio,ckf_accepted_depth_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_skipped_new_candidates,ckf_direct_vetoed_candidates,lm_delayed_rejected_boundary_pairs,lm_delayed_support_sum,lm_kept_pairs_after_boundary,lm_kept_pairs_after_delayed_boundary,lm_kept_static_pairs_after_instance,lm_promoted_geom_created,lm_promoted_geom_depth,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_triangulated,lm_quality_depth_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_raw_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_score_created,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_support_accepted,lm_score_support_candidates,lm_score_support_rejected,lm_skipped_boundary_pairs,lm_skipped_instance_pairs,lm_support_promoted_boundary_pairs,lm_v7_allowed,lm_v7_candidates,lm_v7_coverage_allowed,lm_v7_coverage_pressure,lm_v7_keyframe_pressure,lm_v7_lba_pressure,lm_v7_probation_culled_found_ratio,lm_v7_probation_culled_low_obs,lm_v7_probation_low_use_rejected,lm_v7_probation_matured,lm_v7_probation_pose_use_chi2_weight,lm_v7_probation_pose_use_chi2_weighted_sum,lm_v7_probation_pose_use_edges,lm_v7_probation_pose_use_inliers,lm_v7_probation_prebad,lm_v7_probation_residual_rejected,lm_v7_probation_score_recent,lm_v7_probation_survived,lm_v7_quota_rejected,lm_v7_rejected,lm_v7_scale_pressure,lm_v7_state_allowed,lm_v7_total_boundary_features,lm_v7_tracking_pressure,lm_v7_unmatched_boundary_cells,lm_v7_unmatched_boundary_features
wrpy_v7_original,3,1341846647.866652,1,1,768,318,226,0.019230,0.008109,0.360042,266.0,9.0,11.0,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,4,1341846647.901972,1,2,810,344,244,0.022520,0.003290,0.378242,235.0,16.0,4.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,5,1341846647.934224,1,3,830,292,216,0.027074,0.004554,0.000000,647.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,8,1341846648.034343,1,4,1035,342,216,0.047667,0.002969,0.000000,667.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,12,1341846648.170568,1,5,1317,367,222,0.062876,0.004170,0.041351,665.0,17.0,30.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,14,1341846648.238157,1,6,1330,388,241,0.070479,0.005031,0.037259,734.0,5.0,29.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,15,1341846648.270152,1,7,1430,407,263,0.083328,0.012848,0.047555,704.0,5.0,24.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,17,1341846648.338170,1,8,1382,392,248,0.100928,0.006402,0.139450,642.0,20.0,38.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,18,1341846648.370216,1,9,1461,391,239,0.108130,0.007202,0.163434,625.0,36.0,33.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,19,1341846648.406052,1,10,1523,438,270,0.115399,0.007269,0.183587,595.0,34.0,27.0,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,20,1341846648.438342,1,11,1581,473,278,0.119373,0.003974,0.137721,686.0,29.0,43.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,22,1341846648.506263,1,12,1483,437,244,0.127499,0.004435,0.175218,618.0,41.0,26.0,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,23,1341846648.538249,1,13,1569,484,295,0.131496,0.003997,0.136016,669.0,22.0,38.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,24,1341846648.570179,1,14,1679,432,253,0.134339,0.002843,0.151468,659.0,26.0,43.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,25,1341846648.606081,1,15,1734,471,251,0.142732,0.008393,0.170153,636.0,33.0,29.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,28,1341846648.706058,1,16,1667,442,216,0.180830,0.009393,0.171725,620.0,32.0,37.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,29,1341846648.738116,1,17,1739,457,250,0.197824,0.016994,0.138053,701.0,30.0,40.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,30,1341846648.774049,1,18,1810,468,272,0.205916,0.008092,0.154779,654.0,11.0,32.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,31,1341846648.805941,1,19,1819,511,316,0.214006,0.008091,0.177773,640.0,31.0,29.0,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,34,1341846648.906165,1,20,1708,421,236,0.244295,0.006536,0.175212,670.0,45.0,49.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,35,1341846648.942154,1,21,1803,353,159,0.250900,0.006605,0.189352,531.0,5.0,11.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,36,1341846648.974090,1,22,1861,379,163,0.282026,0.031126,0.194808,525.0,9.0,8.0,409.0,0.0,0.0,,24.0,24.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,37,1341846649.006157,1,23,1830,445,219,0.302780,0.020755,0.200960,547.0,10.0,9.0,372.0,3.0,0.0,14.0,24.0,15.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_v7_original,38,1341846649.042101,1,24,1582,397,195,0.323626,0.020846,0.299453,383.0,22.0,28.0,518.0,6.0,3.0,11.0,27.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,7.0,6.0,6.0,58.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,67.0,0.0,6.0,36.0
wrpy_v7_original,39,1341846649.074128,1,25,1582,396,172,0.340513,0.016886,0.319870,405.0,34.0,27.0,529.0,6.0,17.0,29.0,32.0,32.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,15.0,13.0,10.0,17.0,6.0,2.0,2.0,2.0,2.0,0.0,2.0,8.0,6.0,6.0,36.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,150.0,0.0,14.0,70.0
