case,frame_id,culling_recent_points,culling_remaining_recent_points,culling_recent_near_boundary,culling_recent_clean_static,culling_recent_direct_dynamic,culling_near_prebad,culling_near_culled_found_ratio,culling_near_culled_low_obs,culling_near_survived,culling_near_matured,culling_clean_culled_found_ratio,culling_clean_culled_low_obs,culling_clean_survived,culling_clean_matured,lm_created_near_boundary_new_points,lm_created_clean_static_new_points,lm_created_direct_dynamic_new_points,lm_triangulated_points,lm_created_map_points,pose_near_chi2_mean_weighted,pose_near_inlier_chi2_mean_weighted,pose_clean_chi2_mean_weighted,pose_clean_inlier_chi2_mean_weighted,pose_admission_near_chi2_mean_weighted,ckf_created_near_share,lm_created_near_share,pose_near_outlier_rate,pose_clean_outlier_rate,pose_direct_dynamic_outlier_rate,pose_admission_near_outlier_rate,pose_near_to_clean_chi2_ratio,culling_near_removed_events,culling_clean_removed_events,culling_near_removed_event_rate,culling_clean_removed_event_rate,pose_all_edges,pose_all_inliers,pose_all_outliers,pose_near_edges,pose_near_inliers,pose_near_outliers,pose_clean_edges,pose_clean_inliers,pose_clean_outliers,pose_direct_dynamic_edges,pose_direct_dynamic_inliers,pose_direct_dynamic_outliers,pose_admission_near_edges,pose_admission_near_inliers,pose_admission_near_outliers,ckf_created_near_boundary_new_points,ckf_created_clean_static_new_points,ckf_created_direct_dynamic_new_points,ckf_existing_near_boundary_candidates,ckf_accepted_depth_candidates_pre_boundary
wrpy_supportq_lm_diag,0,682.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
wrpy_supportq_lm_diag,1,,,,,,,,,,,,,,,,,,,,23.838207655172415,1.4928084347826085,26.519458752345212,1.2353188888888889,,,,0.20689655172413793,0.12195121951219512,0.11818181818181818,,0.898894953995406,0.0,0.0,,,672.0,588.0,84.0,29.0,23.0,6.0,533.0,468.0,65.0,110.0,97.0,13.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,2,,,,,,,,,,,,,,,,,,,,13.408345468085106,1.7708126097560977,6.374765867383513,1.0266349460580912,,,,0.1276595744680851,0.13620071684587814,0.2818991097922849,,2.103347126313909,0.0,0.0,,,663.0,524.0,139.0,47.0,41.0,6.0,279.0,241.0,38.0,337.0,242.0,95.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,3,768.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9724082,2.018535692307692,6.9556293,1.3400233700000002,,0.0,,0.13333333333333333,0.13043478260869565,0.38434163701067614,,1.5774860514777578,0.0,0.0,,0.0,541.0,399.0,142.0,30.0,26.0,4.0,230.0,200.0,30.0,281.0,173.0,108.0,0.0,0.0,0.0,0.0,86.0,0.0,9.0,266.0
wrpy_supportq_lm_diag,4,810.0,339.0,0.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,130.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0,2.318354727272727,1.4785217187500002,10.631976433333334,1.146604581395349,,0.0,,0.030303030303030304,0.14,0.44313725490196076,,0.2180549159236499,0.0,339.0,,0.4185185185185185,588.0,432.0,156.0,33.0,32.0,1.0,300.0,258.0,42.0,255.0,142.0,113.0,0.0,0.0,0.0,0.0,42.0,0.0,16.0,235.0
wrpy_supportq_lm_diag,5,830.0,377.0,0.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,453.0,339.0,0.0,0.0,0.0,0.0,0.0,,,12.33215205263158,1.7045892189054725,,0.0,,,0.21637426900584794,,,0.0,0.0,38.0,,0.04578313253012048,513.0,402.0,111.0,0.0,0.0,0.0,513.0,402.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,647.0
wrpy_supportq_lm_diag,6,,,,,,,,,,,,,,,,,,,,16.611945860465116,2.158033225806452,5.86464765060241,0.9534996052631579,,,,0.27906976744186046,0.08433734939759036,0.22273781902552203,,2.832556506401328,0.0,0.0,,,806.0,670.0,136.0,43.0,31.0,12.0,332.0,304.0,28.0,431.0,335.0,96.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,7,,,,,,,,,,,,,,,,,,,,26.736456448275863,1.1847183125,5.505928947368421,1.5300226398467434,,,,0.4482758620689655,0.08421052631578947,0.375,,4.855939243650184,0.0,0.0,,,666.0,497.0,169.0,29.0,16.0,13.0,285.0,261.0,24.0,352.0,220.0,132.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,8,802.0,121.0,0.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,681.0,46.0,0.0,0.0,0.0,0.0,0.0,,,18.173943896672505,1.9344178211586902,,0.0,,,0.30472854640980734,,,0.0,0.0,16.0,,0.0199501246882793,571.0,397.0,174.0,0.0,0.0,0.0,571.0,397.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,667.0
wrpy_supportq_lm_diag,9,,,,,,,,,,,,,,,,,,,,28.704306,1.6256154999999999,10.005575464968153,1.5560574360313317,,,,0.3333333333333333,0.18683651804670912,0.3323353293413174,,2.86883109327399,0.0,0.0,,,829.0,622.0,207.0,24.0,16.0,8.0,471.0,383.0,88.0,334.0,223.0,111.0,0.0,0.0,0.0,,,,,
