frame_start,frame_end,support_promoted_pairs,support_mean_mask,hard_mean_mask,support_mean_inliers,hard_mean_inliers,support_mean_mps,hard_mean_mps,support_se3_rmse_m,hard_se3_rmse_m,support_segment_est_gt_ratio,hard_segment_est_gt_ratio
0,99,31,0.219445,0.219445,250.720000,246.500000,1632.810000,1551.670000,0.148577,0.135846,1.802365,1.773825
100,199,15,0.151639,0.151639,161.360000,165.370000,3081.280000,3008.990000,0.468237,0.442764,3.070044,2.945331
200,299,6,0.150058,0.150058,168.690000,166.110000,4129.230000,3980.590000,0.243507,0.260596,6.621361,7.682031
300,399,0,0.004480,0.004480,353.010000,362.370000,4719.170000,4563.580000,0.059060,0.077025,14.771720,15.712539
400,499,0,0.057018,0.057018,195.950000,206.200000,4428.290000,4335.090000,0.051386,0.054546,12.608905,12.906067
500,599,0,0.059799,0.059799,314.360000,312.070000,4938.540000,4830.260000,0.080139,0.094154,9.216318,8.475187
600,699,3,0.129593,0.129593,231.720000,229.880000,5392.180000,5320.860000,0.090268,0.105146,9.062797,9.743047
700,799,1,0.141666,0.141666,181.770000,187.590000,5598.610000,5550.040000,0.068345,0.053801,8.207420,7.009970
800,899,1,0.118106,0.118106,204.510000,198.740000,6052.820000,5986.020000,0.601051,0.551808,4.113812,3.934469
900,908,0,0.044136,0.044136,270.111111,255.666667,6029.111111,5997.666667,0.756601,0.686418,4.508497,5.319125
