match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
0,3,1341846647.866652012,0.028256865,0.052584869,0.514064886,0.000000000,0.000000000,0.000000000,1,389,389,246,267,295,0.043294000,0.285347000,2.120211000,0.000000000,0.000000000,1,1,0,1,1,0-149
1,4,1341846647.901972055,0.027114456,0.052422804,0.514064886,0.000628119,0.001166190,0.538607791,0,325,325,325,348,225,0.032552000,0.363077000,0.160189000,0.250000000,64.614320000,1,0,1,1,1,0-149
2,5,1341846647.934223890,0.031486052,0.054540965,0.514064886,0.006874357,0.002787472,2.466161943,1,581,581,206,286,581,0.096680000,0.000000000,2.466105000,0.200000000,62.094202000,0,1,1,0,0,0-149
3,6,1341846647.970225096,0.029357993,0.055087630,0.514064886,0.001841972,0.003494281,0.527139127,0,340,340,340,380,239,0.040039000,0.388235000,0.469760000,0.333333000,78.840060000,1,0,1,1,1,0-149
4,7,1341846648.002341032,0.034963138,0.053761146,0.514064886,0.010222326,0.002435159,4.197806024,0,344,344,344,372,218,0.033529000,0.409884000,2.721434000,0.285714000,73.502967000,1,1,1,1,1,0-149
5,8,1341846648.034343004,0.027513968,0.056614311,0.514064886,0.016713740,0.002539685,6.581028565,0,246,246,246,346,246,0.041341000,0.000000000,4.262519000,0.250000000,53.430063000,1,1,1,0,0,0-149
6,9,1341846648.070163965,0.027175733,0.057407614,0.514064886,0.006065435,0.003777565,1.605646509,0,251,251,251,321,194,0.032227000,0.235060000,1.020680000,0.222222000,36.937273000,1,0,1,0,0,0-149
7,10,1341846648.102152109,0.030830651,0.054037183,0.514064886,0.012452352,0.003220248,3.866891653,0,247,247,247,313,193,0.032552000,0.218623000,2.053003000,0.200000000,33.216367000,1,1,1,0,0,0-149
8,11,1341846648.138185024,0.025779790,0.063524900,0.514064886,0.022166311,0.004374929,5.066668077,0,203,203,203,303,201,0.032227000,0.014778000,3.159974000,0.181818000,27.524085000,1,1,1,0,0,0-149
9,12,1341846648.170567989,0.028649835,0.067445532,0.514064886,0.010577062,0.003477068,3.041948672,0,193,193,193,282,190,0.029297000,0.015544000,1.328111000,0.166667000,21.090385000,1,0,1,0,0,0-149
10,13,1341846648.202105999,0.030973007,0.068558586,0.514064886,0.008401566,0.003120897,2.692035419,1,597,597,169,257,594,0.090820000,0.006700000,0.220544000,0.153846000,18.974071000,0,0,0,0,0,0-149
11,14,1341846648.238157034,0.033666804,0.072594358,0.514064886,0.007158124,0.004012481,1.783964803,0,339,339,339,395,338,0.058268000,0.008850000,1.441616000,0.214286000,27.957252000,0,0,1,0,0,0-149
12,15,1341846648.270152092,0.036561938,0.075106378,0.514064886,0.009386764,0.002343075,4.006173339,0,225,225,225,321,225,0.040690000,0.004444000,1.089758000,0.200000000,25.255139000,1,0,1,0,0,0-149
13,16,1341846648.302182913,0.045008925,0.080440666,0.514064886,0.010961920,0.002703701,4.054412601,0,199,199,199,323,197,0.035156000,0.015075000,1.183377000,0.187500000,23.405597000,1,0,1,0,0,0-149
14,17,1341846648.338170052,0.056981410,0.087837520,0.514064886,0.010389575,0.003432200,3.027088676,0,176,176,176,305,152,0.028971000,0.227273000,1.114163000,0.176471000,21.561578000,1,0,1,0,0,0-149
15,18,1341846648.370215893,0.067671472,0.093722520,0.514064886,0.010229661,0.002685144,3.809724725,0,139,139,139,251,121,0.022135000,0.237410000,1.089796000,0.166667000,20.063405000,1,0,1,0,0,0-149
16,19,1341846648.406052113,0.039495633,0.072637704,0.514064886,0.056880994,0.003734970,15.229304507,1,566,566,146,252,535,0.087240000,0.075972000,1.060139000,0.157895000,18.778682000,0,0,0,0,0,0-149
17,20,1341846648.438342094,0.041934723,0.076304264,0.514064886,0.005215256,0.003206244,1.626593677,0,273,273,273,373,250,0.043620000,0.120879000,0.510183000,0.200000000,23.508696000,1,0,1,0,0,0-149
18,21,1341846648.470076084,0.048675126,0.081760568,0.514064886,0.007783286,0.003028201,2.570267617,0,226,226,226,355,205,0.035807000,0.132743000,0.793845000,0.190476000,22.809561000,1,0,1,0,0,0-149
19,22,1341846648.506263018,0.057339621,0.089618897,0.514064886,0.007361720,0.004988988,1.475593929,0,190,190,190,342,159,0.029297000,0.205263000,0.784266000,0.181818000,21.840219000,1,0,1,0,0,0-149
20,23,1341846648.538249016,0.058793592,0.091042342,0.514064886,0.005870570,0.002767671,2.121123266,0,191,191,191,333,170,0.031576000,0.141361000,0.629551000,0.173913000,20.996266000,1,0,1,0,0,0-149
21,24,1341846648.570178986,0.055648171,0.092360640,0.514064886,0.011920006,0.005861740,2.033526853,1,556,556,146,278,533,0.094076000,0.062950000,1.408596000,0.166667000,20.368607000,0,0,1,0,0,0-149
