case,segment,frame_start,frame_end,observed_frames,keyframes,kf_step_sum,kf_step_mean,kf_step_max,traj_est_path,traj_gt_path,traj_path_ratio,lba_count,lba_delayed_mp_sum,lba_delayed_mp_max,lba_local_mp_max,recovery_candidates,recovery_pregeom_allowed,recovery_created,probation_score_recent,probation_score_survived,probation_score_matured,probation_pose_use_edges,probation_lba_edges,pose_chain_active_lines,pose_chain_candidates,pose_chain_created,pose_chain_step_ratio_max
v12,0-149,0,149,150,32,1.667358151,0.052104942,0.285544141,3.030439488,1.246776854,2.430618983,11,10,2,1988,0,0,0,21,12,2,76,4,0,0,0,0.000000000
v13,0-149,0,149,150,34,1.679695981,0.049402823,0.163987521,2.958803848,1.246776854,2.373162318,11,10,2,1988,0,0,0,21,12,2,76,4,0,0,0,0.000000000
v13_minus_v12,0-149,0,149,,2.000000000,0.012337830,-0.002702119,-0.121556620,-0.071635641,,-0.057456666,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
v12,150-299,150,299,150,66,2.747874631,0.041634464,0.320057337,4.824860087,0.602416926,8.009170854,23,25,2,3291,0,0,0,8,6,0,7,0,0,0,0,0.000000000
v13,150-299,150,299,150,67,2.598029340,0.038776557,0.310752401,4.533595111,0.602416926,7.525676844,23,25,2,3362,0,0,0,8,6,0,7,0,0,0,0,0.000000000
v13_minus_v12,150-299,150,299,,1.000000000,-0.149845291,-0.002857907,-0.009304936,-0.291264975,,-0.483494010,0.000000000,0.000000000,0.000000000,71.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
v12,300-549,300,549,250,21,0.542857592,0.025850362,0.153470776,7.022227750,0.336606361,20.861839108,12,12,1,3647,0,0,0,0,0,0,0,0,0,0,0,0.000000000
v13,300-549,300,549,250,24,0.679348589,0.028306191,0.141207474,5.094657946,0.336606361,15.135358488,12,12,1,3810,0,0,0,0,0,0,0,0,0,0,0,0.000000000
v13_minus_v12,300-549,300,549,,3.000000000,0.136490997,0.002455830,-0.012263302,-1.927569804,,-5.726480620,0.000000000,0.000000000,0.000000000,163.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
v12,550-599,550,599,50,18,0.698223265,0.038790181,0.182328736,1.158513062,0.177897978,6.512232869,5,5,1,3460,0,0,0,0,0,0,0,0,0,0,0,0.000000000
v13,550-599,550,599,50,21,0.962183475,0.045818261,0.237302565,1.270792490,0.177897978,7.143377915,6,6,1,3934,0,0,0,0,0,0,0,0,0,0,0,0.000000000
v13_minus_v12,550-599,550,599,,3.000000000,0.263960211,0.007028079,0.054973829,0.112279428,,0.631145046,1.000000000,1.000000000,0.000000000,474.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
v12,600-799,600,799,200,58,1.595975218,0.027516814,0.188696437,3.570622893,0.366279929,9.748344405,22,22,1,4701,0,0,0,0,0,0,0,0,0,0,0,0.000000000
v13,600-799,600,799,200,54,1.593497602,0.029509215,0.153318787,3.720168231,0.366279929,10.156625958,20,20,1,4693,0,0,0,1,0,0,0,0,0,0,0,0.000000000
v13_minus_v12,600-799,600,799,,-4.000000000,-0.002477616,0.001992401,-0.035377651,0.149545338,,0.408281553,-2.000000000,-2.000000000,0.000000000,-8.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
v12,800-908,800,908,109,49,1.540173567,0.031432114,0.098347980,2.034941926,0.443006825,4.593477596,13,15,2,5109,0,0,0,7,6,0,0,0,0,0,0,0.000000000
v13,800-908,800,908,109,65,1.760821238,0.027089558,0.118139912,2.244207408,0.443006825,5.065852896,20,23,2,5177,0,0,0,11,9,0,8,0,0,0,0,0.000000000
v13_minus_v12,800-908,800,908,,16.000000000,0.220647671,-0.004342556,0.019791932,0.209265482,,0.472375300,7.000000000,8.000000000,0.000000000,68.000000000,0.000000000,0.000000000,0.000000000,4.000000000,3.000000000,0.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
