match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
0,3,1341846647.866652012,0.064418970,0.069555304,0.424366525,0.000000000,0.000000000,0.000000000,1,331,331,243,312,295,0.043294000,0.172205000,2.091570000,0.333333000,119.501705000,1,1,1,0,0,0-149
1,4,1341846647.901972055,0.062955843,0.069754991,0.424366525,0.002135177,0.001166190,1.830899525,0,253,253,253,294,234,0.032878000,0.146245000,0.436961000,0.500000000,116.827241000,1,0,1,0,0,0-149
2,5,1341846647.934223890,0.055017961,0.075181522,0.424366525,0.038175254,0.002787472,13.695296090,1,600,600,167,212,600,0.093424000,0.000000000,1.406205000,0.400000000,103.871973000,0,0,1,0,0,0-149
3,6,1341846647.970225096,0.055491414,0.077100718,0.424366525,0.002478232,0.003494281,0.709225041,0,282,282,282,332,221,0.038737000,0.315603000,0.627193000,0.500000000,119.340794000,1,0,1,1,1,0-149
4,7,1341846648.002341032,0.056436129,0.078825122,0.424366525,0.003179906,0.002435159,1.305830831,0,263,263,263,332,192,0.030273000,0.311787000,0.760009000,0.428571000,106.372339000,1,0,1,1,1,0-149
5,8,1341846648.034343004,0.051478417,0.077629339,0.424366525,0.009961765,0.002539685,3.922441084,0,232,232,232,354,232,0.039388000,0.000000000,2.861209000,0.375000000,95.593984000,1,1,1,0,0,0-149
6,9,1341846648.070163965,0.056449252,0.080426584,0.424366525,0.005674041,0.003777565,1.502036492,0,194,194,194,302,182,0.029948000,0.067010000,1.356115000,0.333333000,72.561059000,1,0,1,0,0,0-149
7,10,1341846648.102152109,0.053353021,0.078763550,0.424366525,0.009182995,0.003220248,2.851641712,0,189,189,189,290,176,0.030273000,0.068783000,1.879289000,0.300000000,63.804631000,1,0,1,0,0,0-149
8,11,1341846648.138185024,0.063191485,0.078711781,0.424366525,0.019516076,0.004374929,4.460890209,1,557,557,173,282,557,0.088216000,0.001795000,1.557283000,0.272727000,53.379334000,0,0,1,0,0,0-149
9,12,1341846648.170567989,0.060414962,0.080687687,0.424366525,0.006194238,0.003477068,1.781454630,0,338,338,338,414,338,0.054688000,0.020710000,1.091680000,0.333333000,62.088337000,0,0,1,0,0,0-149
10,13,1341846648.202105999,0.061811770,0.083040628,0.424366525,0.004029450,0.003120897,1.291119189,0,269,269,269,376,268,0.045898000,0.037175000,0.697278000,0.307692000,56.642320000,1,0,1,0,0,0-149
11,14,1341846648.238157034,0.058256426,0.084741806,0.424366525,0.006559091,0.004012481,1.634672428,0,236,236,236,350,236,0.040365000,0.000000000,1.155983000,0.285714000,53.584806000,1,0,1,0,0,0-149
12,15,1341846648.270152092,0.063228939,0.084855406,0.424366525,0.013525274,0.002343075,5.772446191,1,566,566,170,300,566,0.086263000,0.001767000,1.696066000,0.266667000,49.256766000,0,0,1,0,0,0-149
13,16,1341846648.302182913,0.062392654,0.086958697,0.424366525,0.004679053,0.002703701,1.730610346,0,345,345,345,452,345,0.055339000,0.055072000,0.795267000,0.312500000,54.939987000,0,0,1,0,0,0-149
14,17,1341846648.338170052,0.066424179,0.091693417,0.424366525,0.007761980,0.003432200,2.261517212,0,220,220,220,363,207,0.035807000,0.127273000,1.343175000,0.294118000,52.253458000,1,0,1,0,0,0-149
15,18,1341846648.370215893,0.093822025,0.094232368,0.424366525,0.046831781,0.002685144,17.441066645,1,463,463,131,322,455,0.076172000,0.047516000,1.681335000,0.277778000,48.332796000,0,0,1,0,0,0-149
16,19,1341846648.406052113,0.089258493,0.094097821,0.424366525,0.004736589,0.003734970,1.268173368,0,233,233,233,410,218,0.038411000,0.167382000,0.784342000,0.315789000,52.937239000,1,0,1,0,0,0-149
17,20,1341846648.438342094,0.075562981,0.093334010,0.424366525,0.015525023,0.003206244,4.842121605,1,495,495,200,422,480,0.078451000,0.052525000,1.054488000,0.300000000,50.813717000,0,0,1,0,0,0-149
18,21,1341846648.470076084,0.076106600,0.095547144,0.424366525,0.000663467,0.003028201,0.219096158,0,323,323,323,453,315,0.054036000,0.105263000,2.017407000,0.333333000,56.323270000,0,1,1,0,0,0-149
19,22,1341846648.506263018,0.077044597,0.100040999,0.424366525,0.002708035,0.004988988,0.542802478,0,236,236,236,398,224,0.038737000,0.165254000,0.437186000,0.318182000,51.295003000,1,0,1,0,0,0-149
20,23,1341846648.538249016,0.080471553,0.103873352,0.424366525,0.004008627,0.002767671,1.448375822,0,243,243,243,398,233,0.042318000,0.111111000,0.663798000,0.304348000,50.296907000,1,0,1,0,0,0-149
21,24,1341846648.570178986,0.089263375,0.111413713,0.424366525,0.006111742,0.005861740,1.042649775,1,540,540,179,343,527,0.090820000,0.059259000,0.920441000,0.291667000,48.888759000,0,0,1,0,0,0-149
22,25,1341846648.606081009,0.091783836,0.116583922,0.424366525,0.007480807,0.006846897,1.092583537,1,525,525,211,361,508,0.084961000,0.085714000,1.195067000,0.320000000,53.836625000,0,0,1,0,0,0-149
23,26,1341846648.638395071,0.084530933,0.115949344,0.424366525,0.010149261,0.003863936,2.626663920,0,272,272,272,454,257,0.047852000,0.117647000,1.725002000,0.346154000,57.876393000,1,0,1,0,0,0-149
24,27,1341846648.674052954,0.090939548,0.123671335,0.424366525,0.002459545,0.007879721,0.312136045,1,520,520,291,486,499,0.085938000,0.071154000,0.927367000,0.333333000,54.330412000,0,0,1,0,0,0-149
