match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
0,3,1341846647.866652012,0.069088367,0.063396496,0.451040600,0.000000000,0.000000000,0.000000000,1,331,331,243,312,295,0.043294000,0.172205000,2.091570000,0.333333000,119.501705000,1,1,1,0,0,0-149
1,4,1341846647.901972055,0.066835812,0.063345319,0.451040600,0.002135177,0.001166190,1.830898818,0,253,253,253,294,234,0.032878000,0.146245000,0.436961000,0.500000000,116.827241000,1,0,1,0,0,0-149
2,5,1341846647.934223890,0.055712077,0.065019326,0.451040600,0.044733569,0.002787472,16.048078523,1,600,600,167,212,600,0.093424000,0.000000000,1.406205000,0.400000000,103.871973000,0,0,1,0,0,0-149
3,6,1341846647.970225096,0.053707309,0.066578180,0.451040600,0.002530628,0.003494281,0.724220042,0,280,280,280,331,219,0.038737000,0.317857000,0.637397000,0.500000000,119.340794000,1,0,1,1,1,0-149
4,7,1341846648.002341032,0.053223076,0.068020029,0.451040600,0.002971089,0.002435159,1.220080115,0,262,262,262,330,192,0.030599000,0.312977000,0.710100000,0.428571000,106.184608000,1,0,1,1,1,0-149
5,8,1341846648.034343004,0.061389690,0.064422242,0.451040600,0.055329463,0.002539685,21.785954680,0,231,231,231,352,231,0.039714000,0.000000000,2.938294000,0.375000000,96.080648000,1,1,1,0,0,0-149
6,9,1341846648.070163965,0.054097331,0.069173943,0.451040600,0.050396697,0.003777565,13.341052249,0,193,193,193,299,181,0.029948000,0.067358000,1.496913000,0.333333000,72.369525000,1,0,1,0,0,0-149
7,10,1341846648.102152109,0.053161906,0.067478888,0.451040600,0.008676764,0.003220248,2.694439245,0,184,184,184,282,172,0.030273000,0.065217000,1.775689000,0.300000000,62.870598000,1,0,1,0,0,0-149
8,11,1341846648.138185024,0.056854100,0.069867041,0.451040600,0.017541286,0.004374929,4.009502252,1,558,558,168,274,557,0.088216000,0.003584000,1.943588000,0.272727000,53.197317000,0,0,1,0,0,0-149
9,12,1341846648.170567989,0.052583378,0.071557294,0.451040600,0.006372221,0.003477068,1.832642178,0,343,343,343,416,343,0.055013000,0.020408000,1.083044000,0.333333000,59.826429000,0,0,1,0,0,0-149
10,13,1341846648.202105999,0.054056371,0.073871852,0.451040600,0.004185729,0.003120897,1.341194110,0,268,268,268,378,267,0.045247000,0.041045000,0.689193000,0.307692000,54.620704000,1,0,1,0,0,0-149
11,14,1341846648.238157034,0.048040338,0.075146653,0.451040600,0.006519659,0.004012481,1.624845063,0,237,237,237,354,237,0.041016000,0.000000000,1.108104000,0.285714000,51.667548000,1,0,1,0,0,0-149
12,15,1341846648.270152092,0.068152611,0.073695646,0.451040600,0.030438198,0.002343075,12.990706365,1,571,571,173,300,571,0.087891000,0.001751000,1.411111000,0.266667000,47.654394000,0,0,1,0,0,0-149
13,16,1341846648.302182913,0.065121513,0.075406418,0.451040600,0.005050025,0.002703701,1.867819205,0,352,352,352,456,352,0.056641000,0.053977000,0.806308000,0.312500000,54.049430000,0,0,1,0,0,0-149
14,17,1341846648.338170052,0.064429807,0.079470762,0.451040600,0.007415482,0.003432200,2.160562072,0,220,220,220,365,207,0.036133000,0.118182000,1.220980000,0.294118000,51.251596000,1,0,1,0,0,0-149
15,18,1341846648.370215893,0.087252769,0.084313550,0.451040600,0.025570913,0.002685144,9.523105797,1,485,485,136,307,476,0.077148000,0.049485000,2.412965000,0.277778000,47.631105000,0,1,1,0,0,0-149
16,19,1341846648.406052113,0.079538850,0.082316888,0.451040600,0.008358079,0.003734970,2.237790334,1,495,495,221,412,482,0.080404000,0.070707000,1.393187000,0.315789000,49.964123000,0,0,1,0,0,0-149
17,20,1341846648.438342094,0.080544351,0.086304451,0.451040600,0.005539578,0.003206244,1.727746865,0,259,259,259,403,249,0.042969000,0.081081000,1.628013000,0.350000000,54.310770000,1,0,1,0,0,0-149
18,21,1341846648.470076084,0.069125821,0.086217127,0.451040600,0.011629606,0.003028201,3.840434353,1,501,501,219,392,494,0.082357000,0.037924000,0.484866000,0.333333000,50.264990000,0,0,1,0,0,0-149
