run,segment,triggers,motion_pressure,mean_static_inliers,mean_estimated_step,mean_allowed_step,mean_step_ratio
v18_default_r1,0-149,40,16,184.375,0.026824425000000002,0.016477375000000006,1.95065555
v18_default_r1,150-299,76,25,163.80263157894737,0.03265048684210526,0.01800000000000001,1.976566723684211
v18_default_r1,300-549,22,17,178.5,0.021251909090909092,0.011265909090909092,3.6290834090909088
v18_default_r1,550-599,12,11,116.66666666666667,0.07001783333333333,0.017182249999999996,6.1979749166666664
v18_default_r1,600-905,104,35,177.7403846153846,0.028329384615384614,0.017360951923076934,1.9480737596153843
v18_default_r2,0-149,40,16,184.375,0.026824425000000002,0.016477375000000006,1.95065555
v18_default_r2,150-299,76,25,163.80263157894737,0.03265048684210526,0.01800000000000001,1.976566723684211
v18_default_r2,300-549,22,17,178.5,0.021251909090909092,0.011265909090909092,3.6290834090909088
v18_default_r2,550-599,12,11,116.66666666666667,0.07001783333333333,0.017182249999999996,6.1979749166666664
v18_default_r2,600-905,104,35,177.7403846153846,0.028329384615384614,0.017360951923076934,1.9480737596153843
v18_motion_only,0-149,20,20,172.2,0.030585750000000002,0.014878049999999999,2.7429265000000003
v18_motion_only,150-299,18,18,141.44444444444446,0.043572277777777786,0.018000000000000002,2.8874052222222217
v18_motion_only,300-549,14,14,163.28571428571428,0.019190714285714287,0.011032785714285712,3.0730495
v18_motion_only,550-599,10,10,111.9,0.0667095,0.015153399999999997,7.7590216
v18_motion_only,600-905,29,29,128.44827586206895,0.06255906896551724,0.01709672413793104,4.481275068965516
v18_soft,0-149,22,11,163.3181818181818,0.029041545454545455,0.02181472727272728,2.1004612727272725
v18_soft,150-299,44,23,168.6590909090909,0.03974113636363636,0.024867113636363646,2.3390394545454543
v18_soft,300-549,14,11,180.57142857142858,0.02999842857142857,0.018303714285714288,3.586252428571428
v18_soft,550-599,14,14,114.78571428571429,0.09309628571428573,0.023684714285714288,8.031187857142857
v18_soft,600-905,51,25,150.98039215686273,0.03377762745098039,0.02389766666666666,2.126994607843137
