case,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,v21_before_chi2,v21_after_chi2,v21_chi2_inc,v21_inlier_delta
wrpy_v21_default_seq_noheap,8,1,accepted_residual_verified,accepted_residual_verified,0.009553,0.007461,2.304665,232,0.039062,1.895881,2.103454,0.207573,-0.030172
wrpy_v21_default_seq_noheap,10,1,accepted_residual_verified,accepted_residual_verified,0.008814,0.008796,1.803835,170,0.029622,1.341507,1.341838,0.000331,0.000000
wrpy_v21_default_seq_noheap,15,1,accepted_residual_verified,accepted_residual_verified,0.013652,0.009713,2.529944,137,0.025391,2.079730,2.392645,0.312915,-0.029197
wrpy_v21_default_seq_noheap,20,0,v21_residual_verification_reject,residual_chi2_worse,0.019069,0.011038,3.109638,145,0.027344,2.190683,5.617832,3.427149,-0.270677
wrpy_v21_default_seq_noheap,21,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.013497,0.011069,2.194855,131,0.023763,2.097052,2.400173,0.303121,-0.065574
wrpy_v21_default_seq_noheap,26,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.019551,0.011038,3.188165,149,0.028971,2.349693,4.289509,1.939817,-0.165468
wrpy_v21_default_seq_noheap,29,1,accepted_residual_verified,accepted_residual_verified,0.013521,0.011458,2.124131,146,0.026042,2.444851,2.539453,0.094602,-0.029630
wrpy_v21_default_seq_noheap,30,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.014554,0.011817,2.217039,129,0.025716,2.364322,2.630345,0.266023,-0.055556
wrpy_v21_default_seq_noheap,40,1,accepted_residual_verified,accepted_residual_verified,0.017966,0.014577,2.218409,107,0.017578,1.919020,1.987104,0.068084,-0.010204
wrpy_v21_default_seq_noheap,46,0,v21_residual_verification_reject,residual_chi2_worse,0.030632,0.015748,3.501226,124,0.023438,2.112101,11.508381,9.396281,-0.373913
wrpy_v21_default_seq_noheap,47,1,accepted_residual_verified,accepted_residual_verified,0.023494,0.018000,2.306171,121,0.022786,1.643207,1.728774,0.085567,-0.019231
wrpy_v21_default_seq_noheap,49,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.026560,0.018000,2.119453,141,0.023112,2.018918,3.142993,1.124075,-0.083333
wrpy_v21_default_seq_noheap,60,1,accepted_residual_verified,accepted_residual_verified,0.020119,0.018000,1.460178,101,0.018555,2.182103,2.248646,0.066543,-0.010989
wrpy_v21_default_seq_noheap,83,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.030935,0.018000,1.848171,187,0.034831,1.881293,3.362251,1.480958,-0.127072
wrpy_v21_default_seq_noheap,91,1,accepted_residual_verified,accepted_residual_verified,0.018635,0.018000,1.151974,238,0.048828,2.008790,2.032244,0.023454,-0.004310
wrpy_v21_default_seq_noheap,94,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.021148,0.018000,1.434899,250,0.048177,2.273974,2.962455,0.688481,-0.073593
wrpy_v21_default_seq_noheap,97,0,v21_residual_verification_reject,residual_chi2_worse,0.024965,0.018000,1.671149,193,0.040039,2.327970,4.781047,2.453077,-0.220339
wrpy_v21_default_seq_noheap,116,0,v21_residual_verification_reject,residual_chi2_worse,0.023731,0.018000,1.529644,222,0.042643,2.551706,5.826059,3.274353,-0.257009
wrpy_v21_default_seq_noheap,118,0,v21_residual_verification_reject,residual_chi2_worse,0.029962,0.018000,1.753310,191,0.040039,2.698384,13.832581,11.134196,-0.514124
wrpy_v21_default_seq_noheap,119,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.025651,0.018000,1.470823,158,0.025391,2.764402,4.307031,1.542629,-0.166667
wrpy_v21_default_seq_noheap,120,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.024789,0.018000,1.393187,168,0.030273,3.102130,4.597873,1.495742,-0.203704
wrpy_v21_default_seq_noheap,121,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.024668,0.018000,1.338036,191,0.034831,2.606221,3.591205,0.984984,-0.096774
wrpy_v21_default_seq_noheap,122,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023234,0.018000,1.205342,199,0.033203,2.450784,3.030032,0.579248,-0.095238
wrpy_v21_default_seq_noheap,123,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.026211,0.018000,1.324119,214,0.033203,2.473044,3.793453,1.320408,-0.140097
wrpy_v21_default_seq_noheap,124,1,accepted_residual_verified,accepted_residual_verified,0.019849,0.018000,0.995096,133,0.026367,2.770390,2.777122,0.006732,-0.030769
wrpy_v21_default_seq_noheap,126,0,v21_residual_verification_reject,residual_chi2_worse,0.032143,0.018000,1.611423,162,0.028320,2.588850,5.415724,2.826875,-0.242236
wrpy_v21_default_seq_noheap,127,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.026224,0.018000,1.218210,209,0.035156,2.198360,4.088420,1.890060,-0.176471
wrpy_v21_default_seq_noheap,129,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.023329,0.018000,1.083721,171,0.031250,2.284619,3.141540,0.856921,-0.071856
wrpy_v21_default_seq_noheap,130,1,accepted_residual_verified,accepted_residual_verified,0.020479,0.018000,0.882724,151,0.029948,2.380481,2.566460,0.185980,-0.026846
wrpy_v21_default_seq_noheap,131,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.029427,0.018000,1.367007,146,0.029948,2.857270,3.343654,0.486384,-0.094891
wrpy_v21_default_seq_noheap,132,0,v21_residual_verification_reject,residual_chi2_worse,0.042814,0.018000,1.845491,189,0.034180,2.319012,21.766243,19.447230,-0.686813
wrpy_v21_default_seq_noheap,133,1,accepted_residual_verified,accepted_residual_verified,0.018292,0.018000,0.778816,138,0.027669,2.758014,2.760018,0.002004,-0.007463
wrpy_v21_default_seq_noheap,134,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.031853,0.018000,1.356207,193,0.035807,2.280742,4.265908,1.985166,-0.190476
wrpy_v21_default_seq_noheap,135,1,accepted_residual_verified,accepted_residual_verified,0.020279,0.018000,0.863428,192,0.037435,2.445745,2.553353,0.107608,-0.021053
wrpy_v21_default_seq_noheap,136,0,v21_residual_verification_reject,residual_chi2_worse,0.028973,0.018000,1.233581,191,0.039714,2.367749,5.967547,3.599798,-0.296703
wrpy_v21_default_seq_noheap,139,1,accepted_residual_verified,accepted_residual_verified,0.019724,0.018000,0.832630,241,0.045573,2.062496,2.143950,0.081454,-0.008621
wrpy_v21_default_seq_noheap,141,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.028819,0.018000,1.226993,187,0.037109,2.473678,3.624237,1.150559,-0.139665
wrpy_v21_default_seq_noheap,144,0,v21_residual_verification_reject,residual_chi2_worse,0.034674,0.018000,1.473641,56,0.014974,2.848298,7.407513,4.559214,-0.339286
wrpy_v21_default_seq_noheap,145,1,accepted_residual_verified,accepted_residual_verified,0.020366,0.018000,0.843769,80,0.018229,2.604593,2.686130,0.081538,0.000000
wrpy_v21_default_seq_noheap,146,1,accepted_residual_verified,accepted_residual_verified,0.019675,0.018000,0.791977,76,0.018555,2.743611,2.774698,0.031087,0.000000
wrpy_v21_default_seq_noheap,147,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.022577,0.018000,0.916211,94,0.022786,2.584651,3.087553,0.502902,-0.067416
wrpy_v21_default_seq_noheap,149,0,v21_residual_verification_reject,residual_inlier_ratio_drop,0.022172,0.018000,0.955721,70,0.017253,2.545428,2.736107,0.190679,-0.057971
wrpy_v21_default_seq_noheap,163,1,accepted_residual_verified,accepted_residual_verified,0.021122,0.018000,1.173431,56,0.011719,1.945744,2.020604,0.074860,-0.037037
wrpy_v21_default_seq_noheap,166,1,accepted_residual_verified,accepted_residual_verified,0.018552,0.018000,1.443917,46,0.008138,1.513319,1.522063,0.008744,0.000000
wrpy_v21_default_seq_noheap,167,0,v21_residual_verification_reject,residual_chi2_worse,0.033912,0.018000,2.874484,28,0.005859,2.014007,4.559240,2.545234,-0.307692
