case,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,dynamic_feature_grid_coverage,v21_before_chi2,v21_after_chi2,v21_chi2_inc,v21_inlier_delta,v22_hazard
whalfsphere_v22_default,28,1,accepted,accepted_residual_verified,0.020352,0.018000,1.565129,133,0.027995,0.058919,1.149123,1.258306,0.109183,0.000000,0
whalfsphere_v22_default,29,1,accepted,accepted_residual_verified,0.019947,0.018000,1.521352,153,0.029622,0.053711,1.193768,1.267335,0.073566,-0.013793,0
whalfsphere_v22_default,39,1,accepted,accepted_residual_verified,0.019056,0.018000,1.437553,133,0.026367,0.044271,1.706441,1.695430,-0.011011,0.000000,0
whalfsphere_v22_default,41,0,v21_residual_verification_reject,v22_dynamic_occlusion_residual_reject,0.035375,0.018000,2.606671,95,0.021484,0.044922,1.737140,8.591326,6.854186,-0.163043,1
whalfsphere_v22_default,42,1,accepted,accepted_residual_verified,0.029859,0.018000,2.200199,107,0.023438,0.041016,1.240295,2.286757,1.046462,-0.038095,0
whalfsphere_v22_default,44,1,accepted,accepted_residual_verified,0.024257,0.018000,1.737422,185,0.034180,0.035156,1.290628,1.604757,0.314129,-0.032787,0
whalfsphere_v22_default,46,1,accepted,accepted_residual_verified,0.022179,0.018000,1.634281,193,0.035482,0.038737,1.294834,1.538730,0.243895,-0.016393,0
whalfsphere_v22_default,55,1,accepted,accepted_v22_pose_chain_context,0.056126,0.018000,4.234099,229,0.044271,0.015625,2.166176,22.064202,19.898027,-0.411504,0
whalfsphere_v22_default,56,1,accepted,accepted_residual_verified,0.023246,0.018000,1.753638,177,0.033854,0.044271,1.575020,1.609942,0.034922,-0.011299,0
whalfsphere_v22_default,58,1,accepted,accepted_residual_verified,0.028977,0.018000,2.102789,197,0.036784,0.042969,0.976957,2.004093,1.027136,-0.042328,0
whalfsphere_v22_default,61,1,accepted,accepted_v22_pose_chain_context,0.028535,0.018000,2.168084,147,0.027344,0.061198,1.337143,2.833106,1.495963,-0.097222,0
