case,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,dynamic_feature_grid_coverage,v21_before_chi2,v21_after_chi2,v21_chi2_inc,v21_inlier_delta,v22_hazard
wrpy_v22_default,8,1,accepted,accepted_residual_verified,0.009553,0.007461,2.304665,232,0.039062,0.000000,1.895881,2.103454,0.207573,-0.030172,0
wrpy_v22_default,10,1,accepted,accepted_residual_verified,0.008814,0.008796,1.803835,170,0.029622,0.033203,1.341507,1.341838,0.000331,0.000000,0
wrpy_v22_default,15,1,accepted,accepted_residual_verified,0.013652,0.009713,2.529944,137,0.025391,0.002279,2.079730,2.392645,0.312915,-0.029197,0
wrpy_v22_default,20,1,accepted,accepted_v22_pose_chain_context,0.019069,0.011038,3.109638,145,0.027344,0.010417,2.190683,5.617832,3.427149,-0.270677,0
wrpy_v22_default,26,1,accepted,accepted_v22_pose_chain_context,0.019551,0.011038,3.188155,149,0.028971,0.013021,2.349690,4.289489,1.939800,-0.165468,0
wrpy_v22_default,29,1,accepted,accepted_residual_verified,0.013521,0.011069,2.198830,146,0.026042,0.013021,2.444852,2.586793,0.141941,-0.029630,0
wrpy_v22_default,30,1,accepted,accepted_v22_pose_chain_context,0.014915,0.011099,2.418877,129,0.025716,0.013997,2.364323,2.869167,0.504844,-0.071429,0
wrpy_v22_default,33,1,accepted,accepted_residual_verified,0.012576,0.012108,1.869545,133,0.026693,0.012044,2.209613,2.222532,0.012919,0.000000,0
wrpy_v22_default,35,1,accepted,accepted_residual_verified,0.016049,0.012544,2.302926,85,0.016276,0.033203,3.083054,3.300025,0.216970,-0.025000,0
wrpy_v22_default,36,1,accepted,accepted_residual_verified,0.014495,0.012544,2.079994,112,0.021159,0.033529,3.019637,3.094962,0.075325,-0.044643,0
wrpy_v22_default,39,1,accepted,accepted_residual_verified,0.024857,0.013493,3.316007,114,0.019531,0.053385,1.617161,2.046646,0.429485,-0.010417,0
wrpy_v22_default,44,1,accepted,accepted_residual_verified,0.018446,0.016464,2.016703,135,0.024414,0.048177,2.249963,2.349396,0.099433,-0.032787,0
wrpy_v22_default,47,1,accepted,accepted_residual_verified,0.023135,0.018000,2.095900,166,0.027344,0.042318,1.636226,2.097179,0.460953,-0.026846,0
wrpy_v22_default,49,1,accepted,accepted_residual_verified,0.022805,0.018000,2.063128,128,0.025065,0.051107,2.037989,2.076912,0.038924,0.000000,0
wrpy_v22_default,51,1,accepted,accepted_residual_verified,0.020606,0.018000,1.859065,205,0.033529,0.048828,1.587723,1.649966,0.062243,-0.005376,0
wrpy_v22_default,61,1,accepted,accepted_residual_verified,0.018324,0.018000,1.301728,153,0.031250,0.019857,2.233997,2.238542,0.004545,0.000000,0
wrpy_v22_default,63,1,accepted,accepted_v22_pose_chain_context,0.029570,0.018000,1.980006,194,0.032878,0.019531,2.197612,4.087636,1.890023,-0.194444,0
wrpy_v22_default,65,1,accepted,accepted_residual_verified,0.022498,0.018000,1.445180,223,0.041992,0.027344,1.858811,2.432179,0.573368,-0.033493,0
wrpy_v22_default,72,1,accepted,accepted_residual_verified,0.019373,0.018000,1.305836,259,0.042969,0.032552,1.314836,1.318853,0.004016,-0.004016,0
wrpy_v22_default,74,1,accepted,accepted_residual_verified,0.023374,0.018000,1.460093,243,0.046549,0.027018,1.746034,2.157425,0.411391,-0.043860,0
wrpy_v22_default,77,1,accepted,accepted_residual_verified,0.019959,0.018000,1.429241,234,0.040039,0.037760,1.492791,1.526452,0.033660,-0.004505,0
