case,stage,frame,applied,reason,v21_reason,estimated_step,allowed_step,step_ratio,static_inliers,static_grid_coverage,dynamic_feature_grid_coverage,v21_chi2_increase_abs,v21_chi2_inflation_ratio,v21_inlier_ratio_delta,v22_dynamic_occlusion_residual_hazard,v23_current_segment_evidence,v23_segment_active,v23_recent_evidence_hits,v23_active_until_frame
wrpy_D_v22_default_current,track_local_map_post_pose,8,1,,accepted_v22_pose_chain_context,0.010230,0.006267,2.938294,231,0.039714,0.000000,0.753513,1.383699,-0.077922,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,10,1,,accepted_residual_verified,0.008677,0.008050,1.940031,172,0.030273,0.033203,0.031002,1.021012,-0.005814,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,11,1,,accepted_residual_verified,0.009734,0.008423,2.080063,168,0.029297,0.003255,0.043464,1.025524,-0.005988,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,18,1,,accepted_v22_pose_chain_context,0.014235,0.010591,2.419501,128,0.024089,0.011393,0.312748,1.098412,-0.097345,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,30,1,,accepted_residual_verified,0.011955,0.011252,1.912426,202,0.040365,0.013997,0.003803,1.001547,0.000000,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,35,1,,accepted_v22_pose_chain_context,0.017593,0.012522,2.528956,89,0.017253,0.033203,1.377308,1.529676,-0.137931,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,36,1,,accepted_v22_pose_chain_context,0.015632,0.013214,2.129367,158,0.027344,0.033529,0.143565,1.055833,-0.051282,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,47,1,,accepted_residual_verified,0.018882,0.016115,2.109075,164,0.029622,0.042318,0.114482,1.052197,-0.006803,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,49,1,,accepted_residual_verified,0.024001,0.016115,2.680925,129,0.024740,0.051107,0.352966,1.169729,-0.040000,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,51,1,,accepted_residual_verified,0.017025,0.016546,1.852091,252,0.041341,0.048828,0.003673,1.002015,-0.004425,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,63,1,,accepted_residual_verified,0.022196,0.018000,1.915527,241,0.041016,0.019531,0.182333,1.087167,-0.013100,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,65,1,,accepted_v22_pose_chain_context,0.022613,0.018000,1.933653,276,0.046549,0.027344,0.564309,1.280593,-0.068441,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,72,1,,accepted_residual_verified,0.021375,0.018000,1.640535,307,0.049805,0.032552,0.007388,1.004677,0.000000,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,81,1,,accepted_v22_pose_chain_context,0.025149,0.018000,1.858057,259,0.043620,0.039388,0.424511,1.187372,-0.078512,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,83,1,,accepted_v22_pose_chain_context,0.022143,0.018000,1.612967,221,0.041341,0.007812,0.284105,1.150585,-0.052381,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,115,1,,accepted_v22_pose_chain_context,0.026224,0.018000,1.761141,235,0.049479,0.016602,6.821779,3.480197,-0.395556,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,116,1,,accepted_v22_pose_chain_context,0.032978,0.018000,2.208299,241,0.046875,0.010742,18.170952,7.001380,-0.599138,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,117,1,,accepted_v22_pose_chain_context,0.047367,0.018000,3.054889,193,0.040690,0.011068,41.016488,14.302388,-0.861702,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,118,1,,accepted_v22_pose_chain_context,0.025863,0.018000,1.584387,155,0.032552,0.012370,1.253023,1.401346,-0.136986,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,119,1,,accepted_v22_pose_chain_context,0.026742,0.018000,1.573070,154,0.026367,0.031576,2.167155,1.916989,-0.200000,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,120,1,,accepted_v22_pose_chain_context,0.028043,0.018000,1.591522,156,0.028320,0.035482,1.623136,1.531543,-0.210526,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,121,1,,accepted_v22_pose_chain_context,0.025503,0.018000,1.424661,203,0.032552,0.036784,0.874766,1.315030,-0.140704,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,122,1,,accepted_v22_pose_chain_context,0.027367,0.018000,1.528740,193,0.034505,0.036784,1.916447,1.784765,-0.193548,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,123,1,,accepted_residual_verified,0.018558,0.018000,1.031844,205,0.032227,0.043294,-0.001372,0.999284,0.000000,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,124,1,,accepted_v22_pose_chain_context,0.023889,0.018000,1.327149,160,0.026693,0.046549,0.752757,1.317165,-0.084967,0,,,,
wrpy_D_v22_default_current,track_local_map_post_pose,125,1,,accepted_v22_pose_chain_context,0.031905,0.018000,1.772521,200,0.036133,0.026042,5.300644,3.257674,-0.369231,0,,,,
