match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.389672888,0.144846783,-0.244826106,0.082957801,0.108207524,0.025249723
1,0.389797048,0.143636145,-0.246160903,0.082881061,0.108127098,0.025246037
2,0.388701897,0.153216651,-0.235485245,0.083970545,0.110396967,0.026426422
3,0.388457149,0.158462736,-0.229994413,0.086072164,0.112596334,0.026524170
4,0.388325357,0.152268813,-0.236056544,0.087327729,0.112568585,0.025240856
5,0.385889595,0.153617057,-0.232272539,0.088641697,0.113869845,0.025228148
6,0.386958016,0.154275554,-0.232682462,0.090831674,0.115589604,0.024757931
7,0.388671406,0.148610939,-0.240060467,0.092419216,0.115750115,0.023330899
8,0.388940720,0.152491345,-0.236449375,0.094463195,0.117993568,0.023530373
9,0.395110737,0.159076022,-0.236034715,0.095899995,0.120391359,0.024491364
10,0.395125433,0.158254168,-0.236871265,0.098123954,0.121681768,0.023557814
11,0.398645359,0.156153232,-0.242492128,0.100182030,0.122935821,0.022753791
12,0.401396679,0.159787722,-0.241608957,0.101540502,0.124417921,0.022877419
13,0.406318324,0.158735644,-0.247582680,0.103142477,0.125342464,0.022199987
14,0.410931019,0.164809043,-0.246121976,0.105557808,0.127959739,0.022401930
15,0.403109662,0.168202803,-0.234906859,0.107103450,0.129893203,0.022789752
16,0.400466466,0.168050278,-0.232416188,0.110560171,0.132309630,0.021749459
17,0.404968873,0.177387505,-0.227581368,0.112977904,0.136168488,0.023190584
18,0.404989368,0.183578110,-0.221411258,0.115780185,0.139661567,0.023881382
19,0.408267450,0.185359304,-0.222908146,0.119994371,0.143897024,0.023902653
20,0.408742641,0.189905343,-0.218837298,0.122558953,0.146722668,0.024163715
21,0.407560809,0.195750123,-0.211810686,0.128145889,0.152518718,0.024372829
22,0.397199937,0.199190495,-0.198009443,0.134886197,0.158586096,0.023699898
23,0.389700886,0.190456125,-0.199244761,0.139217841,0.160457921,0.021240081
24,0.385701885,0.197494402,-0.188207483,0.146685962,0.167906834,0.021220873
25,0.382883707,0.197507857,-0.185375851,0.154405374,0.174603432,0.020198058
26,0.377572941,0.204964741,-0.172608200,0.162010506,0.182060317,0.020049811
27,0.371594279,0.212343905,-0.159250373,0.169087887,0.189094614,0.020006727
28,0.368925533,0.218686438,-0.150239095,0.177982780,0.197797730,0.019814950
29,0.361974508,0.227903746,-0.134070763,0.184253933,0.204692386,0.020438453
30,0.357678654,0.236407703,-0.121270951,0.191480077,0.212678841,0.021198764
31,0.342733413,0.240702443,-0.102030970,0.200106064,0.220581683,0.020475618
32,0.325494913,0.222127241,-0.103367672,0.206028071,0.222635861,0.016607789
33,0.318368389,0.242648449,-0.075719940,0.212234551,0.230588674,0.018354123
34,0.297302620,0.233175341,-0.064127278,0.219188494,0.233831220,0.014642726
35,0.277810975,0.238878194,-0.038932781,0.227077744,0.240937912,0.013860168
36,0.272051235,0.254316153,-0.017735082,0.232305454,0.247201709,0.014896255
37,0.263047585,0.252088056,-0.010959529,0.239756212,0.252333058,0.012576846
38,0.253957738,0.247300133,-0.006657605,0.245558967,0.255949406,0.010390438
39,0.242652393,0.245310710,0.002658317,0.251132964,0.259400247,0.008267283
40,0.232692481,0.256566522,0.023874041,0.260074035,0.267773852,0.007699817
41,0.219621884,0.255481786,0.035859902,0.265337697,0.271202480,0.005864783
42,0.226419312,0.263797618,0.037378306,0.270175463,0.276453512,0.006278049
43,0.218519960,0.269491136,0.050971176,0.277943670,0.283960095,0.006016425
44,0.214602757,0.256958757,0.042356000,0.284150699,0.285279065,0.001128366
45,0.209572286,0.263782085,0.054209799,0.289440451,0.290407094,0.000966643
46,0.208168811,0.290477549,0.082308738,0.295893453,0.300422788,0.004529334
47,0.205937405,0.287963625,0.082026220,0.301566485,0.304107559,0.002541073
48,0.207677201,0.280243975,0.072566774,0.306700253,0.306203134,-0.000497119
49,0.211507276,0.285242875,0.073735598,0.311579477,0.310632059,-0.000947418
50,0.217060008,0.289211812,0.072151804,0.318309561,0.316444161,-0.001865401
51,0.221457571,0.284527730,0.063070159,0.329954433,0.325830788,-0.004123645
52,0.223029978,0.290132309,0.067102331,0.334453647,0.330596827,-0.003856820
53,0.228130402,0.282058731,0.053928328,0.340487305,0.334325845,-0.006161460
54,0.224906642,0.281986670,0.057080028,0.345468884,0.337962676,-0.007506207
55,0.233056487,0.284860060,0.051803574,0.352912255,0.344041151,-0.008871104
56,0.237607604,0.285834831,0.048227227,0.358994792,0.349021704,-0.009973088
57,0.236251187,0.300996230,0.064745043,0.364907811,0.355798861,-0.009108950
58,0.215314584,0.316886539,0.101571956,0.371110784,0.364729154,-0.006381630
59,0.238862245,0.316028376,0.077166130,0.379752952,0.370119436,-0.009633516
60,0.263925125,0.303869889,0.039944764,0.388188804,0.373382916,-0.014805888
61,0.262312361,0.314056703,0.051744341,0.397346714,0.383263711,-0.014083003
62,0.277099188,0.325534216,0.048435028,0.406418882,0.389717353,-0.016701529
63,0.284870131,0.325082121,0.040211989,0.414708428,0.396306020,-0.018402408
64,0.299967564,0.341475440,0.041507876,0.425632815,0.407884938,-0.017747877
65,0.314925034,0.351236986,0.036311951,0.433770705,0.414877198,-0.018893506
66,0.318401820,0.352549432,0.034147612,0.441318438,0.421325406,-0.019993032
67,0.332907966,0.355968057,0.023060090,0.451698726,0.429609274,-0.022089452
68,0.341489877,0.365251535,0.023761658,0.458756180,0.436035043,-0.022721137
69,0.340484701,0.371747481,0.031262780,0.465281036,0.442942153,-0.022338882
70,0.351947264,0.377660072,0.025712808,0.473896268,0.450680247,-0.023216021
71,0.379025555,0.371615828,-0.007409727,0.481350931,0.453360133,-0.027990798
72,0.370973548,0.378865195,0.007891647,0.485373626,0.458906519,-0.026467107
73,0.369303702,0.381112371,0.011808669,0.489922810,0.463504883,-0.026417927
74,0.378921940,0.382783666,0.003861726,0.493032501,0.465368147,-0.027664354
75,0.388734739,0.386292192,-0.002442547,0.495518809,0.467172399,-0.028346410
76,0.379236329,0.385576873,0.006340543,0.495651456,0.468105412,-0.027546045
77,0.373950921,0.387446179,0.013495258,0.493888528,0.467084687,-0.026803840
78,0.383313436,0.381214335,-0.002099101,0.492170464,0.464070718,-0.028099746
79,0.381811706,0.373411700,-0.008400006,0.487166585,0.458506997,-0.028659588
80,0.361927005,0.369568415,0.007641410,0.480449910,0.454187026,-0.026262883
81,0.345092363,0.364043930,0.018951567,0.470298305,0.445758196,-0.024540109
82,0.339254874,0.357550732,0.018295857,0.462168479,0.438248324,-0.023920155
83,0.323443958,0.348173144,0.024729185,0.452590883,0.429904754,-0.022686128
84,0.306663657,0.340434173,0.033770516,0.438396624,0.417662140,-0.020734483
85,0.296812675,0.336997968,0.040185293,0.427722977,0.408782412,-0.018940565
86,0.290760915,0.323263857,0.032502942,0.417387019,0.398697214,-0.018689806
87,0.274216935,0.309340013,0.035123078,0.402191286,0.384871433,-0.017319853
88,0.251849727,0.312812976,0.060963249,0.389713072,0.376751447,-0.012961625
89,0.238144405,0.307589067,0.069444662,0.373919069,0.363324306,-0.010594762
90,0.232753190,0.293229576,0.060476386,0.362572024,0.352481043,-0.010090981
91,0.218304227,0.287855654,0.069551427,0.349983583,0.342801421,-0.007182162
92,0.208950806,0.283409573,0.074458767,0.333942847,0.329154049,-0.004788798
93,0.202105058,0.268730778,0.066625720,0.322221839,0.317808979,-0.004412860
94,0.195672949,0.263188189,0.067515240,0.308242909,0.307305311,-0.000937598
95,0.190757964,0.259282435,0.068524470,0.291877246,0.294046663,0.002169417
96,0.198945835,0.244585917,0.045640082,0.285372941,0.286127810,0.000754869
97,0.194466810,0.236733411,0.042266600,0.269725298,0.273365377,0.003640079
98,0.193929980,0.230052091,0.036122111,0.255328849,0.261513097,0.006184248
99,0.197061514,0.224467601,0.027406087,0.245254534,0.252909211,0.007654677
100,0.200395060,0.216940861,0.016545801,0.235887206,0.245095733,0.009208526
101,0.204183133,0.208409933,0.004226800,0.222544135,0.233223156,0.010679021
102,0.211737594,0.192062814,-0.019674781,0.212734773,0.222634027,0.009899254
103,0.220352713,0.187224391,-0.033128322,0.202225331,0.214004978,0.011779647
104,0.231013341,0.164898688,-0.066114652,0.188814741,0.199880412,0.011065670
105,0.243939533,0.148207937,-0.095731596,0.178281981,0.189578413,0.011296431
106,0.261058518,0.124213988,-0.136844530,0.155254215,0.167539394,0.012285179
107,0.272453241,0.106490921,-0.165962321,0.146268468,0.157254026,0.010985559
108,0.284935658,0.083957628,-0.200978030,0.133646000,0.143052713,0.009406713
109,0.297400742,0.078399541,-0.219001201,0.124064791,0.134698369,0.010633577
110,0.313849138,0.069224141,-0.244624996,0.113676861,0.125216718,0.011539857
111,0.335124319,0.060523560,-0.274600758,0.103460832,0.114287546,0.010826714
112,0.359684864,0.062555783,-0.297129081,0.088833436,0.101148247,0.012314810
113,0.384607602,0.074534069,-0.310073532,0.077271124,0.091134277,0.013863152
114,0.419097272,0.096101931,-0.322995341,0.065124054,0.081636706,0.016512652
115,0.450559786,0.113242129,-0.337317657,0.049660030,0.067394933,0.017734903
116,0.474888307,0.140660102,-0.334228205,0.039653790,0.057225446,0.017571656
117,0.501246441,0.162325620,-0.338920821,0.031029124,0.044339432,0.013310308
118,0.541117874,0.191930740,-0.349187134,0.027896644,0.035428939,0.007532294
119,0.571418435,0.219409539,-0.352008896,0.030902329,0.027576792,-0.003325537
120,0.591910249,0.243995058,-0.347915191,0.039400224,0.022190998,-0.017209226
121,0.627745948,0.270396408,-0.357349539,0.047237795,0.022153164,-0.025084631
122,0.666168492,0.308971859,-0.357196633,0.056447983,0.022721925,-0.033726058
123,0.705724657,0.345797842,-0.359926814,0.069447580,0.029086355,-0.040361225
124,0.740766209,0.380629255,-0.360136954,0.078750675,0.034707879,-0.044042796
125,0.778052360,0.411199275,-0.366853085,0.090977313,0.044777330,-0.046199983
126,0.818113162,0.440360147,-0.377753015,0.100531493,0.052939693,-0.047591799
127,0.851076119,0.471687523,-0.379388596,0.109229191,0.060768968,-0.048460223
128,0.885077881,0.496847636,-0.388230245,0.121449890,0.072022006,-0.049427884
129,0.935037677,0.537594032,-0.397443645,0.131275287,0.078617299,-0.052657988
130,0.958187309,0.577271148,-0.380916161,0.139993851,0.085644003,-0.054349848
131,0.989469844,0.585102408,-0.404367436,0.151361265,0.097769308,-0.053591957
132,1.013641849,0.579383260,-0.434258588,0.161462037,0.102347088,-0.059114949
133,1.035224452,0.590082276,-0.445142177,0.170876750,0.110085626,-0.060791124
134,1.030253176,0.595502585,-0.434750591,0.184082004,0.122898503,-0.061183502
135,1.069399819,0.629376562,-0.440023257,0.192438133,0.128804327,-0.063633806
136,1.102052598,0.635778760,-0.466273838,0.200818049,0.134609618,-0.066208430
137,1.106781957,0.653108044,-0.453673913,0.213369836,0.144694036,-0.068675799
138,1.109786614,0.646161348,-0.463625267,0.223491447,0.155092077,-0.068399370
139,1.125296989,0.672781695,-0.452515294,0.230418084,0.161781323,-0.068636761
140,1.147127875,0.681444384,-0.465683492,0.239257232,0.171233118,-0.068024114
141,1.100211555,0.657669892,-0.442541663,0.248770029,0.171865386,-0.076904643
