match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.345749851,0.116391043,-0.229358808,0.187111579,0.154691857,-0.032419721,0.337648357,0.111875895,1.734085120,2.169631620,0.435546501
50,99,50,0.290106898,0.167172614,-0.122934284,0.406413294,0.300050649,-0.106362645,0.282607889,0.166707984,1.443364658,1.643085895,0.199721237
100,149,50,0.820193323,0.204886836,-0.615306487,0.170412795,0.091198693,-0.079214102,0.735049717,0.175589138,2.914706577,2.355408305,-0.559298272
150,199,50,1.474708916,0.511947420,-0.962761496,0.234122366,0.110503813,-0.123618553,1.472257553,0.509924066,7.099887108,5.112118217,-1.987768892
200,249,50,0.973234472,0.256077134,-0.717157338,0.086400928,0.045671567,-0.040729361,0.923431978,0.188519919,6.331355201,5.226973778,-1.104381423
250,299,50,0.369060949,0.073502384,-0.295558565,0.072827732,0.052345490,-0.020482242,0.341810649,0.069290745,8.576504411,8.898212373,0.321707962
300,349,50,0.147896629,0.073139347,-0.074757282,0.112985705,0.084060828,-0.028924876,0.143752428,0.067543113,14.094915502,21.444521699,7.349606197
350,399,50,0.083398278,0.032526972,-0.050871306,0.089080530,0.058622585,-0.030457945,0.082518226,0.030899851,8.712329021,11.493541906,2.781212885
400,449,50,0.661372741,0.029382386,-0.631990354,0.072154776,0.048086843,-0.024067933,0.567714012,0.028363710,33.605344241,10.818574270,-22.786769972
450,499,50,0.900140177,0.044619407,-0.855520770,0.063313544,0.059455804,-0.003857741,0.900107340,0.042573933,8.099696569,11.102405506,3.002708937
500,549,50,0.949489456,0.058168998,-0.891320458,0.074649986,0.047546487,-0.027103498,0.949140020,0.057453205,7.305650800,8.504386316,1.198735516
550,599,50,0.946880499,0.098092892,-0.848787607,0.137968869,0.075702427,-0.062266442,0.937221396,0.095984883,7.644125216,4.487111652,-3.157013564
600,649,50,0.473796589,0.082671365,-0.391125225,0.112085366,0.053169221,-0.058916145,0.471160211,0.080645536,18.572731654,15.280554424,-3.292177230
650,699,50,0.757895419,0.078456454,-0.679438965,0.122625941,0.077111240,-0.045514701,0.728406171,0.070350787,8.943468683,7.839492796,-1.103975887
700,749,50,1.170393857,0.093010128,-1.077383729,0.168465113,0.104173253,-0.064291860,1.169939322,0.091175874,5.831612168,9.486373519,3.654761351
750,799,50,1.158760713,0.095644341,-1.063116372,0.147784757,0.070896916,-0.076887842,1.158175961,0.095524231,7.337234137,6.169078612,-1.168155525
800,849,50,1.565039496,0.394735626,-1.170303869,0.135620029,0.175620393,0.040000364,1.544559761,0.333699636,5.214386900,4.263415182,-0.950971718
850,899,50,2.009581020,0.728070431,-1.281510590,0.132375756,0.221618761,0.089243004,2.009236398,0.727711254,3.675390590,3.699910381,0.024519790
900,905,6,2.049373631,0.756106564,-1.293267067,0.164845469,0.227682556,0.062837087,2.049368135,0.756090541,6.405937775,7.925523694,1.519585919
