match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.389672888,0.081859618,-0.307813270,0.082957801,0.072728652,-0.010229149
1,0.389797048,0.080022189,-0.309774858,0.082881061,0.072811666,-0.010069395
2,0.388701897,0.078124683,-0.310577214,0.083970545,0.074779173,-0.009191372
3,0.388457149,0.074394302,-0.314062847,0.086072164,0.075557934,-0.010514230
4,0.388325357,0.073616082,-0.314709276,0.087327729,0.076877758,-0.010449971
5,0.385889595,0.070629985,-0.315259610,0.088641697,0.073608361,-0.015033336
6,0.386958016,0.072740656,-0.314217360,0.090831674,0.078203828,-0.012627845
7,0.388671406,0.073250906,-0.315420500,0.092419216,0.077159520,-0.015259697
8,0.388940720,0.079810679,-0.309130041,0.094463195,0.079523340,-0.014939855
9,0.395110737,0.072820295,-0.322290443,0.095899995,0.082786552,-0.013113442
10,0.395125433,0.090563192,-0.304562241,0.098123954,0.081244539,-0.016879415
11,0.398645359,0.084220654,-0.314424705,0.100182030,0.082463226,-0.017718804
12,0.401396679,0.081086224,-0.320310454,0.101540502,0.084037048,-0.017503454
13,0.406318324,0.081189731,-0.325128593,0.103142477,0.085741660,-0.017400817
14,0.410931019,0.082811481,-0.328119538,0.105557808,0.091031719,-0.014526089
15,0.403109662,0.090988163,-0.312121498,0.107103450,0.094940516,-0.012162935
16,0.400466466,0.088982628,-0.311483838,0.110560171,0.095881699,-0.014678472
17,0.404968873,0.088485268,-0.316483604,0.112977904,0.097726022,-0.015251881
18,0.404989368,0.083582409,-0.321406959,0.115780185,0.100706155,-0.015074030
19,0.408267450,0.083596968,-0.324670482,0.119994371,0.104533593,-0.015460778
20,0.408742641,0.092500449,-0.316242192,0.122558953,0.109333363,-0.013225590
21,0.407560809,0.095258844,-0.312301966,0.128145889,0.114234231,-0.013911658
22,0.397199937,0.097513077,-0.299686860,0.134886197,0.119038577,-0.015847620
23,0.389700886,0.090553763,-0.299147123,0.139217841,0.118440535,-0.020777306
24,0.385701885,0.096230260,-0.289471625,0.146685962,0.127218143,-0.019467819
25,0.382883707,0.098979158,-0.283904550,0.154405374,0.133649405,-0.020755969
26,0.377572941,0.101465002,-0.276107939,0.162010506,0.138610357,-0.023400149
27,0.371594279,0.110839737,-0.260754542,0.169087887,0.147616039,-0.021471848
28,0.368925533,0.113832205,-0.255093328,0.177982780,0.154940922,-0.023041858
29,0.361974508,0.117635333,-0.244339175,0.184253933,0.159998526,-0.024255407
30,0.357678654,0.129214875,-0.228463779,0.191480077,0.167869642,-0.023610435
31,0.342733413,0.133154680,-0.209578733,0.200106064,0.173145474,-0.026960591
32,0.325494913,0.129589236,-0.195905676,0.206028071,0.173382400,-0.032645672
33,0.318368389,0.141744668,-0.176623721,0.212234551,0.179468257,-0.032766295
34,0.297302620,0.133408732,-0.163893888,0.219188494,0.180991409,-0.038197085
35,0.277810975,0.145824338,-0.131986637,0.227077744,0.192989020,-0.034088724
36,0.272051235,0.159730111,-0.112321124,0.232305454,0.197389098,-0.034916356
37,0.263047585,0.156417391,-0.106630194,0.239756212,0.201161672,-0.038594540
38,0.253957738,0.155392792,-0.098564946,0.245558967,0.206088605,-0.039470362
39,0.242652393,0.150086025,-0.092566368,0.251132964,0.206880392,-0.044252572
40,0.232692481,0.148918864,-0.083773617,0.260074035,0.211809958,-0.048264077
41,0.219621884,0.150553397,-0.069068488,0.265337697,0.215424661,-0.049913036
42,0.226419312,0.162934643,-0.063484669,0.270175463,0.219773019,-0.050402444
43,0.218519960,0.152766901,-0.065753059,0.277943670,0.221011876,-0.056931794
44,0.214602757,0.139757259,-0.074845497,0.284150699,0.223087652,-0.061063047
45,0.209572286,0.141467263,-0.068105024,0.289440451,0.228455055,-0.060985396
46,0.208168811,0.174531507,-0.033637304,0.295893453,0.238548528,-0.057344925
47,0.205937405,0.166288057,-0.039649348,0.301566485,0.240673893,-0.060892592
48,0.207677201,0.149720332,-0.057956869,0.306700253,0.239423865,-0.067276387
49,0.211507276,0.144709745,-0.066797531,0.311579477,0.239920813,-0.071658664
50,0.217060008,0.150109405,-0.066950603,0.318309561,0.244484843,-0.073824718
51,0.221457571,0.153221378,-0.068236193,0.329954433,0.254471867,-0.075482566
52,0.223029978,0.151979797,-0.071050181,0.334453647,0.254482016,-0.079971631
53,0.228130402,0.147581431,-0.080548971,0.340487305,0.257267658,-0.083219647
54,0.224906642,0.156848162,-0.068058480,0.345468884,0.263833186,-0.081635698
55,0.233056487,0.146596926,-0.086459561,0.352912255,0.264632714,-0.088279541
56,0.237607604,0.154230541,-0.083377064,0.358994792,0.269974391,-0.089020401
57,0.236251187,0.157781503,-0.078469684,0.364907811,0.274272606,-0.090635205
58,0.215314584,0.175044029,-0.040270555,0.371110784,0.284655558,-0.086455226
59,0.238862245,0.169154219,-0.069708027,0.379752952,0.285742524,-0.094010428
60,0.263925125,0.147276016,-0.116649109,0.388188804,0.285658349,-0.102530455
61,0.262312361,0.160809928,-0.101502433,0.397346714,0.292890025,-0.104456689
62,0.277099188,0.161455173,-0.115644015,0.406418882,0.299014564,-0.107404318
63,0.284870131,0.158002499,-0.126867632,0.414708428,0.302259829,-0.112448599
64,0.299967564,0.166802407,-0.133165157,0.425632815,0.309670718,-0.115962097
65,0.314925034,0.167823617,-0.147101417,0.433770705,0.313019219,-0.120751486
66,0.318401820,0.163721014,-0.154680806,0.441318438,0.318486274,-0.122832164
67,0.332907966,0.164437740,-0.168470227,0.451698726,0.322485447,-0.129213279
68,0.341489877,0.161007047,-0.180482830,0.458756180,0.328366343,-0.130389837
69,0.340484701,0.178238100,-0.162246601,0.465281036,0.337150534,-0.128130502
70,0.351947264,0.179251556,-0.172695708,0.473896268,0.343558949,-0.130337319
71,0.379025555,0.171807238,-0.207218317,0.481350931,0.342821764,-0.138529167
72,0.370973548,0.186517249,-0.184456299,0.485373626,0.350088619,-0.135285006
73,0.369303702,0.196142158,-0.173161544,0.489922810,0.357029783,-0.132893027
74,0.378921940,0.179002092,-0.199919848,0.493032501,0.353577797,-0.139454703
75,0.388734739,0.173908499,-0.214826240,0.495518809,0.352065080,-0.143453730
76,0.379236329,0.187183781,-0.192052549,0.495651456,0.358862715,-0.136788741
77,0.373950921,0.193471466,-0.180479455,0.493888528,0.360074378,-0.133814149
78,0.383313436,0.175139618,-0.208173817,0.492170464,0.352277531,-0.139892933
79,0.381811706,0.170263662,-0.211548044,0.487166585,0.347913233,-0.139253352
80,0.361927005,0.182074797,-0.179852208,0.480449910,0.348880827,-0.131569083
81,0.345092363,0.182487774,-0.162604589,0.470298305,0.342767568,-0.127530738
82,0.339254874,0.179891154,-0.159363720,0.462168479,0.337020169,-0.125148310
83,0.323443958,0.176770647,-0.146673311,0.452590883,0.331090622,-0.121500261
84,0.306663657,0.175813478,-0.130850178,0.438396624,0.321855973,-0.116540650
85,0.296812675,0.176540415,-0.120272260,0.427722977,0.315668096,-0.112054881
86,0.290760915,0.166591821,-0.124169094,0.417387019,0.307330337,-0.110056682
87,0.274216935,0.160229282,-0.113987653,0.402191286,0.296153201,-0.106038084
88,0.251849727,0.170781635,-0.081068092,0.389713072,0.292590339,-0.097122733
89,0.238144405,0.175241887,-0.062902518,0.373919069,0.283727084,-0.090191985
90,0.232753190,0.165200621,-0.067552569,0.362572024,0.274702592,-0.087869432
91,0.218304227,0.168989623,-0.049314604,0.349983583,0.269366307,-0.080617277
92,0.208950806,0.166680355,-0.042270451,0.333942847,0.257876463,-0.076066385
93,0.202105058,0.158535559,-0.043569499,0.322221839,0.249349438,-0.072872401
94,0.195672949,0.161506196,-0.034166753,0.308242909,0.242948838,-0.065294071
95,0.190757964,0.164676664,-0.026081300,0.291877246,0.234181009,-0.057696237
96,0.198945835,0.149702140,-0.049243696,0.285372941,0.226316094,-0.059056847
97,0.194466810,0.148819967,-0.045646844,0.269725298,0.217463088,-0.052262210
98,0.193929980,0.150633075,-0.043296905,0.255328849,0.209731601,-0.045597247
99,0.197061514,0.149423838,-0.047637677,0.245254534,0.203826430,-0.041428104
100,0.200395060,0.146321388,-0.054073672,0.235887206,0.197508024,-0.038379183
101,0.204183133,0.141088898,-0.063094235,0.222544135,0.188063883,-0.034480253
102,0.211737594,0.131487019,-0.080250575,0.212734773,0.179873478,-0.032861295
103,0.220352713,0.125193891,-0.095158822,0.202225331,0.172736978,-0.029488352
104,0.231013341,0.111381903,-0.119631438,0.188814741,0.161092269,-0.027722473
105,0.243939533,0.100132804,-0.143806729,0.178281981,0.152992296,-0.025289685
106,0.261058518,0.078717532,-0.182340986,0.155254215,0.132899603,-0.022354612
107,0.272453241,0.059905822,-0.212547420,0.146268468,0.120784009,-0.025484458
108,0.284935658,0.043268996,-0.241666662,0.133646000,0.109231972,-0.024414028
109,0.297400742,0.032316596,-0.265084146,0.124064791,0.101286655,-0.022778137
110,0.313849138,0.023033029,-0.290816108,0.113676861,0.094639549,-0.019037312
111,0.335124319,0.012892586,-0.322231732,0.103460832,0.085943587,-0.017517245
112,0.359684864,0.019553482,-0.340131382,0.088833436,0.076150289,-0.012683147
113,0.384607602,0.037189632,-0.347417969,0.077271124,0.073271140,-0.003999984
114,0.419097272,0.056144485,-0.362952787,0.065124054,0.068629267,0.003505213
115,0.450559786,0.069258855,-0.381300931,0.049660030,0.059202948,0.009542918
116,0.474888307,0.041906049,-0.432982258,0.039653790,0.052820717,0.013166927
117,0.501246441,0.101927612,-0.399318829,0.031029124,0.036041568,0.005012445
118,0.541117874,0.111012688,-0.430105185,0.027896644,0.035148264,0.007251620
119,0.571418435,0.127828999,-0.443589436,0.030902329,0.032003869,0.001101539
120,0.591910249,0.143146334,-0.448763916,0.039400224,0.022982146,-0.016418078
121,0.627745948,0.136800636,-0.490945312,0.047237795,0.012327929,-0.034909866
122,0.666168492,0.160763277,-0.505405215,0.056447983,0.014129196,-0.042318787
123,0.705724657,0.132142046,-0.573582610,0.069447580,0.019427606,-0.050019974
124,0.740766209,0.145594920,-0.595171289,0.078750675,0.014591030,-0.064159645
125,0.778052360,0.154242128,-0.623810232,0.090977313,0.016137204,-0.074840109
126,0.818113162,0.154682885,-0.663430277,0.100531493,0.022998915,-0.077532578
127,0.851076119,0.153814785,-0.697261334,0.109229191,0.030071452,-0.079157739
128,0.885077881,0.157045998,-0.728031883,0.121449890,0.037083273,-0.084366617
129,0.935037677,0.182826397,-0.752211280,0.131275287,0.035851016,-0.095424271
130,0.958187309,0.204313599,-0.753873710,0.139993851,0.040419765,-0.099574086
131,0.989469844,0.201795939,-0.787673905,0.151361265,0.048788065,-0.102573200
