match_start,match_end,count,baseline_se3_rmse_m,probe_se3_rmse_m,se3_rmse_delta_probe_minus_baseline_m,baseline_sim3_rmse_m,probe_sim3_rmse_m,sim3_rmse_delta_probe_minus_baseline_m,baseline_se3_mean_m,probe_se3_mean_m,baseline_path_ratio,probe_path_ratio,path_ratio_delta_probe_minus_baseline
0,49,50,0.110498930,0.116391043,0.005892113,0.156059885,0.154691857,-0.001368027,0.108239491,0.111875895,1.967221085,2.169631620,0.202410535
50,99,50,0.151533889,0.167172614,0.015638725,0.303404867,0.300050649,-0.003354217,0.151203474,0.166707984,1.559637246,1.643085895,0.083448649
100,149,50,0.305769465,0.204886836,-0.100882629,0.089357939,0.091198693,0.001840754,0.257622573,0.175589138,2.746305363,2.355408305,-0.390897058
150,199,50,0.612466043,0.511947420,-0.100518623,0.104530339,0.110503813,0.005973474,0.611240401,0.509924066,4.187060115,5.112118217,0.925058102
200,249,50,0.327870330,0.256077134,-0.071793196,0.054519745,0.045671567,-0.008848178,0.251389379,0.188519919,6.749183347,5.226973778,-1.522209569
250,299,50,0.091971151,0.073502384,-0.018468767,0.043051854,0.052345490,0.009293636,0.085443307,0.069290745,9.803019993,8.898212373,-0.904807620
300,349,50,0.115730635,0.073139347,-0.042591288,0.095182946,0.084060828,-0.011122117,0.085211067,0.067543113,35.571373397,21.444521699,-14.126851698
350,399,50,0.047076013,0.032526972,-0.014549041,0.068646467,0.058622585,-0.010023882,0.046666023,0.030899851,11.050098358,11.493541906,0.443443548
400,449,50,0.046049156,0.029382386,-0.016666770,0.054582079,0.048086843,-0.006495236,0.045638325,0.028363710,12.052178805,10.818574270,-1.233604535
450,499,50,0.058372446,0.044619407,-0.013753039,0.064539015,0.059455804,-0.005083212,0.057701837,0.042573933,10.958962116,11.102405506,0.143443390
500,549,50,0.064500797,0.058168998,-0.006331800,0.052450106,0.047546487,-0.004903619,0.064301702,0.057453205,6.574678568,8.504386316,1.929707747
550,599,50,0.112113513,0.098092892,-0.014020621,0.069549008,0.075702427,0.006153420,0.107295646,0.095984883,7.895173526,4.487111652,-3.408061873
600,649,50,0.075811467,0.082671365,0.006859898,0.054357792,0.053169221,-0.001188571,0.073826362,0.080645536,11.282786891,15.280554424,3.997767534
650,699,50,0.086107890,0.078456454,-0.007651437,0.084325923,0.077111240,-0.007214683,0.082254639,0.070350787,8.224517506,7.839492796,-0.385024709
700,749,50,0.072900132,0.093010128,0.020109996,0.109856946,0.104173253,-0.005683693,0.071276191,0.091175874,6.662825282,9.486373519,2.823548237
750,799,50,0.072549331,0.095644341,0.023095010,0.076735787,0.070896916,-0.005838871,0.072364725,0.095524231,6.395975243,6.169078612,-0.226896631
800,849,50,0.435624955,0.394735626,-0.040889329,0.184058312,0.175620393,-0.008437919,0.368218343,0.333699636,4.225706567,4.263415182,0.037708616
850,899,50,0.736322178,0.728070431,-0.008251748,0.213839241,0.221618761,0.007779520,0.736220617,0.727711254,3.804407693,3.699910381,-0.104497312
900,905,6,0.746208973,0.756106564,0.009897592,0.213942394,0.227682556,0.013740162,0.746200094,0.756090541,6.687999469,7.925523694,1.237524225
