match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
0,0.090157853,0.081859618,-0.008298235,0.080538535,0.072728652,-0.007809883
1,0.093411681,0.080022189,-0.013389491,0.081737821,0.072811666,-0.008926155
2,0.091641600,0.078124683,-0.013516918,0.081175223,0.074779173,-0.006396050
3,0.088030221,0.074394302,-0.013635919,0.080877935,0.075557934,-0.005320001
4,0.087885333,0.073616082,-0.014269252,0.081344427,0.076877758,-0.004466669
5,0.087564219,0.070629985,-0.016934234,0.083357819,0.073608361,-0.009749458
6,0.083433585,0.072740656,-0.010692929,0.084308776,0.078203828,-0.006104948
7,0.080405408,0.073250906,-0.007154502,0.084887395,0.077159520,-0.007727875
8,0.081994698,0.079810679,-0.002184019,0.088267579,0.079523340,-0.008744239
9,0.080691199,0.072820295,-0.007870904,0.090320233,0.082786552,-0.007533681
10,0.079259968,0.090563192,0.011303224,0.090920580,0.081244539,-0.009676041
11,0.075372427,0.084220654,0.008848227,0.092972832,0.082463226,-0.010509606
12,0.080982927,0.081086224,0.000103298,0.095774606,0.084037048,-0.011737558
13,0.077843076,0.081189731,0.003346654,0.097039726,0.085741660,-0.011298066
14,0.081845818,0.082811481,0.000965664,0.100189822,0.091031719,-0.009158103
15,0.102181729,0.090988163,-0.011193565,0.102600957,0.094940516,-0.007660442
16,0.098012001,0.088982628,-0.009029373,0.103497800,0.095881699,-0.007616101
17,0.093752483,0.088485268,-0.005267214,0.103511497,0.097726022,-0.005785475
18,0.094505889,0.083582409,-0.010923480,0.106371566,0.100706155,-0.005665412
19,0.098046527,0.083596968,-0.014449559,0.112075767,0.104533593,-0.007542174
20,0.100398501,0.092500449,-0.007898053,0.114899013,0.109333363,-0.005565651
21,0.100042050,0.095258844,-0.004783207,0.119118281,0.114234231,-0.004884050
22,0.098885005,0.097513077,-0.001371928,0.122951248,0.119038577,-0.003912671
23,0.091609266,0.090553763,-0.001055503,0.123532288,0.118440535,-0.005091753
24,0.096267562,0.096230260,-0.000037303,0.130524747,0.127218143,-0.003306605
25,0.098849721,0.098979158,0.000129437,0.136515924,0.133649405,-0.002866519
26,0.096168934,0.101465002,0.005296068,0.141728809,0.138610357,-0.003118452
27,0.099727263,0.110839737,0.011112473,0.147347422,0.147616039,0.000268617
28,0.108930961,0.113832205,0.004901244,0.156708509,0.154940922,-0.001767587
29,0.114170707,0.117635333,0.003464626,0.162265740,0.159998526,-0.002267214
30,0.126072034,0.129214875,0.003142841,0.169861473,0.167869642,-0.001991831
31,0.129912677,0.133154680,0.003242002,0.176322279,0.173145474,-0.003176805
32,0.132547483,0.129589236,-0.002958247,0.178950036,0.173382400,-0.005567636
33,0.134187953,0.141744668,0.007556715,0.181323856,0.179468257,-0.001855599
34,0.119756346,0.133408732,0.013652385,0.179286980,0.180991409,0.001704429
35,0.127696822,0.145824338,0.018127516,0.185855510,0.192989020,0.007133510
36,0.144641330,0.159730111,0.015088781,0.194249956,0.197389098,0.003139142
37,0.140023757,0.156417391,0.016393635,0.196920273,0.201161672,0.004241399
38,0.134148719,0.155392792,0.021244073,0.201485751,0.206088605,0.004602853
39,0.134464942,0.150086025,0.015621083,0.207311207,0.206880392,-0.000430814
40,0.126898858,0.148918864,0.022020006,0.209135558,0.211809958,0.002674401
41,0.131121706,0.150553397,0.019431691,0.214373323,0.215424661,0.001051337
42,0.146252593,0.162934643,0.016682050,0.220285181,0.219773019,-0.000512162
43,0.134763391,0.152766901,0.018003511,0.222070923,0.221011876,-0.001059047
44,0.112441723,0.139757259,0.027315536,0.213942989,0.223087652,0.009144663
45,0.120005937,0.141467263,0.021461325,0.220871664,0.228455055,0.007583391
46,0.144102780,0.174531507,0.030428727,0.230096496,0.238548528,0.008452032
47,0.148095483,0.166288057,0.018192574,0.238865786,0.240673893,0.001808106
48,0.137558498,0.149720332,0.012161835,0.240395924,0.239423865,-0.000972059
49,0.135212891,0.144709745,0.009496854,0.242107626,0.239920813,-0.002186813
50,0.136933580,0.150109405,0.013175825,0.246190439,0.244484843,-0.001705596
51,0.142279670,0.153221378,0.010941708,0.256815737,0.254471867,-0.002343871
52,0.139847037,0.151979797,0.012132760,0.256238681,0.254482016,-0.001756665
53,0.134131662,0.147581431,0.013449769,0.260917781,0.257267658,-0.003650123
54,0.140855247,0.156848162,0.015992915,0.266771073,0.263833186,-0.002937887
55,0.137377537,0.146596926,0.009219389,0.269021937,0.264632714,-0.004389223
56,0.138601702,0.154230541,0.015628839,0.273725261,0.269974391,-0.003750870
57,0.147377775,0.157781503,0.010403728,0.280205917,0.274272606,-0.005933312
58,0.167958037,0.175044029,0.007085991,0.289359514,0.284655558,-0.004703956
59,0.159163460,0.169154219,0.009990759,0.290051471,0.285742524,-0.004308947
60,0.130108979,0.147276016,0.017167037,0.287259932,0.285658349,-0.001601583
61,0.152103905,0.160809928,0.008706023,0.297623802,0.292890025,-0.004733776
62,0.148105496,0.161455173,0.013349678,0.302696165,0.299014564,-0.003681601
63,0.142156590,0.158002499,0.015845909,0.307336716,0.302259829,-0.005076887
64,0.150027005,0.166802407,0.016775403,0.315440143,0.309670718,-0.005769425
65,0.150366881,0.167823617,0.017456736,0.319540568,0.313019219,-0.006521349
66,0.148121636,0.163721014,0.015599378,0.323864417,0.318486274,-0.005378143
67,0.147364508,0.164437740,0.017073232,0.331464441,0.322485447,-0.008978994
68,0.148165800,0.161007047,0.012841247,0.335367827,0.328366343,-0.007001485
69,0.158142140,0.178238100,0.020095960,0.342599548,0.337150534,-0.005449014
70,0.159455234,0.179251556,0.019796322,0.348660144,0.343558949,-0.005101195
71,0.148300133,0.171807238,0.023507104,0.349772682,0.342821764,-0.006950918
72,0.158852574,0.186517249,0.027664675,0.353716368,0.350088619,-0.003627748
73,0.167240286,0.196142158,0.028901872,0.360563564,0.357029783,-0.003533781
74,0.161331258,0.179002092,0.017670834,0.359674535,0.353577797,-0.006096738
75,0.154903319,0.173908499,0.019005180,0.359188228,0.352065080,-0.007123149
76,0.169863047,0.187183781,0.017320734,0.364386553,0.358862715,-0.005523838
77,0.174427690,0.193471466,0.019043777,0.364011859,0.360074378,-0.003937481
78,0.160501687,0.175139618,0.014637931,0.359045903,0.352277531,-0.006768372
79,0.148789441,0.170263662,0.021474221,0.352437192,0.347913233,-0.004523959
80,0.162332234,0.182074797,0.019742563,0.352304474,0.348880827,-0.003423647
81,0.166262084,0.182487774,0.016225690,0.348014647,0.342767568,-0.005247079
82,0.159051925,0.179891154,0.020839229,0.339669700,0.337020169,-0.002649531
83,0.159750563,0.176770647,0.017020084,0.334655433,0.331090622,-0.003564812
84,0.155983786,0.175813478,0.019829693,0.324056021,0.321855973,-0.002200047
85,0.156398818,0.176540415,0.020141597,0.317301349,0.315668096,-0.001633253
86,0.148627656,0.166591821,0.017964165,0.309174652,0.307330337,-0.001844315
87,0.147398094,0.160229282,0.012831188,0.299164926,0.296153201,-0.003011725
88,0.157995832,0.170781635,0.012785803,0.294661049,0.292590339,-0.002070710
89,0.161131686,0.175241887,0.014110200,0.283735150,0.283727084,-0.000008066
90,0.151025956,0.165200621,0.014174665,0.274786166,0.274702592,-0.000083574
91,0.153176301,0.168989623,0.015813322,0.267872241,0.269366307,0.001494065
92,0.154829446,0.166680355,0.011850909,0.257164643,0.257876463,0.000711820
93,0.148184505,0.158535559,0.010351054,0.248769348,0.249349438,0.000580090
94,0.149775995,0.161506196,0.011730201,0.242524050,0.242948838,0.000424788
95,0.150966107,0.164676664,0.013710557,0.232375882,0.234181009,0.001805128
96,0.136361987,0.149702140,0.013340153,0.224418948,0.226316094,0.001897146
97,0.138219819,0.148819967,0.010600148,0.214839737,0.217463088,0.002623351
98,0.140289056,0.150633075,0.010344019,0.206877540,0.209731601,0.002854061
99,0.139558545,0.149423838,0.009865293,0.200617454,0.203826430,0.003208977
100,0.136046167,0.146321388,0.010275221,0.195244138,0.197508024,0.002263886
101,0.132034577,0.141088898,0.009054320,0.185742784,0.188063883,0.002321099
102,0.124095642,0.131487019,0.007391377,0.177802869,0.179873478,0.002070609
103,0.116633166,0.125193891,0.008560725,0.170245452,0.172736978,0.002491526
104,0.107118755,0.111381903,0.004263148,0.159649895,0.161092269,0.001442374
105,0.098083628,0.100132804,0.002049177,0.152329867,0.152992296,0.000662429
