case,method,dataset_id,n,protocol_valid_all,matched_poses_mean,matched_poses_std,matched_poses_min,matched_poses_max,coverage_mean,coverage_std,coverage_min,coverage_max,ate_se3_rmse_m_mean,ate_se3_rmse_m_std,ate_se3_rmse_m_min,ate_se3_rmse_m_max,ate_sim3_rmse_m_mean,ate_sim3_rmse_m_std,ate_sim3_rmse_m_min,ate_sim3_rmse_m_max,sim3_scale_mean,sim3_scale_std,sim3_scale_min,sim3_scale_max,rpet_rmse_m_mean,rpet_rmse_m_std,rpet_rmse_m_min,rpet_rmse_m_max,rper_rmse_deg_mean,rper_rmse_deg_std,rper_rmse_deg_min,rper_rmse_deg_max,estimated_poses_mean,estimated_poses_std,estimated_poses_min,estimated_poses_max,ckf_direct_vetoed_candidates_mean,ckf_direct_vetoed_candidates_std,ckf_direct_vetoed_candidates_min,ckf_direct_vetoed_candidates_max,ckf_accepted_depth_candidates_mean,ckf_accepted_depth_candidates_std,ckf_accepted_depth_candidates_min,ckf_accepted_depth_candidates_max,ckf_boundary_skipped_new_candidates_mean,ckf_boundary_skipped_new_candidates_std,ckf_boundary_skipped_new_candidates_min,ckf_boundary_skipped_new_candidates_max,ckf_delayed_rejected_new_candidates_mean,ckf_delayed_rejected_new_candidates_std,ckf_delayed_rejected_new_candidates_min,ckf_delayed_rejected_new_candidates_max,ckf_support_promoted_new_candidates_mean,ckf_support_promoted_new_candidates_std,ckf_support_promoted_new_candidates_min,ckf_support_promoted_new_candidates_max,ckf_matched_skipped_nonboundary_new_candidates_mean,ckf_matched_skipped_nonboundary_new_candidates_std,ckf_matched_skipped_nonboundary_new_candidates_min,ckf_matched_skipped_nonboundary_new_candidates_max,ckf_matched_exact_skipped_new_candidates_mean,ckf_matched_exact_skipped_new_candidates_std,ckf_matched_exact_skipped_new_candidates_min,ckf_matched_exact_skipped_new_candidates_max,ckf_matched_fallback_skipped_new_candidates_mean,ckf_matched_fallback_skipped_new_candidates_std,ckf_matched_fallback_skipped_new_candidates_min,ckf_matched_fallback_skipped_new_candidates_max,lm_skipped_instance_pairs_mean,lm_skipped_instance_pairs_std,lm_skipped_instance_pairs_min,lm_skipped_instance_pairs_max,lm_skipped_boundary_pairs_mean,lm_skipped_boundary_pairs_std,lm_skipped_boundary_pairs_min,lm_skipped_boundary_pairs_max,lm_delayed_rejected_boundary_pairs_mean,lm_delayed_rejected_boundary_pairs_std,lm_delayed_rejected_boundary_pairs_min,lm_delayed_rejected_boundary_pairs_max,lm_support_promoted_boundary_pairs_mean,lm_support_promoted_boundary_pairs_std,lm_support_promoted_boundary_pairs_min,lm_support_promoted_boundary_pairs_max,lm_matched_skipped_nonboundary_pairs_mean,lm_matched_skipped_nonboundary_pairs_std,lm_matched_skipped_nonboundary_pairs_min,lm_matched_skipped_nonboundary_pairs_max,lm_matched_exact_skipped_pairs_mean,lm_matched_exact_skipped_pairs_std,lm_matched_exact_skipped_pairs_min,lm_matched_exact_skipped_pairs_max,lm_matched_fallback_skipped_pairs_mean,lm_matched_fallback_skipped_pairs_std,lm_matched_fallback_skipped_pairs_min,lm_matched_fallback_skipped_pairs_max,camera_sha16_unique,final_keyframes_mean,final_keyframes_std,final_keyframes_min,final_keyframes_max,final_mappoints_mean,final_mappoints_std,final_mappoints_min,final_mappoints_max,estimated_accum_path_m_mean,estimated_accum_path_m_std,estimated_accum_path_m_min,estimated_accum_path_m_max
D_filtered_rgb_depth_plus_precision_mainline,d2ma_b_r5_precision_mainline,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.23443595569093195,0.0,0.23443595569093195,0.23443595569093195,0.12283855222262642,0.0,0.12283855222262642,0.12283855222262642,0.40327317468560214,0.0,0.40327317468560214,0.40327317468560214,0.022360830205623204,0.0,0.022360830205623204,0.022360830205623204,0.5433977210191525,0.0,0.5433977210191525,0.5433977210191525,909.0,0.0,909.0,909.0,38064.0,0.0,38064.0,38064.0,290054.0,0.0,290054.0,290054.0,10896.0,0.0,10896.0,10896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2058.0,0.0,2058.0,2058.0,843.0,0.0,843.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2fbe9e4759715839,,,,,,,,,,,,
D_filtered_rgb_depth_plus_score_v4_precision,d2ma_score_lm_only_v4_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.2262536059649705,0.0,0.2262536059649705,0.2262536059649705,0.11936195730323616,0.0,0.11936195730323616,0.11936195730323616,0.4179696569556297,0.0,0.4179696569556297,0.4179696569556297,0.021959191166260664,0.0,0.021959191166260664,0.021959191166260664,0.5410796345836714,0.0,0.5410796345836714,0.5410796345836714,909.0,0.0,909.0,909.0,36596.0,0.0,36596.0,36596.0,271394.0,0.0,271394.0,271394.0,10972.0,0.0,10972.0,10972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484.0,0.0,2484.0,2484.0,861.0,0.0,861.0,861.0,861.0,0.0,861.0,861.0,89.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902deec7d8bf58c,,,,,,,,,,,,
D_filtered_rgb_depth_plus_static_pose_residual_gate,d2ma_b_r5_static_pose_refine_residual_gate,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.22811414612403194,0.0,0.22811414612403194,0.22811414612403194,0.12290357418548765,0.0,0.12290357418548765,0.12290357418548765,0.4124168097220915,0.0,0.4124168097220915,0.4124168097220915,0.02275964388103558,0.0,0.02275964388103558,0.02275964388103558,0.5349408261884425,0.0,0.5349408261884425,0.5349408261884425,909.0,0.0,909.0,909.0,38240.0,0.0,38240.0,38240.0,292139.0,0.0,292139.0,292139.0,10959.0,0.0,10959.0,10959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2572.0,0.0,2572.0,2572.0,922.0,0.0,922.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a28ce94aa7d7dfe5,335.0,0.0,335.0,335.0,6446.0,0.0,6446.0,6446.0,14.888366,0.0,14.888366,14.888366
D_filtered_rgb_depth_plus_supportq_precision,d2ma_supportq_lm_only_b_r5_s18_m2_o2_q2_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.23452073738139748,0.0,0.23452073738139748,0.23452073738139748,0.11766898119531395,0.0,0.11766898119531395,0.11766898119531395,0.40741589784968,0.0,0.40741589784968,0.40741589784968,0.02542146215190039,0.0,0.02542146215190039,0.02542146215190039,0.5817845999108784,0.0,0.5817845999108784,0.5817845999108784,909.0,0.0,909.0,909.0,37908.0,0.0,37908.0,37908.0,279995.0,0.0,279995.0,279995.0,11143.0,0.0,11143.0,11143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439.0,0.0,2439.0,2439.0,805.0,0.0,805.0,805.0,805.0,0.0,805.0,805.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f583ec25b2819bb1,,,,,,,,,,,,
D_filtered_rgb_depth_plus_v8,d2ma_lifecycle_v8_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.21867267123236722,0.0,0.21867267123236722,0.21867267123236722,0.11889534950189158,0.0,0.11889534950189158,0.11889534950189158,0.42996666202910544,0.0,0.42996666202910544,0.42996666202910544,0.022960494552051097,0.0,0.022960494552051097,0.022960494552051097,0.5630228799143074,0.0,0.5630228799143074,0.5630228799143074,909.0,0.0,909.0,909.0,38024.0,0.0,38024.0,38024.0,282078.0,0.0,282078.0,282078.0,11202.0,0.0,11202.0,11202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.0,0.0,2246.0,2246.0,810.0,0.0,810.0,810.0,810.0,0.0,810.0,810.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08a3b76b68975fc1,,,,,,,,,,,,
D_filtered_rgb_depth_plus_v9,d2ma_lifecycle_v9_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,2,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.21011722997089602,0.0,0.21011722997089602,0.21011722997089602,0.11558666936067243,0.0,0.11558666936067243,0.11558666936067243,0.44590127816741326,0.0,0.44590127816741326,0.44590127816741326,0.022965343089729324,0.0,0.022965343089729324,0.022965343089729324,0.5362654120553603,0.0,0.5362654120553603,0.5362654120553603,909.0,0.0,909.0,909.0,37819.0,0.0,37819.0,37819.0,277975.0,0.0,277975.0,277975.0,10931.0,0.0,10931.0,10931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,0.0,2103.0,2103.0,813.0,0.0,813.0,813.0,813.0,0.0,813.0,813.0,78.0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3c974d0c8de07d2f,,,,,,,,,,,,
D_filtered_rgb_depth_plus_v9_pose1,d2ma_lifecycle_v9_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,2,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.20482686964522398,0.0,0.20482686964522398,0.20482686964522398,0.11603301389390526,0.0,0.11603301389390526,0.11603301389390526,0.454860836631174,0.0,0.454860836631174,0.454860836631174,0.02250538723089163,0.0,0.02250538723089163,0.02250538723089163,0.5378270232534224,0.0,0.5378270232534224,0.5378270232534224,909.0,0.0,909.0,909.0,37831.0,0.0,37831.0,37831.0,275927.0,0.0,275927.0,275927.0,10882.0,0.0,10882.0,10882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.0,0.0,1937.0,1937.0,652.0,0.0,652.0,652.0,652.0,0.0,652.0,652.0,72.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e60767e068600174,,,,,,,,,,,,
D_filtered_rgb_depth_plus_v9_pose1_age1,d2ma_lifecycle_v9_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.20597573653763182,0.0,0.20597573653763182,0.20597573653763182,0.11525348139186645,0.0,0.11525348139186645,0.11525348139186645,0.45317680942959443,0.0,0.45317680942959443,0.45317680942959443,0.022653594976088248,0.0,0.022653594976088248,0.022653594976088248,0.5438543650990505,0.0,0.5438543650990505,0.5438543650990505,909.0,0.0,909.0,909.0,37631.0,0.0,37631.0,37631.0,286299.0,0.0,286299.0,286299.0,11144.0,0.0,11144.0,11144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086.0,0.0,2086.0,2086.0,669.0,0.0,669.0,669.0,669.0,0.0,669.0,669.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ac8a09239e494bab,,,,,,,,,,,,
D_filtered_rgb_depth_plus_v9_pose1_score090,d2ma_lifecycle_v9_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.20482686964522398,0.0,0.20482686964522398,0.20482686964522398,0.11603301389390526,0.0,0.11603301389390526,0.11603301389390526,0.454860836631174,0.0,0.454860836631174,0.454860836631174,0.02250538723089163,0.0,0.02250538723089163,0.02250538723089163,0.5378270232534224,0.0,0.5378270232534224,0.5378270232534224,909.0,0.0,909.0,909.0,37831.0,0.0,37831.0,37831.0,275927.0,0.0,275927.0,275927.0,10882.0,0.0,10882.0,10882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.0,0.0,1937.0,1937.0,652.0,0.0,652.0,652.0,652.0,0.0,652.0,652.0,72.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e60767e068600174,,,,,,,,,,,,
D_filtered_rgb_depth_plus_v9_pose3,d2ma_lifecycle_v9_precision,ablation_ei_D_filtered_rgb_filtered_depth_wrpy,1,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.2184887289485967,0.0,0.2184887289485967,0.2184887289485967,0.11930157128247487,0.0,0.11930157128247487,0.11930157128247487,0.4299926369667952,0.0,0.4299926369667952,0.4299926369667952,0.020930062491835703,0.0,0.020930062491835703,0.020930062491835703,0.518752144670651,0.0,0.518752144670651,0.518752144670651,909.0,0.0,909.0,909.0,37815.0,0.0,37815.0,37815.0,277008.0,0.0,277008.0,277008.0,11052.0,0.0,11052.0,11052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,0.0,1970.0,1970.0,751.0,0.0,751.0,751.0,751.0,0.0,751.0,751.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b70e007289b08ce6,,,,,,,,,,,,
