match_start,match_end,frame_start,frame_end,count,mainline_se3_rmse_m,mainline_sim3_rmse_m,mainline_path_ratio,mainline_keyframes,v8_se3_rmse_m,v8_sim3_rmse_m,v8_path_ratio,v8_keyframes,v9_se3_rmse_m,v9_sim3_rmse_m,v9_path_ratio,v9_keyframes,v8_minus_mainline_se3_rmse_m,v8_minus_mainline_sim3_rmse_m,v9_minus_mainline_se3_rmse_m,v9_minus_mainline_sim3_rmse_m,v9_minus_v8_se3_rmse_m,v9_minus_v8_sim3_rmse_m,mainline_ckf_direct_vetoed_candidates,mainline_ckf_accepted_depth_candidates,mainline_ckf_boundary_skipped_new_candidates,mainline_ckf_boundary_existing_supported_candidates,mainline_lm_skipped_boundary_pairs,mainline_lm_delayed_rejected_boundary_pairs,mainline_lm_quality_rejected_boundary_pairs,mainline_lm_support_promoted_boundary_pairs,mainline_lm_score_support_candidates,mainline_lm_score_support_accepted,mainline_lm_score_support_rejected,mainline_lm_score_geom_evaluated,mainline_lm_score_post_geom_rejected,mainline_lm_score_created,mainline_v9_lba_delay_windows,mainline_v9_delayed_mp_sum,mainline_v9_delayed_mp_max,mainline_v9_delayed_mp_mean,mainline_v9_optimizer_edges_mean,v8_ckf_direct_vetoed_candidates,v8_ckf_accepted_depth_candidates,v8_ckf_boundary_skipped_new_candidates,v8_ckf_boundary_existing_supported_candidates,v8_lm_skipped_boundary_pairs,v8_lm_delayed_rejected_boundary_pairs,v8_lm_quality_rejected_boundary_pairs,v8_lm_support_promoted_boundary_pairs,v8_lm_score_support_candidates,v8_lm_score_support_accepted,v8_lm_score_support_rejected,v8_lm_score_geom_evaluated,v8_lm_score_post_geom_rejected,v8_lm_score_created,v8_v9_lba_delay_windows,v8_v9_delayed_mp_sum,v8_v9_delayed_mp_max,v8_v9_delayed_mp_mean,v8_v9_optimizer_edges_mean,v9_ckf_direct_vetoed_candidates,v9_ckf_accepted_depth_candidates,v9_ckf_boundary_skipped_new_candidates,v9_ckf_boundary_existing_supported_candidates,v9_lm_skipped_boundary_pairs,v9_lm_delayed_rejected_boundary_pairs,v9_lm_quality_rejected_boundary_pairs,v9_lm_support_promoted_boundary_pairs,v9_lm_score_support_candidates,v9_lm_score_support_accepted,v9_lm_score_support_rejected,v9_lm_score_geom_evaluated,v9_lm_score_post_geom_rejected,v9_lm_score_created,v9_v9_lba_delay_windows,v9_v9_delayed_mp_sum,v9_v9_delayed_mp_max,v9_v9_delayed_mp_mean,v9_v9_optimizer_edges_mean
0,49,3,52,50,0.110498930,0.156059885,1.967221085,21,0.116391043,0.154691857,2.169631620,12,0.088505866,0.135209953,2.611723901,13,0.005892113,-0.001368028,-0.021993064,-0.020849932,-0.027885177,-0.019481904,9165.000000000,17158.000000000,686.000000000,637.000000000,31.000000000,31.000000000,31.000000000,1.000000000,32.000000000,1.000000000,31.000000000,1.000000000,0.000000000,1.000000000,8.000000000,1.000000000,1.000000000,0.125000000,6071.375000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,3401.000000000,15012.000000000,799.000000000,560.000000000,50.000000000,50.000000000,50.000000000,9.000000000,59.000000000,9.000000000,50.000000000,3.000000000,0.000000000,3.000000000,6.000000000,2.000000000,2.000000000,0.333333333,4449.666666667
50,99,53,102,50,0.151533889,0.303404867,1.559637246,15,0.167172614,0.300050649,1.643085895,22,0.138307574,0.264008878,1.861936840,18,0.015638725,-0.003354218,-0.013226315,-0.039395989,-0.028865040,-0.036041771,8432.000000000,13789.000000000,348.000000000,353.000000000,50.000000000,50.000000000,50.000000000,11.000000000,61.000000000,11.000000000,50.000000000,7.000000000,1.000000000,6.000000000,6.000000000,3.000000000,3.000000000,0.500000000,11747.833333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,4046.000000000,21021.000000000,700.000000000,731.000000000,177.000000000,177.000000000,177.000000000,29.000000000,206.000000000,29.000000000,177.000000000,24.000000000,0.000000000,24.000000000,7.000000000,2.000000000,2.000000000,0.285714286,11278.857142857
100,149,103,152,50,0.305769465,0.089357939,2.746305363,31,0.204886836,0.091198693,2.355408305,22,0.123396062,0.088026327,2.242954885,21,-0.100882629,0.001840754,-0.182373403,-0.001331612,-0.081490774,-0.003172366,10041.000000000,20139.000000000,944.000000000,775.000000000,73.000000000,73.000000000,73.000000000,17.000000000,90.000000000,17.000000000,73.000000000,10.000000000,0.000000000,10.000000000,10.000000000,2.000000000,2.000000000,0.200000000,16942.600000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,3730.000000000,21886.000000000,1423.000000000,884.000000000,119.000000000,119.000000000,119.000000000,3.000000000,122.000000000,3.000000000,119.000000000,3.000000000,0.000000000,3.000000000,9.000000000,1.000000000,1.000000000,0.111111111,17731.444444444
150,199,153,202,50,0.612466043,0.104530339,4.187060115,43,0.511947420,0.110503813,5.112118217,39,0.320119990,0.120221580,4.197790986,40,-0.100518623,0.005973474,-0.292346053,0.015691241,-0.191827430,0.009717767,6148.000000000,9701.000000000,558.000000000,291.000000000,92.000000000,92.000000000,92.000000000,9.000000000,101.000000000,9.000000000,92.000000000,7.000000000,0.000000000,7.000000000,13.000000000,2.000000000,2.000000000,0.153846154,13699.769230769,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1308.000000000,9207.000000000,643.000000000,260.000000000,46.000000000,46.000000000,46.000000000,14.000000000,60.000000000,14.000000000,46.000000000,7.000000000,0.000000000,7.000000000,11.000000000,3.000000000,3.000000000,0.272727273,19456.636363636
200,249,203,252,50,0.327870330,0.054519745,6.749183347,18,0.256077134,0.045671567,5.226973778,19,0.151022156,0.037544676,4.644074668,18,-0.071793196,-0.008848178,-0.176848174,-0.016975069,-0.105054978,-0.008126891,4584.000000000,18283.000000000,605.000000000,398.000000000,75.000000000,75.000000000,75.000000000,6.000000000,81.000000000,6.000000000,75.000000000,6.000000000,0.000000000,6.000000000,10.000000000,5.000000000,5.000000000,0.500000000,26775.400000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1282.000000000,18020.000000000,737.000000000,384.000000000,30.000000000,30.000000000,30.000000000,9.000000000,39.000000000,9.000000000,30.000000000,2.000000000,0.000000000,2.000000000,9.000000000,1.000000000,1.000000000,0.111111111,28157.444444444
250,299,253,302,50,0.091971151,0.043051854,9.803019993,24,0.073502384,0.052345490,8.898212373,24,0.060810994,0.048961984,7.823880729,20,-0.018468767,0.009293636,-0.031160157,0.005910130,-0.012691390,-0.003383506,10666.000000000,23310.000000000,798.000000000,269.000000000,58.000000000,58.000000000,58.000000000,2.000000000,60.000000000,2.000000000,58.000000000,0.000000000,0.000000000,0.000000000,11.000000000,0.000000000,0.000000000,0.000000000,27449.181818182,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,3996.000000000,25113.000000000,1351.000000000,404.000000000,68.000000000,68.000000000,68.000000000,0.000000000,68.000000000,0.000000000,68.000000000,0.000000000,0.000000000,0.000000000,10.000000000,0.000000000,0.000000000,0.000000000,29804.800000000
300,349,303,352,50,0.115730635,0.095182946,35.571373397,2,0.073139347,0.084060828,21.444521699,1,0.058347245,0.080498135,20.656671283,2,-0.042591288,-0.011122118,-0.057383390,-0.014684811,-0.014792102,-0.003562693,0.000000000,11936.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,0.000000000,0.000000000,0.000000000,34933.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,0.000000000,9752.000000000,0.000000000,0.000000000,6.000000000,6.000000000,6.000000000,0.000000000,6.000000000,0.000000000,6.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,34897.666666667
350,399,353,402,50,0.047076013,0.068646467,11.050098358,0,0.032526972,0.058622585,11.493541906,0,0.041265472,0.055694934,10.998027162,0,-0.014549041,-0.010023882,-0.005810541,-0.012951533,0.008738500,-0.002927651,243.000000000,16062.000000000,8.000000000,9.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,0.000000000,36315.800000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,45.000000000,9777.000000000,5.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,36034.666666667
400,449,403,452,50,0.046049156,0.054582079,12.052178805,20,0.029382386,0.048086843,10.818574270,14,0.034247363,0.044037849,10.698527057,14,-0.016666770,-0.006495236,-0.011801793,-0.010544230,0.004864977,-0.004048994,4920.000000000,10043.000000000,410.000000000,194.000000000,3.000000000,3.000000000,3.000000000,0.000000000,3.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,9.000000000,0.000000000,0.000000000,0.000000000,28769.666666667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1766.000000000,10564.000000000,593.000000000,233.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,8.000000000,0.000000000,0.000000000,0.000000000,32986.875000000
450,499,453,502,50,0.058372446,0.064539015,10.958962116,3,0.044619407,0.059455804,11.102405506,5,0.043665955,0.055004159,10.176319201,2,-0.013753039,-0.005083211,-0.014706491,-0.009534856,-0.000953452,-0.004451645,8.000000000,5814.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,0.000000000,0.000000000,0.000000000,34953.750000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1.000000000,7241.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,0.000000000,0.000000000,0.000000000,36395.500000000
