segment,match_start,match_end,count,gt_path_m,gt_chord_m,backend_v9_se3_rmse_m,backend_v9_sim3_rmse_m,backend_v9_global_sim3_scale,backend_v9_est_path_m,backend_v9_path_ratio,backend_v9_est_chord_m,backend_v9_chord_ratio,D_only_se3_rmse_m,D_only_sim3_rmse_m,D_only_global_sim3_scale,D_only_est_path_m,D_only_path_ratio,D_only_est_chord_m,D_only_chord_ratio,D_v9_default_se3_rmse_m,D_v9_default_sim3_rmse_m,D_v9_default_global_sim3_scale,D_v9_default_est_path_m,D_v9_default_path_ratio,D_v9_default_est_chord_m,D_v9_default_chord_ratio,D_v9_pose1_se3_rmse_m,D_v9_pose1_sim3_rmse_m,D_v9_pose1_global_sim3_scale,D_v9_pose1_est_path_m,D_v9_pose1_path_ratio,D_v9_pose1_est_chord_m,D_v9_pose1_chord_ratio,D_v9_pose3_se3_rmse_m,D_v9_pose3_sim3_rmse_m,D_v9_pose3_global_sim3_scale,D_v9_pose3_est_path_m,D_v9_pose3_path_ratio,D_v9_pose3_est_chord_m,D_v9_pose3_chord_ratio
global,0,905,906,3.172324208,0.311993429,0.285803326,0.124700746,0.341261452,18.210520665,5.740434921,0.845010691,2.708424638,0.259914125,0.123078064,0.370478846,16.739851940,5.276841471,0.843447052,2.703412867,0.210117230,0.115586669,0.445901278,16.075259783,5.067344549,0.741224396,2.375769250,0.204826870,0.116033014,0.454860837,15.827913769,4.989374582,0.739825084,2.371284180,0.218488729,0.119301571,0.429992637,15.266616217,4.812438835,0.801210005,2.568034866
0-49,0,49,50,0.255478848,0.242362910,0.110498930,0.156059885,0.341261452,0.502583377,1.967221085,0.190201892,0.784781353,0.116391043,0.154691857,0.370478846,0.554294987,2.169631620,0.161370839,0.665823164,0.098346546,0.137436528,0.445901278,0.665146990,2.603530563,0.165080075,0.681127632,0.088505866,0.135209953,0.454860837,0.667240214,2.611723901,0.161106238,0.664731408,0.095384471,0.142041288,0.429992637,0.674462678,2.639994200,0.159699393,0.658926701
50-99,50,99,50,0.434579808,0.094984262,0.151533889,0.303404867,0.341261452,0.677786854,1.559637246,0.077740104,0.818452478,0.167172614,0.300050649,0.370478846,0.714051952,1.643085895,0.071979196,0.757801293,0.143017550,0.264742125,0.445901278,0.803708942,1.849393203,0.064337183,0.677345722,0.138307574,0.264008878,0.454860837,0.809160153,1.861936840,0.063992979,0.673721915,0.148585072,0.277533163,0.429992637,0.735881356,1.693316955,0.064256208,0.676493208
100-149,100,149,50,0.547571807,0.523732928,0.305769465,0.089357939,0.341261452,1.503799389,2.746305363,1.002869929,1.914849869,0.204886836,0.091198693,0.370478846,1.289755181,2.355408305,0.877060121,1.674632383,0.130127314,0.085346557,0.445901278,1.159459959,2.117457372,0.754406934,1.440442052,0.123396062,0.088026327,0.454860837,1.228178859,2.242954885,0.679802618,1.297994802,0.144096695,0.091665645,0.429992637,1.129220449,2.062232634,0.675201752,1.289210045
150-199,150,199,50,0.187464786,0.069033687,0.612466043,0.104530339,0.341261452,0.784926329,4.187060115,0.144241704,2.089439362,0.511947420,0.110503813,0.370478846,0.958342149,5.112118217,0.183489277,2.657967198,0.339352754,0.107258599,0.445901278,0.814167568,4.343042684,0.146981300,2.129124274,0.320119990,0.120221580,0.454860837,0.786937990,4.197790986,0.102444139,1.483973162,0.324535053,0.117718933,0.429992637,1.078849541,5.754945039,0.144827399,2.097923556
200-249,200,249,50,0.278094891,0.273839844,0.327870330,0.054519745,0.341261452,1.876913404,6.749183347,0.903673662,3.300007954,0.256077134,0.045671567,0.370478846,1.453594701,5.226973778,0.783694560,2.861871924,0.169186332,0.038084021,0.445901278,1.321855557,4.753253662,0.587409693,2.145084825,0.151022156,0.037544676,0.454860837,1.291493437,4.644074668,0.546493829,1.995669520,0.165532170,0.042640060,0.429992637,1.223727591,4.400395808,0.553419441,2.020960259
250-299,250,299,50,0.123587683,0.096106920,0.091971151,0.043051854,0.341261452,1.211532523,9.803019993,0.131072368,1.363818215,0.073502384,0.052345490,0.370478846,1.099709446,8.898212373,0.135019469,1.404888118,0.061338918,0.048306673,0.445901278,1.011629910,8.185523747,0.135240397,1.407186888,0.060810994,0.048961984,0.454860837,0.966935288,7.823880729,0.129412776,1.346550030,0.061485851,0.050171922,0.429992637,1.022660783,8.274779185,0.171675024,1.786292022
300-349,300,349,50,0.077741668,0.036428972,0.115730635,0.095182946,0.341261452,2.765377897,35.571373397,0.066513723,1.825846830,0.073139347,0.084060828,0.370478846,1.667132884,21.444521699,0.192769648,5.291657636,0.055573807,0.078015964,0.445901278,1.369121063,17.611161427,0.065017829,1.784783534,0.058347245,0.080498135,0.454860837,1.605884078,20.656671283,0.071064966,1.950781544,0.048168011,0.080203154,0.429992637,1.138201001,14.640810165,0.058159896,1.596528605
350-399,350,399,50,0.066042736,0.044330012,0.047076013,0.068646467,0.341261452,0.729778728,11.050098358,0.052321546,1.180273661,0.032526972,0.058622585,0.370478846,0.759064953,11.493541906,0.036728876,0.828532940,0.042830921,0.054994112,0.445901278,0.717718662,10.867488327,0.041814079,0.943245375,0.041265472,0.055694934,0.454860837,0.726339803,10.998027162,0.035236291,0.794863091,0.030673224,0.057811864,0.429992637,0.688612118,10.426765466,0.041554275,0.937384689
400-449,400,449,50,0.045667817,0.032196584,0.046049156,0.054582079,0.341261452,0.550396698,12.052178805,0.045582452,1.415754308,0.029382386,0.048086843,0.370478846,0.494060672,10.818574270,0.033916324,1.053413747,0.036545640,0.045034384,0.445901278,0.428736653,9.388157331,0.023884077,0.741820222,0.034247363,0.044037849,0.454860837,0.488578378,10.698527057,0.029686354,0.922034276,0.031751200,0.045767527,0.429992637,0.436925810,9.567477434,0.030621418,0.951076619
